names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Car3 (for_DEGs),mean_expr_Rest (for_DEGs)
Olfm3,14.413933,5.062877,4.2292662877178114e-47,1.136403851509776e-42,1.0,0.3973097699710228,3.0173552,0.4583778
Cadps2,14.015044,3.803373,1.2611924069511811e-44,1.694411998738912e-40,1.0,0.5474546560297643,2.877997,0.7892703
Gria4,13.909997,3.0217276,5.508154238244227e-44,4.2694742632656355e-40,1.0,0.7905770400314814,3.6027167,1.6855603
Zfp804b,13.899756,4.8895226,6.355748810220522e-44,4.2694742632656355e-40,1.0,0.464959038385862,3.4254203,0.69473857
Nr4a2,13.80025,4.357214,2.5397169884990143e-43,1.3648439096193702e-39,0.9863013698630136,0.23167459664436732,1.5919627,0.17474392
Gnb4,13.635805,4.532836,2.452674626760081e-42,1.0983894536840563e-38,0.9726027397260274,0.19214395592601868,1.4798388,0.13675192
Ntng2,13.564878,3.7593908,6.468683613658683e-42,2.48305040998584e-38,0.9863013698630136,0.3389260544485386,1.6041172,0.25728503
Cntnap3,13.466436,4.1935754,2.4647752825211584e-41,8.278563980167941e-38,0.9863013698630136,0.20745537151647409,1.5951502,0.19452368
Zfp804a,13.32354,3.2227135,1.6890636727984257e-40,5.042793432010411e-37,1.0,0.6590705827639252,2.9598851,1.0851288
Sorbs2,13.154923,2.2750971,1.594448545511186e-39,4.284283241788557e-36,1.0,0.7804171287518334,2.9767873,1.5785245
Tmem163,13.101719,3.8701117,3.218834725917316e-39,7.862735371399844e-36,0.9863013698630136,0.233749508102887,1.5116624,0.2164827
Oprk1,13.009752,6.8241873,1.0769090837836999e-38,2.4113789234390014e-35,0.8904109589041096,0.03212535327156298,1.1068361,0.017710872
Ptprt,12.9845915,3.3721557,1.4963508279514096e-38,3.092842057465721e-35,1.0,0.6185382606518084,3.1314828,1.1364951
Tmem132d,12.919458,3.3381102,3.495947747949865e-38,6.70972257052949e-35,1.0,0.4748685293170679,2.229521,0.5989949
Col11a1,12.879297,4.2595677,5.886878814346833e-38,1.034750782018057e-34,0.9452054794520548,0.19790362394018532,1.4648358,0.16015196
Syt1,12.875778,1.4437113,6.161523078633759e-38,1.034750782018057e-34,1.0,0.9505240940149536,4.1070795,3.1342933
R3hdm1,12.740876,2.1269076,3.5043575290850297e-37,5.538946282736162e-34,1.0,0.8386577469323507,3.1760483,1.833348
B3gat2,12.679676,3.9473753,7.664787734234378e-37,1.1441824801048763e-33,0.9315068493150684,0.20387793796730225,1.1137397,0.12452287
Kctd16,12.498277,2.4388976,7.628670643017774e-36,1.0788546325151977e-32,1.0,0.802811862769649,3.5362997,1.9669114
Atp2b2,12.469191,2.2399235,1.0993693442358994e-35,1.4770027139809308e-32,1.0,0.7175973956283762,2.1582327,0.96344703
Satb2,12.411829,3.1487777,2.2544327088825258e-35,2.8846003279844513e-32,0.9726027397260274,0.41780846420777734,1.8852992,0.48863813
Cux1,12.275095,3.3185792,1.2324666637070884e-34,1.5052899660822486e-31,0.958904109589041,0.5064572675562552,2.075965,0.52994823
Gng2,12.110644,2.4120471,9.276301270025748e-34,1.0837139788069212e-30,1.0,0.5885235931742568,1.6893471,0.60415536
Stk32c,11.867509,3.2216742,1.7458960754525118e-32,1.954676147808708e-29,0.9041095890410958,0.2622258791542947,0.96461004,0.1604689
Ctnna2,11.827565,1.619728,2.8117885613132224e-32,3.0221103456994514e-29,1.0,0.8853074804135513,3.533198,2.4692805
Cntn4,11.646985,2.8445227,2.377216666103593e-31,2.4567619930078287e-28,1.0,0.6493757378456695,2.9158962,1.2330248
Schip1,11.448146,2.0398293,2.4022983467659605e-30,2.3907317250963466e-27,1.0,0.8318248488534326,3.271494,1.9692127
Trhde,11.394724,2.8626184,4.4423629628603666e-30,4.26308188614493e-27,0.9726027397260274,0.5195149000107323,2.1181755,0.69607157
Pcsk2,11.363537,1.941967,6.351969520860308e-30,5.8854283112247054e-27,1.0,0.7687189210460416,2.642989,1.4810933
Nwd2,11.359315,2.5847986,6.666561158966435e-30,5.9710166113809374e-27,1.0,0.5311773333810325,1.8836243,0.6573412
Rgs12,11.292052,3.700924,1.4364302682358688e-29,1.2450606873386387e-26,0.8493150684931506,0.14309734196687296,0.885558,0.1039344
Chrm3,11.272715,2.5498888,1.789660654617375e-29,1.5027556809240272e-26,1.0,0.6584624190605659,2.7789986,1.2751055
Pcdh15,11.216454,2.7257705,3.385773871689661e-29,2.7568407252212487e-26,1.0,0.7411726827174185,3.3157096,1.6118892
Mmp16,11.128861,1.9234535,9.07879916006043e-29,7.174921571494817e-26,1.0,0.7866060887919006,2.7568047,1.5868407
Cpne4,11.123661,2.657888,9.624009614532873e-29,7.388489666928523e-26,0.9863013698630136,0.5430544127642829,2.1192157,0.770385
B130024G19Rik,11.102998,3.404871,1.213057042080265e-28,9.054122977971311e-26,0.863013698630137,0.2135370085500662,1.0424767,0.15987511
Efna5,10.97447,2.8354185,5.070238474272472e-28,3.6820894001000354e-25,0.958904109589041,0.4115479554967266,1.7655339,0.51805973
Sfmbt2,10.936837,3.3952641,7.6833766159158715e-28,5.314405333954616e-25,0.8493150684931506,0.2135727828855579,0.9408723,0.13843833
Nrg1,10.936482,2.4319592,7.713502345524005e-28,5.314405333954616e-25,1.0,0.8477086538117554,3.859927,2.2628107
Nav3,10.879482,1.4897447,1.4437999090190659e-27,9.698725888835574e-25,1.0,0.8970772367903266,3.6810582,2.6930058
Unc5c,10.773393,1.9426471,4.597420881402393e-27,3.0129926605678614e-24,1.0,0.8058169069509534,2.944647,1.7375628
Sestd1,10.741192,1.9983974,6.51972516586529e-27,4.171071790638104e-24,0.9726027397260274,0.5486709834364827,1.2950075,0.5089187
Cadm2,10.709085,1.2668352,9.226905179029221e-27,5.765742840942214e-24,1.0,0.962794691088613,4.3232784,3.4636521
Mgat5,10.694216,2.0570235,1.0833184999040124e-26,6.6156291119138214e-24,0.9726027397260274,0.6231531499302401,1.6703877,0.71136135
Gnao1,10.633102,1.6626652,2.090400140456664e-26,1.2482011505349014e-23,1.0,0.7734411333309483,2.0212586,1.1210746
Angpt1,10.623876,2.9432316,2.307764371860504e-26,1.34803540591069e-23,0.8904109589041096,0.20484384502557865,1.0257608,0.20914832
Fras1,10.60369,2.4309392,2.864489967822216e-26,1.637635009263467e-23,0.9863013698630136,0.39988552212642653,1.4082646,0.45286566
Slc2a13,10.593037,2.077145,3.2100692137027007e-26,1.796969995253991e-23,0.9863013698630136,0.6607877508675276,2.0371482,0.94793457
Sh3gl3,10.46997,2.8053749,1.1868117319971667e-25,6.508088007910994e-23,0.8767123287671232,0.3582084212785748,1.173881,0.27737132
Fap,10.454094,5.0956607,1.4033400785143072e-25,7.541549581935886e-23,0.7397260273972602,0.05498515365077094,0.7570295,0.032567423
