names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Cajal-Retzius (for_DEGs),mean_expr_Rest (for_DEGs)
Reln,13.631929,7.2338295,2.586514124970387e-42,4.778867323211504e-38,0.9846153846153847,0.2894388612710561,4.229327,0.37127155
Thsd7b,13.608661,4.5558443,3.557028152743955e-42,4.778867323211504e-38,1.0,0.5536640320446335,3.4644394,0.83994377
Robo2,13.555424,3.4901843,7.358576766084517e-42,6.590831923489699e-38,1.0,0.7847358821215265,3.903716,1.6721807
Kcnh7,13.483508,3.4221096,1.9558198728969157e-41,1.3138219996185032e-37,1.0,0.7955724044204427,4.071369,1.8527056
Clstn2,13.391332,3.35888,6.795118861596326e-41,3.651696876221865e-37,1.0,0.7499731769250026,3.7227705,1.5965104
Dach1,13.337013,6.6301575,1.4099650987809258e-40,5.436816642114041e-37,0.9692307692307692,0.217409963878259,3.1567535,0.20464405
Cntnap2,13.336676,3.383232,1.4163645885671116e-40,5.436816642114041e-37,1.0,0.9139158113086084,5.0653586,2.778118
Fat3,13.21196,3.4553292,7.48494883914607e-40,2.501615141765654e-36,1.0,0.7366689317263331,3.4487374,1.3289342
Utrn,13.2034645,4.9939017,8.379060765125005e-40,2.501615141765654e-36,0.9846153846153847,0.37366331676263365,2.8628144,0.41749018
Kcnb2,12.989935,3.413244,1.3954588989474512e-38,3.7495980614718013e-35,1.0,0.7700010729229999,3.8638442,1.6824483
Maml3,12.939369,4.149997,2.698374143117818e-38,6.591392111415979e-35,1.0,0.5017345588498265,2.8487227,0.6503531
Ndnf,12.299254,7.8884273,9.141376939463012e-35,2.046906653028093e-31,0.8923076923076924,0.059261113694073886,2.716227,0.05789569
Msi2,12.277667,3.6004322,1.1939192442718657e-34,2.4677392379680794e-31,0.9692307692307692,0.6509423840349058,2.7823179,0.810737
Dync1i1,12.138793,2.702562,6.57897217447766e-34,1.2626927309158194e-30,0.9692307692307692,0.716140338328386,2.744957,1.1747434
Pdzd2,12.120106,4.2965612,8.265260184597228e-34,1.4805836077341836e-30,0.9230769230769231,0.4616072386538393,2.5332892,0.46375206
Car10,12.052364,3.24341,1.8846495627524473e-33,3.165033359447391e-30,0.9846153846153847,0.6368155645363185,3.1305237,1.1972519
Hs3st5,12.026778,5.0432625,2.5699461577260172e-33,4.062026662241064e-30,0.9076923076923077,0.2669790064733021,2.3178,0.24497592
Cacna2d2,11.880014,5.817346,1.5034072270117605e-32,2.2442528994336668e-29,0.8769230769230769,0.14688315868531168,1.9604185,0.102753066
B3galt1,11.831874,2.244632,2.671112399219578e-32,3.77751527194895e-29,1.0,0.8516147491148385,3.3277774,1.8977833
Cdh4,11.753066,4.602233,6.810189448143096e-32,9.149489523580249e-29,0.8923076923076924,0.3179070848682093,2.1611,0.27476367
Nav2,11.639687,2.244483,2.5896681367194353e-31,3.3135420396976775e-28,0.9846153846153847,0.8182468438181754,3.0447273,1.6527793
Fndc3b,11.578391,3.5594337,5.30318030895328e-31,6.477111586435211e-28,0.9076923076923077,0.5348521154465148,2.144856,0.4944638
Dscaml1,11.130335,2.1863227,8.929969927290859e-29,1.0432534432448059e-25,1.0,0.7358821215264117,2.4916625,1.2339274
Cacna2d1,10.914149,2.0895393,9.86485336696133e-28,1.1044525415427121e-24,0.9692307692307692,0.8257930689174207,3.2184007,1.8925241
Lsamp,10.896069,1.5217263,1.2034544222962684e-27,1.2934728130840292e-24,1.0,0.9726762276027324,5.112353,4.0687847
Tmem163,10.852248,4.9886317,1.945792557537325e-27,2.0109017700395352e-24,0.8307692307692308,0.23432638317656737,2.1551743,0.21535726
Kcnq5,10.829317,2.63841,2.5001188614931014e-27,2.4880812521599864e-24,1.0,0.7806945388219305,3.4959533,1.8142464
Rbms3,10.7106495,3.5543861,9.07229442967651e-27,8.706162547335993e-24,0.8923076923076924,0.5098172454490183,2.493581,0.665366
Astn2,10.404422,2.7664535,2.366889241841404e-25,2.1199437976092845e-22,0.9384615384615385,0.6332033904366796,2.597338,1.0390296
Fmn1,10.213593,3.0794785,1.7236276514672446e-24,1.4939959675782215e-21,0.8615384615384616,0.5283430492471657,2.0170822,0.5714789
Nrxn1,9.94328,1.1769197,2.697940513703455e-23,2.1321665177415243e-20,0.9846153846153847,0.9666678588033332,4.4199677,3.6192467
Ebf3,9.736012,7.3825655,2.116991325547962e-22,1.6252444833563926e-19,0.7076923076923077,0.018990737098100927,1.4106312,0.0183985
Lingo2,9.273022,1.9169638,1.809463124711276e-20,1.1858603453900486e-17,1.0,0.882479167411752,3.8987513,2.6247492
Nfib,8.95697,1.7006081,3.3372183120444417e-19,1.9926901343252033e-16,0.9076923076923077,0.8163871106183613,2.7461705,1.7022923
Ank3,8.9470625,1.2548127,3.650670016539042e-19,2.1324674640087838e-16,0.9846153846153847,0.8912056078108794,3.2623432,2.4443069
