names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Cajal-Retzius (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnc2,8.8837805,2.354217,6.4625848707108805e-19,3.6946735207659863e-16,0.9230769230769231,0.6018740388398126,2.337309,1.0400144
Srgap3,8.867634,1.7476238,7.471672500995574e-19,4.182580002119814e-16,0.8923076923076924,0.74890025392511,2.1122773,1.1518612
Trp73,8.714523,8.345531,2.919843230475596e-18,1.5087728385169089e-15,0.6307692307692307,0.014555988698544402,1.2092127,0.0072011896
Gria4,8.644971,1.8447894,5.381888668066224e-18,2.5370412019463057e-15,0.9846153846153847,0.7906727227209327,2.8234334,1.6879209
Cep112,8.613461,2.795999,7.088768808412537e-18,3.284055480724911e-15,0.7846153846153846,0.48792961625120707,1.764492,0.52868044
Tenm4,8.552181,1.7634051,1.2078407597211754e-17,5.409113535617998e-15,0.9692307692307692,0.7464325310253568,2.6337843,1.5701791
Gm29683,8.535843,5.7408495,1.3913780502857983e-17,6.128906264127771e-15,0.6461538461538462,0.07939630199206037,1.4606684,0.06003522
Plekha5,8.526787,1.4635593,1.5046881621015616e-17,6.52112434123693e-15,0.8769230769230769,0.7601659454239834,2.0800138,1.264084
Slc2a13,8.46586,1.9180377,2.5426843491939694e-17,1.0844750549657454e-14,0.8615384615384616,0.6611709166338829,1.9426959,0.94846535
Rbms1,8.455323,3.314167,2.783143255298963e-17,1.1684853010919241e-14,0.7384615384615385,0.3952290690604771,1.6557143,0.354851
Nrg1,8.238915,1.9756655,1.7377819139431938e-16,6.969283586216958e-14,0.9692307692307692,0.8478237545152176,3.5527253,2.263981
Hs6st3,8.176447,2.0905485,2.9233622886092506e-16,1.1384165897816025e-13,1.0,0.7929616251207038,3.3138595,1.9768288
Gpr158,8.002509,1.7821085,1.21909558294553e-15,4.4872737416090943e-13,0.8769230769230769,0.7511176281248882,2.4197748,1.380863
Nalf1,7.847219,1.3578238,4.2536392122945325e-15,1.4772030931173286e-12,1.0,0.8992167662100783,3.7524605,2.8472924
Epha3,7.846206,2.0692918,4.288122116231918e-15,1.4772030931173286e-12,0.8307692307692308,0.5925038446407496,1.9151938,0.86676604
