names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NFOL (for_DEGs),mean_expr_Rest (for_DEGs)
Tnr,21.03047,5.0629325,3.452118504562955e-98,9.275842421760662e-94,1.0,0.7353732467625641,4.5515184,1.3364202
Kazn,20.897982,5.095891,5.58578528233224e-97,7.504502526813364e-93,1.0,0.5710801018760986,3.511985,0.6682099
Bcas1,20.775,6.961948,7.286380394093586e-96,6.526168039643156e-92,0.9932885906040269,0.18786096064856334,3.492305,0.22759111
Sox6,20.625439,5.858767,1.622509956005138e-94,1.0899210629464517e-90,1.0,0.3052337052050077,3.5409858,0.45570695
Fyn,20.51053,4.8916926,1.7339573870459372e-93,9.318286997984866e-90,0.9865771812080537,0.6742834594827277,3.584126,0.7792147
Arhgap24,20.091103,6.7035594,8.828085665407727e-90,3.953511030491761e-86,0.9664429530201343,0.15317286652078774,2.7067308,0.12587005
Qki,19.63784,3.9819741,7.345671149551861e-86,2.819688339835121e-82,1.0,0.827384582272124,4.1286025,1.5823134
Tns3,19.577568,5.7067432,2.402194155073924e-85,8.068369618354542e-82,0.959731543624161,0.27111956092836387,2.7852223,0.25549412
Ptprj,19.353855,3.3880446,1.8914796587648157e-83,5.647117603445622e-80,0.9932885906040269,0.710227068909854,2.9184334,0.98312074
Opcml,19.042551,2.3155699,7.574764482453412e-81,2.0353392164352317e-77,1.0,0.9250995444273057,4.671557,3.1030812
Abtb2,18.833727,5.6424117,3.9961691063584423e-79,9.761551262531941e-76,0.9261744966442953,0.14685941815833842,2.182601,0.14630088
Slc44a1,18.58605,3.0392904,4.167650521698175e-77,9.332064126502496e-74,0.9731543624161074,0.7068192416687592,2.5817392,0.91086507
Pcdh7,18.482973,2.859205,2.831388303750659e-76,5.852261824752323e-73,1.0,0.7832980593320659,3.476598,1.671542
Zdhhc14,18.445505,2.9576838,5.666774606754528e-76,1.0876159548821011e-72,0.9798657718120806,0.6836101445636188,2.525612,0.9082974
Itpr2,18.389309,5.199618,1.6000729884007232e-75,2.866264079888496e-72,0.9194630872483222,0.22229795171646877,2.4180093,0.24545355
Epb41l2,18.339275,4.9557934,4.021194924081407e-75,6.753094225629214e-72,0.9395973154362416,0.3337518384331169,2.7305186,0.37987062
Rapgef1,18.29761,3.5130584,8.646175863300149e-75,1.3666043849816178e-71,0.9395973154362416,0.5272446819959106,2.0121398,0.4495058
Dnm3,18.122849,3.141772,2.104149655596607e-73,3.141027846993379e-70,0.9731543624161074,0.7253649962334541,2.946497,1.1131232
Vcan,18.11463,5.141117,2.4431171451699463e-73,3.4550819837219184e-70,0.912751677852349,0.19098181296409225,2.0806253,0.18118297
Cdk14,18.06415,2.35065,6.105540085508268e-73,8.202793104880359e-70,0.9932885906040269,0.8056821035262044,3.0212405,1.574097
