names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_nIPC (for_DEGs),mean_expr_Rest (for_DEGs)
Top2a,13.706735,10.076342,9.252885700596133e-43,2.4862503877501813e-38,1.0,0.0054715159317669775,1.7456611,0.0043712095
Diaph3,12.978864,5.406931,1.612557864318525e-38,2.1664714907119384e-34,0.9841269841269841,0.13685942137824983,1.7138144,0.10187378
Knl1,12.389414,9.066146,2.9821609088827685e-35,2.671022120722666e-31,0.9047619047619048,0.010692701069270108,1.383012,0.0055568726
Kif11,12.341101,8.015881,5.440687075767102e-35,3.654781543146551e-31,0.9047619047619048,0.018417194149411724,1.2081848,0.00902828
Smc4,11.445296,5.288827,2.4825530437452374e-30,1.3341240057086904e-26,0.873015873015873,0.08929657046811859,1.2040621,0.057980955
Mki67,11.224124,7.3341203,3.104482586579585e-29,1.3902907850232242e-25,0.8253968253968254,0.02131387905446483,0.99921626,0.010579535
Gm12610,11.167073,7.174099,5.909627223242366e-29,2.268452621264605e-25,0.8253968253968254,0.024746987090083324,1.2649245,0.017454287
Kif23,10.806528,7.6529446,3.2057459297188082e-27,1.0767299141443048e-23,0.7936507936507936,0.01881057111182634,0.99760264,0.008469157
Lockd,10.648331,9.323074,1.7751982054078886e-26,5.299952864367774e-23,0.7777777777777778,0.004541715838786969,1.0189909,0.0027602366
Mis18bp1,10.619038,8.392636,2.4305434204105602e-26,6.209882976739057e-23,0.7777777777777778,0.01033508564889318,1.051151,0.0055220197
Hjurp,10.614843,3.6990316,2.542192510015989e-26,6.209882976739057e-23,0.873015873015873,0.22383149161391838,1.0314603,0.13014542
Ect2,10.596526,7.764286,3.0925610982514373e-26,6.924759725834677e-23,0.7777777777777778,0.013339055180059364,0.9105381,0.0068101496
Tpx2,10.588972,7.911324,3.3525128216897235e-26,6.92938611683099e-23,0.7777777777777778,0.014519186067303222,1.0212286,0.0073527037
Neil3,10.431796,9.20887,1.7750045633962008e-25,3.4067409013182794e-22,0.7619047619047619,0.0042198619604477345,0.93609846,0.0026158995
Cenpf,10.397304,8.217372,2.5504743415102487e-25,4.568749703758693e-22,0.7619047619047619,0.009476808639988557,0.89699966,0.0048674787
Zeb1,10.161509,2.4036598,2.9448466428492116e-24,4.945501830834895e-21,0.9682539682539683,0.6929514000643707,2.2783659,0.9766858
Sox6,10.149754,3.5774257,3.3220071195368874e-24,5.250725370703304e-21,0.9206349206349206,0.3075492615241569,2.0959125,0.46845147
Tmpo,10.143291,3.8710887,3.5493365459316806e-24,5.298370721621347e-21,0.8253968253968254,0.18084611808461182,0.98149455,0.10797902
Ezh2,10.077869,3.8065681,6.921070373214424e-24,9.787850575172187e-21,0.8412698412698413,0.23799306226084468,1.2174714,0.1569997
Lmnb1,9.90395,3.747959,4.001528999113432e-23,5.3760542103088957e-20,0.8095238095238095,0.16850838608160784,0.8263518,0.09133962
Ptprz1,9.736788,3.0216591,2.100898590996107e-22,2.688149768574543e-19,0.9523809523809523,0.5656403104101849,2.444243,0.8310088
Ckap2,9.730084,7.7955847,2.244065528464959e-22,2.740820034084248e-19,0.7142857142857143,0.008403962378857776,0.763436,0.005143094
Cdca2,9.559423,9.198534,1.184149567186855e-21,1.383395603056991e-18,0.6984126984126984,0.0038622465400708077,0.7785594,0.0020035375
Kif4,9.333347,8.605143,1.0257857585305944e-20,1.1182794467297001e-17,0.6825396825396826,0.004792046633050817,0.7462668,0.0028441409
Rad51b,9.331843,4.617305,1.040453523194734e-20,1.1182794467297001e-17,0.7301587301587301,0.07552837678360691,0.8722492,0.055175323
Cep192,9.23387,2.9812448,2.6102810797782803e-20,2.6976251005247072e-17,0.8253968253968254,0.276007581446912,0.90489674,0.17089501
Prc1,9.169359,6.448681,4.758408088975713e-20,4.7354972352139776e-17,0.6825396825396826,0.023173479240424847,0.7047141,0.011646935
Kif15,9.155141,6.3669844,5.428689928432708e-20,5.209603513463816e-17,0.6825396825396826,0.030790687694453384,0.78856426,0.014436912
G2e3,9.147401,2.7837965,5.831990788732069e-20,5.4036411204562306e-17,0.8412698412698413,0.3587955512641705,1.0505402,0.23899484
Maml2,9.1411495,2.507495,6.179220241971457e-20,5.534521596725769e-17,0.9841269841269841,0.5398562386010085,2.1174014,0.8265642
Ckap5,9.103071,1.9320924,8.781293873226732e-20,7.611398915277494e-17,0.9206349206349206,0.6650931588170081,1.6165355,0.72150457
AW554918,9.044454,1.949892,1.5041572526210346e-19,1.263022043060225e-16,0.9365079365079365,0.5873475664270643,1.3952826,0.5798978
Anln,9.038023,3.710835,1.5953129107261648e-19,1.2989714518549105e-16,0.746031746031746,0.11987268891034582,0.8822979,0.10271452
Efcab11,8.957884,6.3590255,3.309702899828866e-19,2.6156387328941656e-16,0.6666666666666666,0.02199334835318099,0.7106486,0.012533971
Depdc1b,8.909898,5.778269,5.10795290590257e-19,3.921448416617202e-16,0.6666666666666666,0.021707256016879447,0.63841033,0.01614863
Cenpp,8.878812,3.5888417,6.757822540613436e-19,5.043963657396751e-16,0.7619047619047619,0.21020634409755748,1.0440464,0.14234895
Aspm,8.864672,8.1693735,7.672958530499892e-19,5.572226911203569e-16,0.6507936507936508,0.009441047097950864,0.83306444,0.0045066844
Cep128,8.803693,3.3574238,1.32386689149971e-18,9.361132466999266e-16,0.7619047619047619,0.22551228408968996,0.99208546,0.15320294
Cenpe,8.754702,6.842462,2.0464403157394517e-18,1.4099449047158735e-15,0.6507936507936508,0.02614168722955334,0.87741333,0.012165901
2700099C18Rik,8.740944,5.3569593,2.3117119657454074e-18,1.5243496852634206e-15,0.6666666666666666,0.05228337445910668,0.7073493,0.024788477
Bora,8.74025,4.8205485,2.325952255147013e-18,1.5243496852634206e-15,0.6825396825396826,0.08110717734148697,0.75263906,0.038958795
Nusap1,8.680759,6.0719376,3.931352316791716e-18,2.5151294464807957e-15,0.6507936507936508,0.03182777241354647,0.7003846,0.014968348
Smc2,8.666955,3.5270524,4.4383191634634154e-18,2.773433393540976e-15,0.7301587301587301,0.1886421342488288,0.83153623,0.10660655
Nsd2,8.637825,1.8476223,5.7293257129297915e-18,3.498795043327807e-15,0.9206349206349206,0.6267925472946393,1.4548366,0.64835906
Kif18a,8.589263,5.483083,8.752904697836646e-18,5.226456649574904e-15,0.6507936507936508,0.04223438114651504,0.69702375,0.022281336
Ckap2l,8.4709835,8.621664,2.433303959360552e-17,1.4213668997395225e-14,0.6190476190476191,0.0027178771948646427,0.49290818,0.0016160567
Dleu2,8.457498,2.037383,2.7317521241826673e-17,1.561748501633793e-14,0.9206349206349206,0.6537925115330973,1.8036714,0.80448425
Chd7,8.398397,2.6480732,4.526142367327982e-17,2.533696779377143e-14,0.8253968253968254,0.32296248614240247,1.252331,0.3354651
Adam12,8.331228,3.0127316,8.000771708540342e-17,4.3873619552750815e-14,0.7936507936507936,0.2957479526517183,1.2520986,0.26961944
Ttk,8.230487,7.890852,1.864533208325078e-16,1.002000146153897e-13,0.6031746031746031,0.005006615885276973,0.5176372,0.0028527519
