names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ENT CTX (for_DEGs),mean_expr_Rest (for_DEGs)
Ptprd,83.59569,1.9438636,0.0,0.0,1.0,0.9594836560483031,4.794063,3.4699767
Dpp10,77.99611,2.9336462,0.0,0.0,0.9982547993019197,0.8666666666666667,4.1882486,2.2507992
Nrg1,76.60104,2.6482959,0.0,0.0,0.9982547993019197,0.8230272746200291,3.7387438,2.021151
Arpp21,72.3332,1.8442872,0.0,0.0,1.0,0.7643139704351447,2.8778172,1.7355099
Rasgef1b,67.01255,2.1989095,0.0,0.0,0.9586138120169534,0.47457838850718304,1.5716243,0.6047523
Car10,63.843204,2.2261524,0.0,0.0,0.9503864372974321,0.5853841349156778,2.2410107,1.0281583
Celf2,62.971497,1.251861,0.0,0.0,1.0,0.9606495940037476,4.435702,3.584212
Csmd1,60.713352,1.2379371,0.0,0.0,1.0,0.9339163023110556,4.3018413,3.4619968
Fnbp1l,60.56084,1.8911536,0.0,0.0,0.9264522562951882,0.45704767853424944,1.2105987,0.491656
Rgs6,58.68907,2.2642066,0.0,0.0,0.8823236100723012,0.4490110347699355,1.6338981,0.61973053
Cobl,57.47895,1.9290922,0.0,0.0,0.862378459237098,0.35927545284197376,0.9875813,0.3663097
Fgf12,56.779808,1.3907722,0.0,0.0,0.9992520568436799,0.830106183635228,2.9308805,2.0498738
Phactr1,56.25937,1.3383216,0.0,0.0,1.0,0.8704143243805955,3.131433,2.2683818
Camk4,56.028187,1.6638553,0.0,0.0,0.9591124407878334,0.5697272537997086,1.5432587,0.7707226
Nrxn1,55.934086,1.0015786,0.0,0.0,1.0,0.9611492816989382,4.203247,3.5238776
Nyap2,55.47004,1.6684957,0.0,0.0,0.9468960359012715,0.5449927128877785,1.4704587,0.7199045
Atp2b4,55.279854,1.8263569,0.0,0.0,0.8389429070057343,0.38042889860503853,0.924453,0.35679343
Agbl4,54.507977,1.6707487,0.0,0.0,0.9890301670406383,0.7124297314178638,2.4526935,1.4668369
Syt16,54.21234,1.4719136,0.0,0.0,0.9733233607579157,0.6177805538205289,1.5129733,0.8225339
Hecw2,53.92701,1.4751021,0.0,0.0,0.9890301670406383,0.6825317509889652,1.860657,1.0826485
Samd12,53.857723,1.3995339,0.0,0.0,0.9947643979057592,0.7087653549864668,2.0384862,1.2617749
Kcnma1,53.829254,1.279321,0.0,0.0,0.9990027424582398,0.8327295440349781,2.9140468,2.1018684
Nrg3,53.240585,1.1353333,0.0,0.0,1.0,0.9389548199042266,4.270518,3.500159
Gm26871,52.407845,1.5378578,0.0,0.0,0.9912739965095986,0.766229439933375,2.722615,1.7745054
B230209E15Rik,51.77208,1.4500693,0.0,0.0,0.9274495138369484,0.5369144284821986,1.1657405,0.5923577
Grm7,51.76922,1.2761369,0.0,0.0,0.9997506856145599,0.8741203414532583,3.4047878,2.5663855
Satb2,51.407463,1.9318161,0.0,0.0,0.8035402642732485,0.35506974807412034,1.0536332,0.39851737
Pdzrn4,51.22276,1.8583468,0.0,0.0,0.8553976564447768,0.48744534665833855,1.4382725,0.63458014
Nwd2,51.05061,1.8164428,0.0,0.0,0.8539017701321366,0.4787008119925047,1.2863197,0.55601764
A230006K03Rik,50.95122,1.5467585,0.0,0.0,0.9606083271004737,0.6157401623985009,1.8942444,1.0760368
Asic2,50.753006,1.6001229,0.0,0.0,0.9922712540513587,0.7572350614199459,2.6671836,1.6900526
Dock3,50.20326,1.202647,0.0,0.0,0.9975068561455996,0.7727670206121174,2.1407683,1.4495472
Fhod3,50.001465,1.9905968,0.0,0.0,0.743704811767639,0.3188423901728087,0.85824573,0.29414335
Hecw1,49.829475,1.3719136,0.0,0.0,0.9860383944153578,0.6674161982094524,1.7792898,1.0658023
Lingo2,49.39941,1.4438096,0.0,0.0,0.9837945649463974,0.865875494482615,3.4392123,2.4921682
Chsy3,49.28203,1.6449809,0.0,0.0,0.9633507853403142,0.6593379138038726,2.016417,1.1255811
R3hdm1,49.27058,1.2216182,0.0,0.0,0.9987534280727998,0.8124089110972309,2.4710221,1.730924
Dlg1,49.207333,1.2015558,0.0,0.0,0.9917726252804787,0.7367062252758693,1.7643614,1.1325382
Phf24,49.16495,1.3496206,0.0,0.0,0.893542757417103,0.5186758276077451,0.98471254,0.5056502
Ptprn2,49.12356,1.3852062,0.0,0.0,0.9975068561455996,0.7235061419945867,2.2848866,1.4766684
Mlip,48.45437,1.5223894,0.0,0.0,0.9047619047619048,0.5339995835935873,1.291632,0.6515753
Oxr1,48.17066,1.3136423,0.0,0.0,0.9980054849164797,0.8309806371018114,2.7470796,1.9275187
Dlg2,47.954445,0.98890036,0.0,0.0,1.0,0.9476993545700604,4.294122,3.622024
Lrrtm3,47.82823,1.5526229,0.0,0.0,0.9222139117427075,0.5767228815323756,1.6305958,0.8754708
Strbp,47.807293,1.0727643,0.0,0.0,0.9975068561455996,0.7967520299812617,2.158917,1.5352376
Wdr17,47.70805,1.4377885,0.0,0.0,0.9204687110446272,0.5735165521549032,1.2779006,0.6707594
Ext1,47.657784,1.3664156,0.0,0.0,0.9932685115931189,0.7377056006662502,2.1196513,1.3460686
Sv2b,47.11207,1.4776875,0.0,0.0,0.974819247070556,0.5608994378513429,1.5809203,0.86952645
Osbpl10,47.08756,1.6101025,0.0,0.0,0.7636499626028422,0.36518842390172807,0.68968606,0.2816475
Adgrb3,46.684322,1.0036799,0.0,0.0,0.9997506856145599,0.9250468457214241,3.799743,3.1262805
