names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Pank2,3.2182937,0.27790663,0.0012895576137250773,0.014359889382839962,0.5650406504065041,0.4521582084161098,0.39751336,0.33832386
Nagk,3.2180989,0.60249704,0.0012904328154657173,0.014363682581426606,0.3333333333333333,0.22528445006321113,0.19254886,0.13089427
Acp2,3.2145686,0.5309596,0.001306406985148635,0.014529451858834362,0.34959349593495936,0.2407079646017699,0.20536834,0.1465059
Cnnm3,3.2137227,0.65048593,0.0013102613210117925,0.014566289489278801,0.32926829268292684,0.22268376377099514,0.18742718,0.12339042
Steep1,3.2115822,0.44687587,0.0013200617068143132,0.014669172068693382,0.3943089430894309,0.2810547227740654,0.22700441,0.17139077
Rfx7,3.2089493,0.30971396,0.0013322094913067071,0.014785819509050483,0.8658536585365854,0.7070254650532779,1.016216,0.88466406
Elovl5,3.2072377,0.5073366,0.0013401616979119842,0.014861801412668187,0.34959349593495936,0.23857684666787068,0.20784616,0.15059853
Gmeb2,3.2055461,0.4232816,0.0013480646651499255,0.014943274567895421,0.4146341463414634,0.30395521040274515,0.24486314,0.18805428
Nipsnap1,3.2052522,0.39513117,0.0013494418559343705,0.014952372234621251,0.4715447154471545,0.3660827162723497,0.30550465,0.24035898
Amigo2,3.2043428,2.4172065,0.001353711930346182,0.014989600069627261,0.15040650406504066,0.033194870868701466,0.08781993,0.017039068
Mcts1,3.2042992,0.25850287,0.0013539173564936868,0.014989600069627261,0.4959349593495935,0.3711757269279393,0.30643275,0.2621705
Lmnb1,3.20393,0.7720652,0.001355655290853989,0.014996483188656519,0.2804878048780488,0.16951417735235688,0.15353343,0.09273865
Ift172,3.2028217,0.51551235,0.0013608814487611474,0.015041910542250937,0.3780487804878049,0.27072421889109627,0.2153517,0.15537784
Ankib1,3.2013922,0.2608051,0.0013676523388994359,0.01510432320025805,0.8089430894308943,0.6523388116308471,0.81495404,0.71825135
Uchl3,3.200042,0.3099119,0.0013740755858661793,0.015169026701817682,0.524390243902439,0.4144121365360303,0.3547359,0.29527304
Pofut1,3.1986759,0.47384334,0.0013806027065986729,0.01523482329622437,0.3902439024390244,0.28101860213111796,0.22132978,0.16414085
Edem1,3.1975758,0.6410834,0.001385879326532089,0.015286772374350258,0.2926829268292683,0.1813256275961712,0.16839634,0.11118831
Lrsam1,3.1967936,0.89492095,0.001389643322907528,0.015322000856185998,0.27235772357723576,0.16481849376918908,0.15812697,0.08812922
Cyb561,3.1957412,1.1053095,0.001394721437454623,0.015371683767188563,0.23577235772357724,0.12490518331226295,0.14081162,0.06792206
Morc2b,3.1952608,0.6872046,0.00139704580939877,0.01538468069612498,0.36585365853658536,0.26357233158750226,0.21858466,0.14126782
Cdc25b,3.1932275,1.1835219,0.0014069207571092578,0.015480737405211203,0.24390243902439024,0.1361387032689182,0.14416143,0.066043995
Gm44618,3.192433,2.0411267,0.0014107956082522817,0.015510670210204096,0.16666666666666666,0.05186924327253025,0.09561375,0.024086136
Drosha,3.1921155,0.27316043,0.001412348301902358,0.015521390131744934,0.5975609756097561,0.4580819938594907,0.398235,0.33990324
Prkci,3.1896374,0.4817625,0.0014245134928033293,0.015648682564033303,0.4024390243902439,0.30005418096442116,0.24299121,0.1797929
Kdm3b,3.1870563,0.25874817,0.0014372882283799143,0.015776117114611233,0.6056910569105691,0.49044608994040095,0.45675373,0.39466408
Fhip1a,3.1866512,1.137162,0.001439302438295778,0.015791774812987977,0.24390243902439024,0.13296008668954307,0.15462528,0.07327583
Eri3,3.185142,0.25565058,0.0014468292820523252,0.015867878697447338,0.7357723577235772,0.5983023297814701,0.65107495,0.5701839
Ttc4,3.182799,0.42820135,0.0014585876195183668,0.01599030980679662,0.3780487804878049,0.26396965865992417,0.20332897,0.15492547
Phc2,3.1805117,0.2689571,0.0014701518462314426,0.01611051391037474,0.7439024390243902,0.5915838901932454,0.6580612,0.57250017
Mtpap,3.1733239,0.4058963,0.0015070429610098577,0.016501322071041106,0.45934959349593496,0.35535488531695864,0.29353467,0.22912234
Pitpnm1,3.1722677,0.72230923,0.0015125358415022157,0.016554720187847063,0.3130081300813008,0.20841610980675457,0.18108575,0.11362045
Ctps2,3.1704566,0.35262805,0.0015219951340472385,0.01665146956508522,0.4878048780487805,0.37988080187827344,0.3288787,0.26617852
Rab3gap2,3.1694005,0.27043727,0.0015275381885635456,0.016705311813879718,0.6341463414634146,0.4986093552465234,0.47207573,0.40559372
Khdc4,3.1689358,0.30221966,0.0015299821820461317,0.01672523239689974,0.573170731707317,0.46859310095719703,0.42216846,0.35486844
Sec23a,3.1675618,0.28302974,0.001537230808011172,0.01679763798749906,0.5691056910569106,0.45324182770453314,0.40024236,0.33968902
Zfp975,3.166001,0.5589049,0.0015455024317428312,0.016881158675174746,0.37398373983739835,0.26787068809824816,0.22688897,0.15946943
Clpb,3.164885,0.31883234,0.0015514418584217195,0.016939147799996588,0.540650406504065,0.4334477153693336,0.37663096,0.31238484
Cdk10,3.1639123,0.7057522,0.0015566375074403131,0.016988972309066295,0.32926829268292684,0.22586238035037023,0.18935277,0.12028302
Col15a1,3.1630702,1.9052185,0.001561146260059649,0.017031262690947124,0.15447154471544716,0.03832400216723858,0.08406138,0.023142757
Cdkal1,3.1618671,0.26891667,0.0015676112518351753,0.017094851597731803,0.8170731707317073,0.6687014628860394,0.8512971,0.74874824
Pogz,3.1594248,0.31251863,0.0015808091250084008,0.01722479366949543,0.556910569105691,0.4519053639154777,0.40735742,0.33997062
Samm50,3.155942,0.45912933,0.0015998065178041419,0.017424726847749206,0.3617886178861789,0.25259165613147916,0.20419581,0.15254004
Abhd16a,3.1542463,0.7220577,0.0016091319737923401,0.017512100500526602,0.2967479674796748,0.18865811811450245,0.17109802,0.107173346
Ndufaf4,3.15321,0.4172,0.0016148566888946512,0.017560177754188295,0.4349593495934959,0.3327433628318584,0.2766709,0.21405497
Tub,3.1464272,0.33635804,0.001652784692312016,0.01795081838416486,0.6178861788617886,0.4934802239479863,0.4837239,0.40060693
Scaf8,3.1430874,0.31683713,0.0016717596351246025,0.018127595397820044,0.8617886178861789,0.6936969478056709,0.9283636,0.8013848
