names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Rps3a1,-5.5336547,-1.3547235,3.1362631961997585e-08,1.4247393843997551e-06,0.366412213740458,0.499836,0.22598003
5330438D12Rik,-5.540973,-1.5058385,3.007949922884809e-08,1.3726323516874796e-06,0.40458015267175573,0.47188374,0.19254875
Rps18,-5.540973,-1.9043435,3.007949922884809e-08,1.3726323516874796e-06,0.24045801526717558,0.3846602,0.11806604
Rpl36,-5.618153,-1.4169136,1.930094453544692e-08,8.970047264515308e-07,0.3320610687022901,0.45331863,0.19457331
Uqcr10,-5.653084,-1.758165,1.5759462054602643e-08,7.496895038710739e-07,0.23282442748091603,0.42549723,0.14564416
Rpl5,-5.7239428,-1.6100253,1.0407994362119462e-08,4.998315387713084e-07,0.3282442748091603,0.47040784,0.1796242
Rpl18a,-5.7379146,-1.4148152,9.584932748855766e-09,4.647309940971654e-07,0.31679389312977096,0.4780362,0.20691201
Actb,-5.7542157,-0.89493454,8.704497688073744e-09,4.2614009312729957e-07,0.683206106870229,0.9037532,0.58216345
Tpt1,-5.7778354,-1.6142098,7.566781157404257e-09,3.7224872181669237e-07,0.3053435114503817,0.49412104,0.18958184
Rps12,-5.7778354,-1.5034091,7.566781157404257e-09,3.7224872181669237e-07,0.3320610687022901,0.48489723,0.19893235
Ndufb3,-5.801455,-1.7087656,6.574194512690293e-09,3.26604687982668e-07,0.33587786259541985,0.46217647,0.16529135
Elob,-5.8160925,-1.6769508,6.0239131141484184e-09,3.0074833542666737e-07,0.26717557251908397,0.4660598,0.1703132
Atp5o,-5.8303976,-1.7776109,5.529553153090004e-09,2.7744051516871985e-07,0.22519083969465647,0.40877128,0.13739553
Rps5,-5.8463655,-2.0496602,5.02429102367847e-09,2.5334987486898687e-07,0.1984732824427481,0.4112984,0.11590582
Rpl8,-5.868987,-1.4706063,4.384651099570803e-09,2.2332932494531086e-07,0.4198473282442748,0.56628597,0.24282771
Ypel3,-5.90292,-1.7530776,3.5712403996522614e-09,1.83754895053536e-07,0.3511450381679389,0.49718186,0.17485921
Ptgds,-5.903585,-1.486268,3.556860556440639e-09,1.83754895053536e-07,0.33587786259541985,0.55767316,0.23624837
Rps13,-5.906912,-1.3739767,3.485802637236993e-09,1.812078329718303e-07,0.4351145038167939,0.5930019,0.27177554
Selenok,-5.914563,-1.724653,3.327573824411361e-09,1.738786633118579e-07,0.24045801526717558,0.3771365,0.12980725
Snhg20,-5.9415097,-1.2573804,2.824091766023851e-09,1.4833836177265903e-07,0.4580152671755725,0.53348917,0.2583943
Ddx5,-5.955482,-0.6351927,2.5930674775985027e-09,1.3763729216621526e-07,0.8587786259541985,1.2572374,0.9630759
Cck,-5.9568124,-1.1928082,2.5720505827655383e-09,1.3724407474703945e-07,0.549618320610687,0.74444526,0.39440578
Bex3,-5.96147,-1.757241,2.4997898540197306e-09,1.3409776956270736e-07,0.25190839694656486,0.44989225,0.15534793
Myl6,-5.977438,-1.1129478,2.266739960819454e-09,1.2224637703135934e-07,0.49236641221374045,0.59986883,0.32207975
Mt1,-5.9820957,-1.9828225,2.202850313411353e-09,1.1968374181494397e-07,0.2366412213740458,0.43188098,0.1280901
Dvl1,-6.0143647,-1.2520443,1.8059360708376686e-09,1.000706883208675e-07,0.44656488549618323,0.5004233,0.24110968
Oaz1,-6.0499606,-1.5709504,1.448813903744767e-09,8.117382344036653e-08,0.29770992366412213,0.48202458,0.1893508
Rpl35a,-6.062935,-1.4138921,1.33659992393017e-09,7.530508509964115e-08,0.4770992366412214,0.6249246,0.2820144
Atp5j2,-6.0759087,-1.6535496,1.2328745186186936e-09,6.985134561949171e-08,0.3435114503816794,0.47852072,0.17820008
Rpl22l1,-6.101857,-1.5863528,1.0484303694239567e-09,6.076678319333679e-08,0.2900763358778626,0.44318357,0.17033924
Rpsa,-6.1218176,-1.4168357,9.251397399191471e-10,5.3930833971587274e-08,0.4122137404580153,0.5485732,0.24192752
Stmn3,-6.2269416,-0.7835808,4.756283218559824e-10,2.838290902909812e-08,0.8282442748091603,1.1213033,0.7892947
Pebp1,-6.2309337,-1.8599952,4.636634627683583e-10,2.7833607273921988e-08,0.24427480916030533,0.48984796,0.16051926
Rps7,-6.235924,-1.8217806,4.491199208914891e-10,2.7122002408327347e-08,0.30916030534351147,0.48137867,0.16118358
Vamp2,-6.2645335,-1.4095867,3.7394327853542666e-10,2.271818050620348e-08,0.5229007633587787,0.6753531,0.3097923
Zcchc18,-6.3007946,-1.0095865,2.9612354679077895e-10,1.8209792496250034e-08,0.7213740458015268,0.91897726,0.55868584
Rps10,-6.322751,-1.7997221,2.56947281861537e-10,1.589762783787485e-08,0.31679389312977096,0.5025352,0.17187916
Rpl6,-6.362339,-1.1582229,1.9870451206031485e-10,1.236996916128565e-08,0.549618320610687,0.7179441,0.38564527
Rps2,-6.3693247,-1.8346938,1.8986201527202844e-10,1.1892909465952838e-08,0.25190839694656486,0.4297128,0.14019397
Cox6a1,-6.382299,-1.5840063,1.744488118497441e-10,1.0995726671904184e-08,0.4083969465648855,0.5979779,0.24137121
Fkbp1a,-6.4185605,-1.3452724,1.3756914279098498e-10,8.83684589201964e-09,0.5,0.6532653,0.30954424
Atp5e,-6.42355,-1.9580497,1.3313208953021716e-10,8.60664822379641e-09,0.22519083969465647,0.41890278,0.12567265
Crebzf,-6.429206,-1.1932933,1.2827240364737948e-10,8.400176563531312e-09,0.5419847328244275,0.579797,0.29533696
Rpl24,-6.429871,-1.5372338,1.2771220290677044e-10,8.400176563531312e-09,0.3702290076335878,0.60858846,0.25361252
