names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_HY Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Sidt1,-3.804499,-29.813469,0.000142091489094655,0.04894869630735102,0.0,0.5872041129636902,0.0,0.664497
Prpf4b,-3.815338,-3.9004335,0.00013599669229478881,0.04745754703845422,0.07142857142857142,0.6539683673105073,0.06452285,0.69078624
Entrep2,-3.817238,-3.7536595,0.00013495394904123467,0.04745754703845422,0.07142857142857142,0.6847441893677032,0.14343938,1.125067
Pak5,-3.8192043,-2.881378,0.00013388286943434227,0.04745754703845422,0.14285714285714285,0.7402263558142026,0.26886147,1.1857077
Sec24b,-3.8193033,-29.458912,0.0001338290780837276,0.04745754703845422,0.0,0.5894890927916027,0.0,0.55269694
Ipo11,-3.824855,-29.521564,0.00013084905310488073,0.04745754703845422,0.0,0.5903459602270699,0.0,0.571367
Snrnp70,-3.8268874,-2.4913254,0.00012977387176901168,0.04745754703845422,0.14285714285714285,0.7506515762790532,0.26886147,1.0059642
Tusc3,-3.8342564,-2.7675195,0.00012594466720566099,0.04745754703845422,0.07142857142857142,0.7125209754007641,0.19603208,0.90611094
Nfix,-3.8350332,-29.63204,0.0001255474033249413,0.04745754703845422,0.0,0.5919168838587597,0.0,0.6054171
Kcnq1ot1,-3.8478217,-2.933522,0.00011917273991136447,0.046408282919106716,0.21428571428571427,0.8022421364561391,0.41761732,1.6014006
Aff4,-3.8504653,-2.6799502,0.00011789361934266966,0.046408282919106716,0.07142857142857142,0.7156628226641437,0.19603208,0.8703837
Vti1a,-3.8587928,-2.9299,0.00011394849090347926,0.04639084773600739,0.14285714285714285,0.7455103716662501,0.21549454,1.0411807
Fam120a,-3.8593216,-29.493465,0.00011370225795004391,0.04639084773600739,0.0,0.5956656788889285,0.0,0.56293476
Zfyve9,-3.8595529,-3.9870095,0.00011359468892403118,0.04639084773600739,0.07142857142857142,0.6542539897889964,0.06452285,0.721172
Stag2,-3.864642,-29.535795,0.00011125231567466757,0.04639084773600739,0.0,0.5964868435145846,0.0,0.57567084
Csmd2,-3.8705735,-3.319507,0.00010857959744938534,0.04639084773600739,0.14285714285714285,0.7241600913991931,0.20796223,1.1962825
Tom1l2,-3.8750513,-3.2169404,0.00010660228117327269,0.04639084773600739,0.07142857142857142,0.7136634653147202,0.14343938,0.8895827
Eri3,-3.876439,-29.517233,0.00010599631707075783,0.04639084773600739,0.0,0.5983076868149524,0.0,0.5700609
Dgkh,-3.880388,-4.0143228,0.00010428993647243454,0.04639084773600739,0.07142857142857142,0.6726409368417294,0.102926,1.0122768
Usp15,-3.8819742,-3.5674157,0.0001036118538093676,0.04639084773600739,0.07142857142857142,0.697382984040844,0.102926,0.82644856
Slc17a7,-3.895424,-3.3316715,9.80271877997166e-05,0.04639084773600739,0.07142857142857142,0.7129851119283087,0.15161526,0.9738876
2210408F21Rik,-3.9115996,-29.937151,9.168684394288051e-05,0.04479319084991271,0.0,0.6037345139062444,0.0,0.7070358
Trim9,-3.9121778,-3.3030672,9.146750576791211e-05,0.04479319084991271,0.14285714285714285,0.7367631832625228,0.21334264,1.208122
Cdc37l1,-3.9153006,-29.65924,9.029161830208405e-05,0.04479319084991271,0.0,0.6043057588632226,0.0,0.6140266
Cacnb4,-3.9159286,-2.9875586,9.005692708795281e-05,0.04479319084991271,0.21428571428571427,0.7683958727551858,0.31842056,1.3797405
Cdh10,-3.9172173,-3.283275,8.957699662764892e-05,0.04479319084991271,0.14285714285714285,0.7543646684994109,0.28648612,1.4421315
Rb1,-3.9273293,-29.69706,8.58943650983016e-05,0.04479319084991271,0.0,0.6061623049734014,0.0,0.6261392
Tmcc1,-3.9328477,-2.9439194,8.394537919413168e-05,0.04479319084991271,0.14285714285714285,0.8104894855225107,0.3129414,1.3422041
Gigyf2,-3.9411752,-3.67735,8.108333561061278e-05,0.04479319084991271,0.07142857142857142,0.7008818594023349,0.09786103,0.8395388
Ryr3,-3.9476192,-3.892368,7.893222363941185e-05,0.04479319084991271,0.07142857142857142,0.7187689671177122,0.1967168,1.441803
Pard3,-3.9488418,-29.937204,7.853020159430384e-05,0.04479319084991271,0.0,0.6094826662858367,0.0,0.70705724
Arhgap32,-3.9570372,-3.4272232,7.588512706593218e-05,0.04479319084991271,0.07142857142857142,0.7255882037916384,0.14343938,0.97800964
Spire1,-3.967529,-4.0740614,7.26216396767849e-05,0.044348714957163866,0.07142857142857142,0.6699275232960834,0.06452285,0.7526302
Ralgapb,-3.9740555,-29.634306,7.065905215306667e-05,0.044153691426811664,0.0,0.6133742725552501,0.0,0.60613227
Clasp1,-3.9748156,-4.076882,7.043378759590606e-05,0.044153691426811664,0.07142857142857142,0.6678567603270378,0.06452285,0.75366586
Mga,-3.9789133,-29.664886,6.92309765486727e-05,0.044153691426811664,0.0,0.6141240315612839,0.0,0.6158218
Malat1,-3.9854562,-0.8533293,6.735056516667729e-05,0.044153691426811664,1.0,0.9936806026634296,4.398273,4.9842515
Ptpra,-3.9925942,-3.6214452,6.535436816507156e-05,0.044153691426811664,0.07142857142857142,0.7134135456460423,0.102926,0.847682
Atxn7l1,-4.007597,-29.735018,6.133971528609181e-05,0.043373635519402286,0.0,0.6185511799778642,0.0,0.6384675
Cep350,-4.0136113,-29.65229,5.979683296909578e-05,0.043373635519402286,0.0,0.6194794530329537,0.0,0.61181843
Focad,-4.0230293,-3.981152,5.7454395781365434e-05,0.04288332262903581,0.07142857142857142,0.69441965082652,0.102926,0.997703
Npepps,-4.024913,-3.7373202,5.6996458185005054e-05,0.04288332262903581,0.07142857142857142,0.7127351922596308,0.09786103,0.8633687
Lncpint,-4.0396676,-3.4615338,5.352702556992493e-05,0.04230209344305538,0.14285714285714285,0.7482951908315184,0.20796223,1.265973
Sdccag8,-4.0402126,-29.771416,5.340273120522787e-05,0.04230209344305538,0.0,0.6235852761612339,0.0,0.65045285
Map4k5,-4.0566363,-29.717075,4.978449319158485e-05,0.041803416626808906,0.0,0.6261201756578243,0.0,0.6326199
Snx13,-4.059412,-29.760841,4.919639649523865e-05,0.041803416626808906,0.0,0.6265486093755579,0.0,0.646954
Zfand3,-4.071292,-3.2761574,4.6753079859392216e-05,0.041803416626808906,0.14285714285714285,0.7470455924881289,0.16744885,1.0173756
Klhdc10,-4.071523,-4.194179,4.6706666844240136e-05,0.041803416626808906,0.07142857142857142,0.6786747116998108,0.06452285,0.79752415
Map2k5,-4.0725975,-29.755138,4.649174957516183e-05,0.041803416626808906,0.0,0.6285836695347924,0.0,0.6450738
Wdr26,-4.0982738,-29.727678,4.162427916100193e-05,0.04142386596504155,0.0,0.6325466814238281,0.0,0.6360714
Cap2,-4.0987363,-30.180107,4.154117990326573e-05,0.04142386596504155,0.0,0.6326180870434504,0.0,0.7959363
Larp4b,-4.1079893,-29.767653,3.991188387007259e-05,0.04142386596504155,0.0,0.6340461994358956,0.0,0.64920616
Syt7,-4.1133094,-30.134472,3.900269352527881e-05,0.04142386596504155,0.0,0.6348673640615516,0.0,0.7786994
Spred1,-4.125338,-29.872036,3.701905864369673e-05,0.04142386596504155,0.0,0.6367239101717305,0.0,0.6844142
Klhl2,-4.126891,-4.428283,3.677002487075941e-05,0.04142386596504155,0.07142857142857142,0.6853868399443036,0.06452285,0.8899414
Nebl,-4.145099,-3.6737444,3.396665011785198e-05,0.04142386596504155,0.14285714285714285,0.7465814559605841,0.20796223,1.3737301
Upp2,-4.14652,-4.1001983,3.3756634385138415e-05,0.04142386596504155,0.07142857142857142,0.7055589274875933,0.09786103,1.0164115
Nfasc,-4.1485524,-4.006525,3.345840552910623e-05,0.04142386596504155,0.07142857142857142,0.7218037059516584,0.09786103,0.9754724
Setbp1,-4.1533937,-3.4411294,3.2758039855217224e-05,0.04142386596504155,0.14285714285714285,0.7770716555392909,0.25454125,1.4227213
Ints6,-4.1658187,-29.957148,3.102370005684564e-05,0.04142386596504155,0.0,0.6429719018886786,0.0,0.7140843
Ankrd11,-4.174427,-3.2905731,2.98736729876035e-05,0.04142386596504155,0.14285714285714285,0.7798207718947481,0.20078704,1.1555688
Zmym2,-4.175815,-4.2573447,2.9692091795275313e-05,0.04142386596504155,0.07142857142857142,0.6935270805812418,0.06452285,0.82182527
Cpeb4,-4.193792,-3.9914954,2.7432969355589186e-05,0.04142386596504155,0.07142857142857142,0.7284087257667179,0.09786103,0.96899015
Trim33,-4.194271,-29.86974,2.737505014321656e-05,0.04142386596504155,0.0,0.6473633474954479,0.0,0.68362087
C2cd5,-4.197361,-4.3749633,2.7004353996857158e-05,0.04142386596504155,0.07142857142857142,0.6886714984469278,0.06452285,0.8683218
Scai,-4.1978397,-4.0910163,2.6947295635396522e-05,0.04142386596504155,0.07142857142857142,0.7171266378664001,0.09786103,1.0123559
Kalrn,-4.227647,-2.863041,2.3614786467808926e-05,0.04142386596504155,0.35714285714285715,0.845978078474776,0.78973484,2.2773654
Arglu1,-4.321265,-30.012686,1.5513720825701623e-05,0.04142386596504155,0.0,0.6669641900817594,0.0,0.7339167
Tnpo1,-4.3224216,-30.03789,1.543259230967786e-05,0.04142386596504155,0.0,0.6671427041308151,0.0,0.7430392
Mrtfb,-4.3334093,-4.630154,1.4681781766458174e-05,0.04142386596504155,0.07142857142857142,0.704951979720804,0.06452285,0.97474754
Clcn3,-4.377707,-30.03251,1.1993455258657502e-05,0.04142386596504155,0.0,0.6756756756756757,0.0,0.7410879
Cspp1,-4.420732,-30.224815,9.83670811995407e-06,0.04142386596504155,0.0,0.6823163983005462,0.0,0.81306463
Epha4,-4.5350037,-30.988258,5.760252642916403e-06,0.03869449712879094,0.0,0.6999535863472456,0.0,1.1410568
Stox2,-4.607803,-4.8392715,4.069462922398815e-06,0.03644882290828538,0.07142857142857142,0.7467956728194509,0.06452285,1.0674491
