names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Unknown (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90ab1,61.046513,2.8735602,0.0,0.0,0.8103313331594052,0.8087876658537594,2.5385683,0.9521286
Calm1,59.037067,2.58807,0.0,0.0,0.8082441951474041,0.8410697309139007,2.6225848,1.1391069
Hsp90aa1,55.9424,2.7563376,0.0,0.0,0.7787633707278894,0.7979167527797296,2.4046311,0.9126849
Rtn1,54.293217,1.4892281,0.0,0.0,0.8147665014349074,0.9190674988633075,2.6397965,1.7288706
Tmsb4x,51.291267,2.77667,0.0,0.0,0.7469345160448735,0.717232257264498,2.3687627,0.8809537
Camk1d,51.028244,1.0422871,0.0,0.0,0.8552048004174276,0.9691233001281362,2.9000447,2.2342408
Atp1b1,50.54599,1.877125,0.0,0.0,0.7727628489433864,0.8734757987847724,2.4409988,1.3491472
Hspa8,49.135387,2.9241073,0.0,0.0,0.7127576310983563,0.6645310627040879,2.0790126,0.6532665
Calm2,48.323547,1.8530327,0.0,0.0,0.7568484216018784,0.8725251105691729,2.3182487,1.2627112
Atp6v0c,38.919025,2.4782603,0.0,0.0,0.6535350900078267,0.6856942090687389,1.9227835,0.71688825
Ubb,37.940517,3.0258877,0.0,0.0,0.588051134881294,0.46591989418426816,1.6864581,0.4319482
Nrgn,35.94877,2.1053796,5.290565360304825e-283,5.362410080399496e-282,0.6566657970258283,0.7470342661100319,1.9688613,0.8887577
Fth1,35.71952,2.621811,1.967729291901691e-279,1.9669972497544063e-278,0.6081398382468041,0.5754557103294341,1.7555987,0.5753206
Cmss1,30.58246,1.2083526,2.0943514053162852e-205,1.5982738500667023e-204,0.6634489955648317,0.8690530318687224,1.952324,1.2853827
Ppia,30.161861,2.622894,7.497629502249399e-200,5.596147353484482e-199,0.5546569266892774,0.5289133220352995,1.5664135,0.47944838
Cpe,30.121214,0.86810434,2.5563392368038715e-199,1.9027378197484774e-198,0.6759718236368379,0.8719464307857645,1.9463764,1.4560459
App,29.169518,0.4199068,4.725271296647976e-187,3.3678525130220453e-186,0.6929298199843464,0.9309717686934237,2.0246246,1.7772057
Rplp1,29.098614,2.1716094,3.737859668710236e-186,2.6521333324067613e-185,0.5911818418992956,0.6632083660562973,1.6818368,0.6786343
Cst3,27.954802,2.1935399,5.763184229437598e-172,3.8772348584123245e-171,0.5820506130967911,0.5868639689166287,1.6781719,0.66897434
Map1b,27.87627,0.5953551,5.175827504737917e-171,3.4690567486232936e-170,0.6757109313853379,0.8852560658041583,1.9672017,1.6235391
mt-Co3,27.361063,2.220913,7.975962679898452e-165,5.243800274256702e-164,0.5682233237672841,0.6138139131153639,1.6549726,0.6460506
Actb,24.856894,1.8997289,2.1781153118848855e-136,1.2770228765076778e-135,0.5786590138272893,0.6992105154383499,1.6081693,0.7276825
Cox4i1,24.22882,2.4123356,1.1058118297964682e-129,6.324641095494062e-129,0.5144795199582572,0.5294920018187079,1.407377,0.45714775
Cck,23.522009,2.2037532,2.4288004566884176e-122,1.3520171591302626e-121,0.5353509000782677,0.6059604017691068,1.5058535,0.5661593
Mt3,21.712511,2.3218002,1.562787535662005e-104,8.059904238625351e-104,0.4909992173232455,0.5020460463770512,1.357669,0.45582622
Gapdh,21.392069,2.739248,1.5837801069443125e-101,8.034013870793596e-101,0.4176884946517088,0.33869301037490185,1.1105813,0.26615322
Cox8a,21.358286,2.4629629,3.2657150472035185e-101,1.6550313715269435e-100,0.4693451604487347,0.46079444467407926,1.2855034,0.3883621
Lars2,21.197428,1.1126026,1.0085936728320294e-99,5.076978641625446e-99,0.5971823636837986,0.8281734385979416,1.6679151,1.0949663
Pcsk1n,21.037155,2.1594925,2.998331915650474e-98,1.497772421891211e-97,0.5043047221497522,0.5610713842847105,1.3758414,0.5081389
Chgb,20.913261,2.3703973,4.0553530669715153e-97,2.01567400868525e-96,0.4969997391077485,0.5491257801843509,1.3960403,0.4623187
Aldoa,20.283695,2.4566762,1.7915162454534904e-91,8.665714044164768e-91,0.4628228541612314,0.46538254867110324,1.2431782,0.37110254
Ndufa4,18.361269,2.447008,2.6826239198698593e-75,1.1940053789448917e-74,0.4257761544482129,0.40499317984540983,1.1357712,0.3275821
mt-Co1,17.032457,2.084017,4.718051316481654e-65,1.9817733136448655e-64,0.46673623793373337,0.5217624932831811,1.3123779,0.49491087
Plp1,16.355562,1.3623832,3.9702535357499707e-60,1.613684956974765e-59,0.5851813201147926,0.7393460918447485,1.8334779,1.1132075
Slc25a4,16.088675,2.278392,3.0632502354115206e-58,1.2327322723604547e-57,0.4343855987477172,0.4674905964535196,1.1379577,0.3626053
Serinc1,15.463701,1.5293173,6.099111135596303e-54,2.393502500561891e-53,0.5249152100182625,0.7294258669863184,1.4246418,0.7388372
Ckb,15.249251,1.9548205,1.6653096440049203e-52,6.484113916013941e-52,0.4688233759457344,0.562559418013475,1.2290807,0.48473945
Olfm1,14.943411,1.0763944,1.7194392157512581e-50,6.617205919111473e-50,0.543960344377772,0.7792749968999297,1.504463,0.97854203
Rps8,14.916512,1.921236,2.5738143945528166e-50,9.888246036836459e-50,0.4654317766762327,0.5571859628818253,1.2378565,0.4985904
Rps21,14.673652,2.1074572,9.508752430984511e-49,3.6200081867463e-48,0.42629793895121315,0.4643491919150167,1.1444045,0.40328377
Eef1a1,14.579484,1.891063,3.7937351960187275e-48,1.4395941917387828e-47,0.4646490999217323,0.5639234489315091,1.2160087,0.49467668
Rps29,14.438,2.0034525,2.983756412538582e-47,1.1257165796814337e-46,0.45108270284372554,0.5270946141445872,1.2067212,0.46009818
Sparcl1,14.143701,1.6508403,2.0425563322301726e-45,7.617416883695314e-45,0.4865640490477433,0.6066630843632456,1.3052821,0.6185524
Ptgds,13.696217,2.1153207,1.0695386239147027e-42,3.9179962951040306e-42,0.3803809026871902,0.36270822138635145,1.0314312,0.3482613
Cox6c,13.328939,2.213009,1.5711490680752096e-40,5.660602770069843e-40,0.4036003130707018,0.4376885876079858,1.075719,0.34834552
Itm2b,13.3283205,1.270075,1.5842347665635566e-40,5.706983265526581e-40,0.5249152100182625,0.7546397718348282,1.3926969,0.81295806
mt-Nd2,12.721484,2.0294836,4.492466273214553e-37,1.57649952672424e-36,0.40333942081920166,0.44231802587525315,1.081848,0.39046565
Eif1,12.607133,2.1410835,1.9288194961410656e-36,6.733635519669384e-36,0.3876858857291938,0.412846691191667,1.0079503,0.33251438
Cox7c,12.106402,2.066232,9.76856200033265e-34,3.3411565803072594e-33,0.4096008348552048,0.4712933493159178,1.0857658,0.3841872
Tuba1a,12.014893,2.1633778,2.967535437513671e-33,1.0097211245535309e-32,0.3848160709626924,0.4161534328111437,0.98297673,0.31724167
mt-Nd4,11.640584,1.9823611,2.562541496146351e-31,8.577985548953838e-31,0.39186016175319593,0.4316124498821973,1.0418497,0.38134676
Dynll1,11.381558,2.0284936,5.166792260817552e-30,1.710803549576927e-29,0.4116879728672058,0.4901417765469351,1.088088,0.39374512
Rps23,11.308863,2.1139274,1.186167851311622e-29,3.9155196762583885e-29,0.36707539786068355,0.38750878353242674,0.94931006,0.311824
Tubb2a,11.231107,2.289393,2.868625580100529e-29,9.443760026623526e-29,0.3597704148186799,0.3760591906749886,0.93142533,0.27356422
Rpl38,11.145889,1.985252,7.499156549350985e-29,2.460345988779743e-28,0.4122097573702061,0.4896044310337701,1.0913031,0.40521273
Tpt1,10.930831,2.1630077,8.209278362541125e-28,2.6682388968365793e-27,0.35690060005217844,0.37279378332575536,0.91703486,0.28919446
Syt11,10.600134,0.8154093,2.975537931693284e-26,9.52838806156579e-26,0.5343073310722671,0.8330922167569131,1.4334495,1.0347838
Aplp1,10.531854,1.6176704,6.16090236537282e-26,1.9653739351486128e-25,0.4654317766762327,0.6351423965609887,1.2177286,0.5740176
Chchd2,10.502048,2.0374775,8.452668279451548e-26,2.693586298255018e-25,0.39629533002869816,0.46604389699499854,1.0229619,0.36042184
mt-Atp6,10.437434,2.113362,1.6727090958743814e-25,5.317129232952162e-25,0.3527263240281764,0.36882569338238336,0.92867273,0.30295956
Rpl37,10.420272,2.0410037,2.00379476055388e-25,6.363546296665023e-25,0.37933733368118966,0.427975034100773,1.0138642,0.3554022
Psap,10.418371,1.5428287,2.0442371714203145e-25,6.490446980510912e-25,0.4701278372032351,0.6482040259579217,1.2174835,0.59685284
Apoe,10.012037,1.8722719,1.3494428819572776e-23,4.22309925904869e-23,0.3472475867466736,0.34658785599140246,0.9500462,0.35987982
Rpl19,9.78171,2.0606618,1.34912062093419e-22,4.171561689816075e-22,0.3668145056091834,0.413384036704832,0.95134693,0.322765
Fau,9.528477,1.9855078,1.5960726420763198e-21,4.8729089754108304e-21,0.3702061048786851,0.4211962137808457,0.9627396,0.34274018
Selenow,9.430131,1.8026161,4.095789523803074e-21,1.2457987831626512e-20,0.4283850769632142,0.5633447691481007,1.1257689,0.46811476
mt-Nd1,9.296741,2.0726662,1.448166616591874e-20,4.379542711066253e-20,0.3344638664231672,0.3511759599884264,0.86840934,0.28427187
Rpl13,8.906217,1.8685075,5.280376819368447e-19,1.565699902189695e-18,0.390033915992695,0.4739387426114992,1.0161923,0.39387447
Pebp1,8.694239,2.2249038,3.491617381418847e-18,1.0269238073415544e-17,0.30733107226715367,0.31236308022981857,0.78002495,0.22533652
Rps16,8.637105,1.9974357,5.76555793479423e-18,1.6916416434584075e-17,0.3657709366031829,0.42669367172322575,0.9583952,0.33832318
Calm3,8.615571,1.932706,6.959398909595501e-18,2.0394704842494396e-17,0.3855987477171928,0.4726987145041954,0.99030286,0.36687136
Atp5h,8.473629,2.2051914,2.378640356900407e-17,6.925351217890771e-17,0.3162014088181581,0.33104617037986195,0.8061545,0.23802866
Cfl1,8.431689,2.139839,3.407098608410164e-17,9.89716103870066e-17,0.3292460213931646,0.35688008928202375,0.8366322,0.25999442
Rpl37a,8.252861,1.8344772,1.546467640894125e-16,4.451851886739355e-16,0.3915992695016958,0.4880750630347621,1.0307962,0.4092113
Rpl41,8.214178,1.7767721,2.1362245286276583e-16,6.139075196173816e-16,0.40829637359770415,0.5287066506840822,1.0835408,0.451441
Ndufa13,8.030481,2.1726742,9.709081161709906e-16,2.766521853819143e-15,0.288025045656144,0.28603315008473523,0.73500794,0.21572663
Cox5b,7.860749,2.3086576,3.81843856510332e-15,1.07921998784397e-14,0.2648056352726324,0.24928698383830034,0.67343366,0.17728192
Sst,7.7136974,2.2647312,1.222241751176667e-14,3.431369329653855e-14,0.2666318810331333,0.252139048485099,0.7347469,0.20356596
Rpl9,7.633456,2.0105789,2.285425110270524e-14,6.383510677023803e-14,0.3284633446386642,0.3655602860331501,0.8648526,0.2935297
Rnasek,7.127696,2.0967846,1.0206296979723043e-12,2.7805251936039557e-12,0.29846073571614923,0.3172405241185467,0.7676192,0.23896046
Rpl35a,6.995099,1.888231,2.6507152799282293e-12,7.163302783030426e-12,0.36733629011218366,0.4564130120282726,0.9642475,0.36351928
Elob,6.949939,2.2213235,3.654452795842964e-12,9.852026349383009e-12,0.2741977563266371,0.277270284793122,0.7024132,0.19756901
mt-Co2,6.6812844,1.9771954,2.3685703844728053e-11,6.302583306673032e-11,0.31594051656665795,0.352581325176704,0.8184489,0.27898908
Atp5md,6.335079,2.0596986,2.3721921271489515e-10,6.185424789567426e-10,0.3274197756326637,0.3839953705617327,0.86965525,0.28703907
Actg1,6.31891,1.8915154,2.6341480960650966e-10,6.863139662684877e-10,0.3472475867466736,0.4235109329144794,0.8749694,0.31991532
Rpl24,6.304176,2.001748,2.8973142092532343e-10,7.545878918545546e-10,0.31411427080615706,0.35688008928202375,0.7939629,0.26441532
Chchd10,5.9207726,2.294778,3.2043292193469153e-09,8.165812416905502e-09,0.2123662927211062,0.19199768528086636,0.5285386,0.13272549
Rps27a,5.8656073,1.9041315,4.474916549912692e-09,1.1372458876019486e-08,0.3357683276806679,0.4059025337907659,0.8600684,0.31060353
Atp5k,5.7336326,2.053722,9.8302141480749e-09,2.4838993244195277e-08,0.2833289851291417,0.308353656016203,0.71112007,0.2228223
Mt1,5.6202297,1.9682773,1.907038292222091e-08,4.791669993642003e-08,0.26193582050613096,0.27036746166246434,0.65897363,0.21380979
Rps14,5.5562587,1.7702898,2.756180313506465e-08,6.890450783766162e-08,0.3683798591181842,0.47757615839292356,0.9497024,0.38159963
Uqcr11,5.54446,2.0691886,2.9486269566471372e-08,7.364715218916953e-08,0.27341507957213673,0.2946306782953747,0.698374,0.21574967
Rpl21,5.3924823,1.8833717,6.949087858989469e-08,1.7203057929891933e-07,0.31333159405165667,0.3689910304633572,0.80019885,0.2869078
Cox6b1,5.318953,2.0269492,1.0436611187329617e-07,2.5732404349747365e-07,0.306026611009653,0.35688008928202375,0.78420925,0.25631505
Atp1a3,5.2313027,0.98915154,1.6831947350758527e-07,4.126214992381002e-07,0.4693451604487347,0.7430661761666598,1.2426726,0.80725056
Rpl23,5.0876646,1.9725957,3.624996112456946e-07,8.825991803345247e-07,0.29167753717714584,0.33216219567643535,0.7435608,0.24775276
Cox6a1,5.033171,1.9497057,4.824323880700693e-07,1.1703645961938212e-06,0.31828854683015917,0.38461538461538464,0.800343,0.2757002
Dbi,5.014973,2.0260298,5.304086894466477e-07,1.2851290789388117e-06,0.22775893555961388,0.22518910428636382,0.5691912,0.17250827
Calr,4.8195176,1.6751744,1.439057619029234e-06,3.4462993068908667e-06,0.3728150273936864,0.4986153019468441,0.93759763,0.39645764
Atp5e,4.6798396,2.0916684,2.8709950055320024e-06,6.8184228211635946e-06,0.2389773023741195,0.24903897821683957,0.6046849,0.17804927
Gpx4,4.6473193,1.9284776,3.362767049664419e-06,7.967335387045493e-06,0.3015914427341508,0.35642541230934566,0.74372137,0.2546124
Atp5g1,4.5559525,2.1672761,5.214865618854312e-06,1.2293686539622335e-05,0.24628228541612315,0.26313396436985903,0.6248888,0.17668255
Rps7,4.5211277,1.9222308,6.151103744806531e-06,1.4469067462396172e-05,0.29011218366814506,0.337535650808085,0.7342562,0.25152975
Rps3,4.514858,2.0012984,6.33592911287462e-06,1.4894699498070083e-05,0.2535872684581268,0.27429421733559295,0.6371698,0.20096357
Rpl17,4.326435,1.7254015,1.5154198336112012e-05,3.5160461902368515e-05,0.3555961387946778,0.4707146695325094,0.9110348,0.3713285
Rpl27a,4.31036,1.755759,1.629888703874938e-05,3.777720130520106e-05,0.3428124184711714,0.4419873517133055,0.87731445,0.34774905
Rps15,4.3064075,1.6853248,1.659272545703536e-05,3.8448303986766134e-05,0.36890164362118444,0.4991526474600091,0.9557936,0.40394357
Cox7a2,4.257835,2.0210645,2.064164065765018e-05,4.766594056987455e-05,0.27471954082963734,0.3147191336336957,0.69999987,0.2229553
Rps3a1,4.20087,1.8302388,2.658911692476557e-05,6.112676007601394e-05,0.3049830420036525,0.368164345058488,0.7554046,0.2756197
Ndfip1,4.098763,0.7691004,4.1536389269595206e-05,9.483242243810207e-05,0.48369423428124186,0.7896085644607944,1.2549417,0.9048014
Atp5b,4.0783014,1.7489238,4.536590544281602e-05,0.00010339116872336441,0.36003130707018,0.48621502087380647,0.9186694,0.3702225
