names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Unknown (for_DEGs),mean_expr_Rest (for_DEGs)
Ywhah,4.020619,1.4718032,5.804538750968704e-05,0.0001317742110835832,0.41012261935820504,0.6034390112842558,1.0632418,0.52085984
Rpl32,3.7828803,1.919855,0.00015502401000081495,0.00034674895102987575,0.2718497260631359,0.3152978134171041,0.6898299,0.23311806
mt-Cytb,3.6221292,1.8526491,0.00029218798759803586,0.0006460739982520757,0.27211061831463607,0.3160004960112429,0.6899273,0.24302745
Hsp90b1,3.5615063,1.4781382,0.00036873321888988955,0.0008115211394521528,0.3947299765196974,0.565080808498326,0.98266083,0.4700083
Rplp2,3.504447,1.8058815,0.00045755652501158154,0.0010021636637643622,0.29950430472214973,0.36783367089654034,0.7424963,0.2737935
Gnas,3.4640353,0.90397406,0.0005321366321630483,0.0011610646614877065,0.4646490999217323,0.7495556565948828,1.2163646,0.8194174
Rpl28,3.407207,1.9103284,0.000656313199877979,0.0014263293174313569,0.2655883120271328,0.3094696813127764,0.67610145,0.22875921
Rpl34,3.3880734,1.855793,0.0007038542331889947,0.0015271772646792867,0.2801982781111401,0.335014260323234,0.71555036,0.25371164
Rab3a,3.3346884,1.9792261,0.0008539499267593705,0.0018428748319030029,0.27341507957213673,0.32550737816723846,0.67988527,0.22069517
Stmn3,3.3159535,1.2957929,0.0009133103018659005,0.0019682906489522575,0.42525436994521265,0.6568015541685611,1.1122297,0.60506827
Rps10,3.2392857,1.8319436,0.0011982947632743456,0.0025662054904902897,0.29063396817114534,0.35675608647129337,0.73875207,0.2678097
Tuba4a,3.18807,2.0921242,0.0014322586371178427,0.0030545908071558407,0.24602139316462301,0.2805770264125987,0.6016514,0.17690858
Hexb,3.17845,0.8618127,0.001480647586996237,0.003155786520392551,0.46204017740673103,0.7128508246186913,1.2052598,0.82693565
Rpl27,3.141948,2.0642958,0.0016782788660838,0.003567105927200736,0.20871380120010435,0.22146901996445253,0.5232436,0.15218979
Rps17,3.1216066,2.018584,0.0017986707045666698,0.0038166533863781427,0.22488912079311243,0.24688959616417971,0.56694037,0.17250279
Ly6h,2.945591,1.50667,0.0032233837161330034,0.006726125685524097,0.387946777980694,0.5699995866572976,1.0114475,0.47977802
Rpsa,2.9070315,1.7252252,0.0036487652845902203,0.007591940777213816,0.31933211583615967,0.4149547389740834,0.8020396,0.31629875
Tubb4b,2.8847637,2.2177367,0.003917073930008033,0.008135717438302223,0.17453691625358728,0.17476129458934403,0.42290092,0.10720366
Bsg,2.795283,1.7053229,0.005185430249193767,0.010690747394754585,0.3292460213931646,0.4338445004753441,0.8161978,0.32711402
Rpl18,2.7904708,1.9260843,0.005263144109564759,0.010843481231713317,0.22723715105661363,0.25416442772702846,0.564886,0.18214665
Stmn1,2.7577612,1.6681105,0.00581986732372999,0.011951989834043476,0.3357683276806679,0.4508328855454057,0.8432626,0.34825736
Rpl26,2.7560358,1.8142014,0.005850657955056308,0.012012468805101475,0.2812418471171406,0.3453478278840987,0.7046962,0.25539234
Rps11,2.7260833,1.8946083,0.006409083574342081,0.013121919814277029,0.2543699452126272,0.2991774480221552,0.63632256,0.21449281
Mif,2.6780283,2.0411518,0.007405695147398129,0.015099099219256978,0.21367075397860683,0.2349439920638201,0.5297514,0.15676144
Rps5,2.6503243,1.9592831,0.00804145242593787,0.016359314558218548,0.23245499608661624,0.2642499896664324,0.57732624,0.18307818
Nefl,2.6136181,2.1017826,0.008958909724469636,0.01816662171130474,0.2295851813201148,0.2615632621006076,0.57069385,0.16489507
Ndufa3,2.506322,2.0414634,0.01219944813625106,0.024502853298031545,0.20375684842160188,0.2220890340181044,0.50899833,0.14945866
Rpl8,2.436569,1.7353255,0.014827345088002554,0.029597411968994028,0.29741716671014873,0.3795726036456826,0.7359648,0.28263408
Atp5g3,2.4305522,2.0322363,0.015075827821896697,0.03007331058458532,0.22228019827811113,0.2515603687016906,0.54781085,0.16410328
Bex2,2.3834999,1.9040191,0.017148890628934647,0.03407711072322688,0.2629793895121315,0.3202579258463192,0.6629746,0.22419527
Slc17a7,2.3563063,0.599384,0.018457694696000976,0.03654275394057959,0.46125750065223065,0.7524077212416814,1.2085006,0.9361202
Rpl39,2.331472,1.9423476,0.019728488736903284,0.038952494111293354,0.2108009392121054,0.23457198363162898,0.5279481,0.16631997
Tuba1b,2.2887084,2.0939088,0.022096302633824325,0.04345196514716479,0.1938429428645969,0.20985409002604058,0.4702998,0.13160527
Gm47371,-2.2336335,0.5522616,0.02550719904956717,0.049921949046680014,0.012261935820506132,0.035092795436696564,0.02838636,0.019445162
Gm57110,-2.2427926,0.2715773,0.024910193598708,0.04878904453657584,0.008609444299504304,0.03137271111478527,0.01894365,0.015718577
Mrpl36,-2.244777,1.3776202,0.024782454957136362,0.048549472491852874,0.04043829898252022,0.06547348406563883,0.09486776,0.037582874
Ccdc115,-2.2562234,0.8376866,0.024056643662286055,0.04717574187750885,0.015131750587007565,0.03831686851568636,0.032387946,0.018251447
Polr2i,-2.2640996,1.4749303,0.023567984403340823,0.04624875243771367,0.04956952778502478,0.07588972016699046,0.11657116,0.04351789
Cnpy4,-2.2680554,0.2510013,0.0233258209618258,0.04579605503757557,0.008609444299504304,0.03162071673624602,0.018282747,0.015385575
Cebpb,-2.2786403,0.7033144,0.022688453424823604,0.0445805296910428,0.015131750587007565,0.03856487413714711,0.034726486,0.021470094
Rab29,-2.2804916,0.471587,0.022578554054232876,0.0443743232473111,0.017740673102008872,0.041251601702971936,0.035967503,0.026068086
F2r,-2.288155,0.5512179,0.022128492761365644,0.043512081997650554,0.012261935820506132,0.03563014094986153,0.027136395,0.018598607
Pnma8b,-2.2984982,1.6189536,0.02153345480423798,0.04238546118158922,0.2194103835116097,0.30690695655768196,0.52853894,0.20436394
Emc6,-2.304519,1.5448341,0.02119353003071105,0.0417316541056138,0.06574484737803288,0.0948208159384946,0.15197846,0.054729555
Pcp4l1,-2.3062563,0.92454016,0.021096319878492045,0.041543284363142634,0.025306548395512652,0.04960112429215062,0.056822937,0.030339064
C1ql1,-2.3093557,0.36626986,0.02092384522006339,0.041221770002427105,0.018001565353509,0.04183028148638036,0.043038208,0.033548255
Cops6,-2.3116217,1.6644036,0.02079854110509223,0.04098091951996981,0.08609444299504304,0.11924936965237878,0.20391814,0.06892854
Rps9,-2.3126037,1.542703,0.020744440197666823,0.04087731798997562,0.2329767805896165,0.32782209730087214,0.56316525,0.23076873
Nop16,-2.316449,0.7785151,0.020533773302420948,0.04048891822382409,0.013827289329506914,0.0375728516513041,0.03136839,0.018406125
Pomp,-2.3176231,1.7709141,0.02046981019329092,0.04037464581176885,0.13931646230106967,0.1877402554457901,0.33369198,0.10981372
Npffr1,-2.3266125,0.25126246,0.019985898444433308,0.03943465201952732,0.009653013305504827,0.03331542181622783,0.021010153,0.017681414
Klkb1,-2.3272755,0.5671006,0.01995061239321814,0.03937370216715178,0.016697104096008348,0.04067292191956351,0.035874005,0.024354508
Wdr54,-2.3307693,0.7339689,0.01976552874073372,0.03901989253276872,0.012783720323506392,0.03662216343570454,0.029810477,0.018029787
B3galt6,-2.3310797,0.8172606,0.019749153428806777,0.03899043002439663,0.014349073832507175,0.038275534245442895,0.03130871,0.017888403
Hpca,-2.342741,1.6050195,0.019142661308624697,0.037840308200010705,0.26089225150013046,0.37986194353738684,0.652668,0.26439944
Prelid3b,-2.353976,1.1493012,0.018573815438557392,0.03676181650221251,0.030002608922515002,0.05513991650477411,0.06408884,0.029403487
Nfkbia,-2.35818,0.4885061,0.018364788300120817,0.036364175506576744,0.015653535090007827,0.03988757078493779,0.035122886,0.025159936
Scrg1,-2.3582842,0.59853625,0.018359632952880768,0.03635664657999162,0.02974171667101487,0.05476790807258298,0.065162554,0.043507624
Gm17529,-2.3617136,0.5751303,0.01819069009079273,0.03604600610174046,0.013044612575006522,0.03720084321911297,0.029031813,0.01957959
Ap5s1,-2.3737822,0.5971058,0.017606937706393936,0.034945960715822504,0.012522828072006262,0.03678750051667838,0.027087068,0.017988639
Tubb2b,-2.3769343,1.5060943,0.017457195788642826,0.0346564352302056,0.06991912340203496,0.10023560534038771,0.156817,0.05805556
Pcdhga11,-2.3771868,0.89202875,0.017445250585869067,0.03463528027503338,0.018784242108009393,0.0434009837556318,0.041270602,0.022450296
Yif1b,-2.3786738,1.2244409,0.01737504625088034,0.03450099710029225,0.030524393425515262,0.0560492704501302,0.07002361,0.030569604
Norad,-2.380337,1.2547152,0.01729681654013661,0.03435093650210866,0.35507435429167755,0.5697102467655933,0.8924668,0.47246906
Mid1ip1,-2.3822782,0.8064975,0.01720588892076418,0.03418026284939624,0.02478476389251239,0.049807795643367916,0.054514457,0.031532466
Pigbos1,-2.38899,1.0603095,0.016894764453052036,0.03358703172932142,0.021914949126010958,0.04687306245608234,0.050762184,0.0246637
Camk2n1,-2.390086,1.0715073,0.016844436271268432,0.03348945635286591,0.3816853639446908,0.6310916380771298,1.0034388,0.5999634
Cebpzos,-2.400402,1.289682,0.016377074474192625,0.03258920174195037,0.03208974693451604,0.05790931261108585,0.07346006,0.030703155
Oard1,-2.4014099,0.4665472,0.01633203549691197,0.03250198443208596,0.014088181581007045,0.03868887694787748,0.029107254,0.02114911
Ctsz,-2.4014409,0.5791138,0.01633064476990114,0.03250162395135499,0.03522045395251761,0.06096804860910181,0.07211823,0.048844863
Ramp2,-2.4065034,1.0031483,0.01610605299950693,0.03207126456919751,0.028959039916514478,0.05456123672136568,0.06722395,0.034103487
Lxn,-2.4083664,0.9389825,0.01602408998310422,0.03191278519463463,0.02295851813201148,0.04815442483362956,0.050397504,0.026603976
Mchr1,-2.4090626,0.4676495,0.01599355445909416,0.03185433313437551,0.008087659796504044,0.032530070681602116,0.018720629,0.013572663
Scand1,-2.4201653,1.6935339,0.015513455606036345,0.030916454211540205,0.11922775893555962,0.16219567643533253,0.2885838,0.098421834
Tmem203,-2.4268887,0.61671376,0.015228926289589072,0.030362933100931834,0.015131750587007565,0.040052907865911626,0.031413153,0.020597812
Gm10062,-2.4303794,1.205342,0.015083025618208092,0.030085435258054443,0.04722149752152361,0.0749390319513909,0.1106476,0.049494185
Irf2bp1,-2.4427617,1.2092892,0.014575361410677385,0.029109555604645555,0.034437777198017216,0.06088538006861489,0.075464435,0.0333381
1700003E16Rik,-2.444503,0.4260849,0.014505180088665498,0.028975852277335654,0.008348552048004174,0.033150084735254,0.018292665,0.013646593
Slc32a1,-2.4452167,1.3994312,0.014476518293692234,0.028925048077893388,0.045656144012522826,0.07336832968213947,0.10761957,0.04217063
Mc1r,-2.4518487,1.1403364,0.014212439895435015,0.028409236253680734,0.037307591964518654,0.0641921216880916,0.09009198,0.04187888
Olfml3,-2.4541824,0.29043296,0.014120538610885547,0.02823267151383992,0.03026350117401513,0.05609060472037366,0.060786333,0.049974266
Coq7,-2.46062,1.328234,0.013869719551074274,0.027741503970326466,0.03809026871901904,0.06510147563344769,0.086807355,0.03547954
Ermn,-2.4608715,0.9315756,0.013860004860613968,0.02772413687223236,0.06704930863553353,0.09709420080188484,0.14749141,0.080031425
Bbln,-2.4675207,1.7343888,0.013605235212517545,0.027224655210034737,0.15418732063657709,0.21026743272847517,0.37857673,0.12954311
Cmpk2,-2.469589,0.77341133,0.013526840736676048,0.02707383319139556,0.013827289329506914,0.03914355392055553,0.030743314,0.018100359
Nfkbib,-2.4697232,0.91717863,0.013521764013684665,0.0270656882484883,0.020088703365510045,0.04575703715950895,0.04486365,0.02400775
Aga,-2.4705987,0.25680375,0.013488705031461901,0.02700353927845189,0.01643621184450822,0.0417889472161369,0.030307196,0.025427552
Prss23,-2.4709382,0.7592959,0.013475906296853352,0.026979927143763474,0.015392642838507697,0.040796924730293886,0.035752133,0.021275973
Wdr72,-2.4764767,0.9349058,0.013268626992221902,0.026582762248807224,0.02817636316201409,0.05447856818087877,0.06393728,0.033953432
Smim18,-2.4830906,0.9661336,0.013024794611480718,0.026105939967961126,0.01904513435950952,0.044765014673665934,0.042668123,0.022068148
Exosc4,-2.4881563,1.3776392,0.01284072750534094,0.025748533437948588,0.03574223845551787,0.06286942504030091,0.083747566,0.0330654
Mea1,-2.4950752,1.3595494,0.012593038938377061,0.025268834013456174,0.043829898252021916,0.07188029595337495,0.09948054,0.039952997
Mfsd5,-2.4993718,1.200885,0.012441370990227157,0.02497009549651955,0.030785285677015394,0.05753730417889472,0.07014041,0.031117912
Mdk,-2.5012326,0.32753038,0.012376185949443834,0.02484297896769429,0.015131750587007565,0.04075559046005043,0.031005632,0.024785696
