names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Snap91,-3.531157,-2.8595774,0.00041374600309154866,0.04985361032766777,0.15384615384615385,0.7226520524392864,0.21697457,1.0147606
Fbxw7,-3.5348384,-2.782796,0.0004080245714266402,0.04938567673078298,0.07692307692307693,0.6928863099075865,0.18158187,0.8629988
Lmo7,-3.535664,-29.800112,0.00040675144760834113,0.04938567673078298,0.0,0.5663013109821621,0.0,0.6600124
Peg3,-3.5371952,-3.7682397,0.0004044006770711386,0.04938567673078298,0.07692307692307693,0.6361487212551042,0.07718948,0.7387927
Ap1g1,-3.5372295,-29.286493,0.00040434799686532097,0.04938567673078298,0.0,0.5665520452754496,0.0,0.50368637
Camk2b,-3.5387435,-3.2258842,0.0004020364042949462,0.04938567673078298,0.07692307692307693,0.6787735511139766,0.13978508,0.87698644
4930578G10Rik,-3.5423732,-29.67167,0.00039654402819495476,0.0491020186064444,0.0,0.5673758865248227,0.0,0.61798674
Dclk2,-3.5450568,-29.437174,0.0003925284772840731,0.04882981566955113,0.0,0.567805716741887,0.0,0.54632574
Zfp292,-3.5459685,-2.6845496,0.00039117288927779085,0.04882981566955113,0.07692307692307693,0.6945698115910882,0.17297015,0.7947818
Ankhd1,-3.5505273,-2.311902,0.0003844603229001077,0.04827312559030791,0.07692307692307693,0.699190486424529,0.22475386,0.8115295
Fbxw11,-3.5562387,-29.347624,0.0003762025177330655,0.04745803592247639,0.0,0.5695966759796547,0.0,0.5206676
Nap1l1,-3.563842,-29.40137,0.00036546582072584334,0.04632106888161986,0.0,0.5708145282613367,0.0,0.5359537
Nmnat2,-3.5651152,-3.75883,0.00036369651885262503,0.046315286547725286,0.07692307692307693,0.6381545956014041,0.07718948,0.7353893
Nav1,-3.5672483,-2.998531,0.00036074968605719597,0.046158781258842166,0.07692307692307693,0.6949996418081524,0.15909502,0.8663394
Mark3,-3.5679364,-3.0056047,0.0003598038676191002,0.046158781258842166,0.07692307692307693,0.6947847266996203,0.14514877,0.8129534
Klhdc10,-3.5684524,-3.328339,0.00035909602608535116,0.046158781258842166,0.07692307692307693,0.6802421376889461,0.11493249,0.799038
Trip11,-3.569433,-29.364746,0.0003577547133650159,0.046158781258842166,0.0,0.5717100078802206,0.0,0.5255002
Adcy2,-3.57062,-3.2213,0.00035613728778147267,0.046158781258842166,0.07692307692307693,0.6999785084891468,0.20724317,1.1466631
Rapgef4,-3.5735788,-2.9983208,0.000352135165546793,0.04615547267435282,0.15384615384615385,0.725839959882513,0.25471756,1.1993831
Sptbn4,-3.5747142,-3.7528882,0.00035061066509346224,0.04615547267435282,0.07692307692307693,0.6378680421233612,0.07718948,0.7332491
Mllt3,-3.5784643,-2.910437,0.000345618950031333,0.045747690578039006,0.15384615384615385,0.7332903503116269,0.25015962,1.1432583
Ascc3,-3.5787568,-2.553934,0.00034523249527849167,0.045747690578039006,0.07692307692307693,0.7037753420732145,0.21532589,0.88001
Cdk12,-3.579462,-3.2898676,0.0003443021197438107,0.045747690578039006,0.07692307692307693,0.683752417794971,0.11493249,0.78445446
Top1,-3.579703,-2.748075,0.00034398496809121,0.045747690578039006,0.07692307692307693,0.6989039329464861,0.17297015,0.81916493
Phf24,-3.5844166,-29.535973,0.0003378326057573781,0.045615890033672106,0.0,0.5741098932588294,0.0,0.5757254
Ttll11,-3.5882182,-29.486738,0.0003329454687302212,0.045183054266570925,0.0,0.5747188193996705,0.0,0.56092894
Ptprr,-3.58956,-29.770107,0.0003312364490215531,0.04517930652390422,0.0,0.5749337345082026,0.0,0.6500208
Syt7,-3.5897493,-3.8794177,0.0003309960949502636,0.04517930652390422,0.07692307692307693,0.636220359624615,0.07718948,0.7797822
Cnot2,-3.5930178,-3.0267327,0.00032687019404088085,0.04504103648142804,0.07692307692307693,0.6982950068056452,0.14514877,0.82112974
Vps13b,-3.5944285,-2.639447,0.00032510445334321225,0.04502864258418615,0.23076923076923078,0.8035675908016333,0.3998663,1.4019902
Ndrg4,-3.5962691,-29.484623,0.0003228138000004561,0.04494304044565935,0.0,0.5760083100508633,0.0,0.5603014
Gda,-3.5962691,-29.649836,0.0003228138000004561,0.04494304044565935,0.0,0.5760083100508633,0.0,0.61104065
8030462N17Rik,-3.5996237,-29.363031,0.00031867804847685326,0.04483182807629867,0.0,0.5765455978221936,0.0,0.5250148
Ttc17,-3.6034255,-29.374031,0.00031405084169187117,0.04441340061189778,0.0,0.5771545239630346,0.0,0.5281356
Ppp1r13b,-3.6040964,-29.46796,0.0003132408338890554,0.04441340061189778,0.0,0.5772619815173007,0.0,0.55536354
Nisch,-3.604234,-3.632335,0.0003130749203815927,0.04441340061189778,0.07692307692307693,0.6595028297155957,0.07718948,0.69069815
Kalrn,-3.604406,-2.6104562,0.00031286764419337343,0.04441340061189778,0.38461538461538464,0.8472311770184111,0.8914602,2.2809474
Tfdp2,-3.6065564,-29.508411,0.00031028750881339335,0.04441340061189778,0.0,0.5776559925496095,0.0,0.5674073
Erc2,-3.608896,-2.8933723,0.000307502957340126,0.04441340061189778,0.3076923076923077,0.84762518805072,0.79398715,2.3032541
Gramd1b,-3.610014,-3.4375975,0.0003061803853699297,0.04441340061189778,0.07692307692307693,0.6814958091553837,0.11493249,0.8414164
Herc1,-3.613059,-2.9618967,0.0003026058705131749,0.04441340061189778,0.15384615384615385,0.8019915466723977,0.31311062,1.3518852
