Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.29519060707887546,17,0.24562221979923385,30,0.34005967164244877,50,0.36905372396999725,19
Astrocytes,0.14793522309070348,145,0.14749948696547224,212,0.23334648661593083,464,0.21406332209472015,159
CA1,0.43826346872609234,367,0.43608264903877775,486,0.46955672788442115,403,0.45845753139669315,779
CA2,0.48737854085044635,23,0.47671506965395166,40,0.48671403021220044,21,0.4909056711908048,33
CA3,0.5122619319398249,217,0.4997268027785919,336,0.54130414083918,209,0.508932135699094,336
CGE-derived,0.3998120287120283,39,0.4107906270525454,95,0.4193368393247705,99,0.4212433661107914,245
CTX,0.45962578464491455,617,0.4548909141634844,756,0.47138354821383366,899,0.4683414028654986,1547
Cajal-Retzius,0.2821871331340089,2,0.2199517072013336,4,0.3166239194638639,23,0.2803094741581443,36
Car3,0.33693620592436235,21,0.3543754183749767,10,0.3836366917816981,23,0.34334240759945805,19
ENT CTX,0.3822831671525496,611,0.3843794340429192,1152,0.3994571045500698,728,0.3913103011527003,1520
Endothelial,0.20042722762031706,60,0.20510627921087693,61,0.2725098901576977,84,0.22971474482625176,26
Immature GC,0.4246660968815752,79,0.42370104361907646,32,0.449028265505097,275,0.45198516345661055,117
Lamp5,0.3117203582885727,34,0.29476592601031243,75,0.3661581113044528,55,0.3391258476740677,123
Lamp5 (DG),0.4359738818703837,19,0.42191545799805147,15,0.4652163968076769,26,0.4418169989302627,24
MGE-derived,0.41408915495430015,77,0.4076382768348962,111,0.4252881653054385,122,0.4326064850194372,226
MOL,0.17459500023370642,98,0.1814245668601011,91,0.26365199495134256,803,0.2542847329513346,668
Mature GC,0.4305624540062173,477,0.4349081520332591,268,0.46114068454182716,849,0.4523239589468262,540
Microglia,0.14583590142009029,50,0.13242609439340175,32,0.24881581396699848,483,0.22646300012123194,671
NFOL,0.21417463491345115,4,0.14612374034098316,16,0.23527747428652,50,0.23844094940820063,79
Neuroblast,0.3490585450707181,11,0.27545523706817,5,0.4264412325505021,94,0.3793628453547584,32
OPC,0.17790052300405096,35,0.18277020311001296,73,0.2505749582999535,253,0.23151735452373884,368
PPP,0.3621524849511083,47,0.3661073983072111,308,0.4065886901844671,84,0.37889476745611117,360
PV,0.3358618545233175,85,0.32741190518492225,162,0.36997935415549293,83,0.3677685572019313,151
Pericytes,0.2521251033479727,12,0.22291219953206456,11,0.27018562775165306,70,0.2579823982030916,20
ProS,0.40855409231973844,65,0.39573368535655407,122,0.4246726581537344,60,0.41656959124880266,119
SST,0.3488357712868035,62,0.3335377611812301,131,0.3567495120358253,78,0.35167105133862464,173
Sncg,0.2924929784632609,61,0.2768819457297049,115,0.31469382252335243,38,0.32334336518624196,57
Subiculum,0.3422630489530177,47,0.29587886853673034,100,0.37358102475913735,106,0.3554930468650375,168
VIP,0.28839158412631016,32,0.2896892883763278,50,0.3486135667120318,32,0.32644733348344146,114
VIP (DG),0.441903928859266,9,0.44077845774117924,12,0.4543060558027307,18,0.42800648723831936,28
VLMC,0.187454951966668,27,0.1739327940921276,55,0.27926777902925304,46,0.26235960457794283,16
nIPC,0.401468540528625,4,0.36661344562615555,14,0.30605035738976755,22,0.3177559021141939,23
rest,0.14862366694527118,932,0.17837300396649133,841,0.24218568708124646,1768,0.2563118084416162,558
