Cell_Type,Control,Control_n,Mutant,Mutant_n
Astrocytes,-0.09048063302217343,609,-0.07419307359423803,371
Excitatory,-0.17322525778187164,6219,-0.13670288997956778,9149
GABA,-0.035566606846425645,1015,-0.02492464322770325,1975
Immune,0.014747525894333958,533,0.051877913855865015,703
Oligo,-0.0566066787115473,1243,-0.03604605672276388,1295
Progenitors,-0.06924251108900593,292,-0.040277512489271056,185
Unknown,-0.09925016234134564,2542,-0.06737117154259227,1291
Vascular,0.007889879470341823,348,0.04327678275768255,221
