Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.2350251335676916,17,0.3263796362744614,30,0.26192256958260773,50,0.32005673263691337,19
Astrocytes,0.0824766109941846,145,0.0904717342854307,212,0.10284906262451411,464,0.11526231498575293,159
CA1,-0.09484881442080524,367,-0.08905144833437033,486,-0.07171921371670899,403,-0.06225796740911525,779
CA2,-0.09877061619666987,23,-0.059964065058102964,40,-0.06448136310309402,21,-0.04357992090270054,33
CA3,-0.014395929375911446,217,-0.005027059426883577,336,0.0014872037772683047,209,0.017831529722182646,336
CGE-derived,0.0032801871692442084,39,0.02550443783665961,95,0.040519100159122245,99,0.036772908499689914,245
CTX,-0.012641794105111896,617,-0.0022456783052448633,756,0.009813675066039237,899,0.01050318031915631,1547
Cajal-Retzius,0.1031995583599177,2,0.16625692513342377,4,0.17093238628320503,23,0.1774832795006181,36
Car3,-0.02302149855042377,21,0.02661537034383179,10,-0.02418497303446962,23,-0.026886488898607452,19
ENT CTX,-0.013523723997904228,611,-0.03344881949225192,1152,-0.006485502458373343,728,-0.011239858233633122,1520
Endothelial,0.11271323992544281,60,0.11476580304094862,61,0.15791957741595952,84,0.12003693273003731,26
Immature GC,-0.027564488398227824,79,0.004837362262332074,32,0.003842857627800747,275,0.00022001065926897175,117
Lamp5,0.027464054901533287,34,0.03012713881915479,75,0.099599916217213,55,0.11110667792181639,123
Lamp5 (DG),0.04736223827412367,19,0.0867060624037594,15,0.10363731160313572,26,0.0792181801856086,24
MGE-derived,-0.009388367047001564,77,0.0004469535113706812,111,0.0300224844711725,122,0.02913878274481027,226
MOL,-0.035408039825490525,98,-0.013488640605456273,91,0.005322802462491131,803,0.0018739694771475496,668
Mature GC,-0.07864616218118846,477,-0.06676528720836107,268,-0.07432408583980857,849,-0.04819982771587068,540
Microglia,0.023424980709379813,50,0.007265882209294838,32,0.027253081726342557,483,0.031187398247422296,671
NFOL,0.09695451735495247,4,0.13354789527671096,16,0.14319042845837637,50,0.15190144544128253,79
Neuroblast,-0.01622766849316261,11,0.1285024269029306,5,0.025482784054410696,94,0.02741190145877291,32
OPC,0.25363002160233794,35,0.2727507278460801,73,0.2922269819200899,253,0.2873561565472369,368
PPP,-0.07421082365345674,47,-0.09981945418998513,308,-0.08235656166381332,84,-0.06332542957060239,360
PV,-0.011705650220089188,85,0.0011404867385617612,162,0.024690230852689527,83,0.040781743121775994,151
Pericytes,0.0260051247354184,12,0.052436646334044726,11,0.06988255856064272,70,0.1063226538708224,20
ProS,-0.03945245918034813,65,-0.02271359038770256,122,-0.01755178608326331,60,0.001863117161273541,119
SST,0.014483066387998114,62,0.04633773505913896,131,0.07579625153189785,78,0.035639141483846566,173
Sncg,-0.028161831959221364,61,-0.009633207052443818,115,0.036052904481577094,38,0.03885544514400856,57
Subiculum,-0.0771493409820007,47,-0.0729483358089161,100,-0.05606038518192244,106,-0.0624547717858286,168
VIP,0.0271727924608606,32,0.009117853457947862,50,0.055694397205663465,32,0.0404870686724737,114
VIP (DG),-0.0025480894921459385,9,0.03477835667591353,12,0.00822943752304663,18,-0.0032786920517957788,28
VLMC,0.09781439851894384,27,0.07461128046092332,55,0.10926488066039766,46,0.04185490378828964,16
nIPC,-0.0336610091809543,4,0.11065909440977165,14,0.12856044894491347,22,0.11905609044295913,23
rest,-0.018351787189212137,932,0.007530349581654926,841,0.022636187556612505,1768,0.026489495072763054,558
