Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.2894392160331716,67,0.26234198720550284,49
Astrocytes,0.21019404066598582,609,0.18905091699813892,371
CA1,0.4105728185341101,770,0.41226288714213166,1265
CA2,0.42127220395373316,44,0.4218519067017095,73
CA3,0.4716623278948025,426,0.4575625423323447,672
CGE-derived,0.36568054158462393,138,0.3754890825764409,340
CTX,0.42626686766008814,1516,0.4276532391737511,2303
Cajal-Retzius,0.27204025159424966,25,0.22669672277233027,40
Car3,0.3567582197656758,44,0.3453988120485842,29
ENT CTX,0.35096296626208295,1339,0.3525124155212138,2672
Endothelial,0.2364057076288704,144,0.20884575921159265,87
Immature GC,0.417175486527577,354,0.42052102371560485,149
Lamp5,0.2726673514901473,89,0.25252567733137793,198
Lamp5 (DG),0.3938810730195714,45,0.38126326611608663,39
MGE-derived,0.37167096959075424,199,0.3744270675194747,337
MOL,0.2573554294779964,901,0.25263604590851924,759
Mature GC,0.42008738014839797,1326,0.4169833720118729,808
Microglia,0.21046183460337234,533,0.20047591540536344,703
NFOL,0.23132134953015418,54,0.21650907874630426,95
Neuroblast,0.40516597925688186,105,0.35106911919335704,37
OPC,0.24141089210142486,288,0.22722569780134313,441
PPP,0.3773422434411682,131,0.3592412416258193,668
PV,0.28596644305266145,168,0.27828681522206705,313
Pericytes,0.2518222913855217,82,0.22915368760767849,31
ProS,0.38079279519079917,125,0.37597551181744776,241
SST,0.29636373810018324,140,0.28914204935102256,304
Sncg,0.26305212870859285,99,0.25104288355258525,172
Subiculum,0.3277582843705044,153,0.3028910924960038,268
VIP,0.26969177220718266,64,0.2644096225098674,164
VIP (DG),0.4098731857588952,27,0.3939435358063629,40
VLMC,0.20425275202064905,73,0.15244886887871242,71
nIPC,0.3091674336620581,26,0.3259995473305029,37
rest,0.1896366622567829,2700,0.19252221357126106,1399
