Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
Astrocytes,0.0824766109941846,145,0.0904717342854307,212,0.10284906262451411,464,0.11526231498575293,159
Excitatory,-0.041587130432047884,2562,-0.040443974710135305,3593,-0.0272286439935379,3657,-0.018024858607790798,5556
GABA,0.0002221090334430528,438,0.014252176233229502,800,0.04918713167407372,577,0.04413080553230122,1175
Immune,0.023424980709379813,50,0.007265882209294838,32,0.027253081726342557,483,0.031187398247422296,671
Oligo,0.04229840089491653,137,0.11566723978941502,180,0.07718549568361839,1106,0.10672564252016058,1115
Progenitors,-0.004448036928890661,39,0.026031890172902833,93,0.00661107364086637,253,0.04840947387330625,92
Unknown,-0.018964074954829303,910,0.007872165893327721,769,0.026724207112164732,1632,0.026471448181812858,522
Vascular,0.1279654310375978,102,0.13680919035360314,151,0.1447440076116128,246,0.1599847141069483,70
