Cell_Type,Control,Control_n,Mutant,Mutant_n
Astrocytes,0.09936496193574111,609,0.07903067463801912,371
Excitatory,-0.09278992837155574,6219,-0.10331175210459796,9149
GABA,-0.11089518676251485,1015,-0.11022852969944338,1975
Immune,-0.16418216212952638,533,-0.14676855330688585,703
Oligo,-0.0008218951547058519,1243,-0.02027588877410149,1295
Progenitors,-0.002782799662019659,292,0.02676559753599177,185
Unknown,-0.07937907645806148,2542,-0.08204116456992858,1291
Vascular,-0.013271968139320712,348,0.0488120824562971,221
