Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.2630094579964114,17,0.21396836911291744,30,0.29842533376567,50,0.33872138419379544,19
Astrocytes,0.1501182047552252,145,0.16343633019065304,212,0.22896773938809858,464,0.22320369940812004,159
CA1,0.3945035193389102,367,0.39970877662269483,486,0.4252066468334609,403,0.4200951050014979,779
CA2,0.418265458257392,23,0.4165588332877238,40,0.4245653063830591,21,0.4282677532641164,33
CA3,0.457821758524192,217,0.4509963299865228,336,0.48603267982505355,209,0.4641287546781666,336
CGE-derived,0.3485944425407646,39,0.37119899969391734,95,0.3724114290867503,99,0.3771525841023174,245
CTX,0.41794330957344,617,0.41995002939227205,756,0.4319794764915251,899,0.4314177036823472,1547
Cajal-Retzius,0.2344940523146776,2,0.21295542872360687,4,0.2753051384881254,23,0.2282235332221884,36
Car3,0.33197750086133143,21,0.3673489311918888,10,0.37938409354790303,23,0.3338461177626344,19
ENT CTX,0.3381468446258101,611,0.3475743651083883,1152,0.3617193540639548,728,0.35625493793935537,1520
Endothelial,0.19498602908662221,60,0.20147224461670987,61,0.26599119230190477,84,0.22614515883804837,26
Immature GC,0.4080314635596991,79,0.39648705951197893,32,0.41980231494380366,275,0.42709441563454537,117
Lamp5,0.24633332661643942,34,0.22317671784454618,75,0.2889465668666213,55,0.27042138433554364,123
Lamp5 (DG),0.37612660309438767,19,0.36509979093607864,15,0.4068554933495135,26,0.39136543810359176,24
MGE-derived,0.3652692388938793,77,0.3599274284678478,111,0.3757114061781262,122,0.3815485716554507,226
MOL,0.18947151405943277,98,0.1944963006571942,91,0.2656401414468871,803,0.26055628066581055,668
Mature GC,0.40261194782147447,477,0.4052320017654617,268,0.4299057325864929,849,0.42281553354157325,540
Microglia,0.12865947942556186,50,0.12135760305458036,32,0.21892998731329058,483,0.20424906890048278,671
NFOL,0.19993751601954915,4,0.1540190651476812,16,0.2338320562110026,50,0.22916528403210135,79
Neuroblast,0.3466921072615641,11,0.26420507425380063,5,0.41200866640527,94,0.3646416262151627,32
OPC,0.18803026244773102,35,0.19660386289315784,73,0.24879556418790422,253,0.23330013787823856,368
PPP,0.357855023752225,47,0.3568934799142834,308,0.3882458068385531,84,0.3612498822012444,360
PV,0.26559517528783405,85,0.26190364898475904,162,0.30682858473953295,83,0.29586345714553663,151
Pericytes,0.21688908087482472,12,0.21011465978352764,11,0.25781084175878405,70,0.23962515291096137,20
ProS,0.3690422558223344,65,0.3655573555022263,122,0.3935225461733023,60,0.38665631072885126,119
SST,0.2928041586795784,62,0.2769273282392893,131,0.29919314738322816,78,0.29839134684025403,173
Sncg,0.25591932747393376,61,0.23593316507443882,115,0.27450215174317727,38,0.28152740328919645,57
Subiculum,0.30154754807216355,47,0.27020603575526886,100,0.33938002593675,106,0.3223464834131079,168
VIP,0.2373956586148746,32,0.2389867076696201,50,0.30198788579949065,32,0.27556002375558986,114
VIP (DG),0.3929740743071616,9,0.3980137819361999,12,0.418322741484762,18,0.39219914460786137,28
VLMC,0.15714083263932763,27,0.1311530674498624,55,0.2319054003531638,46,0.22565318629038422,16
nIPC,0.3674502224020165,4,0.35090561715934304,14,0.2985705629820657,22,0.310839330912948,23
rest,0.13380521975134504,932,0.16253693266466496,841,0.21906816927888023,1768,0.2377150831813817,558
