Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
Astrocytes,0.09153168158589416,145,0.08806341853761251,212,0.10181286204506829,464,0.06698701610522796,159
Excitatory,-0.09266558312169206,2562,-0.1007690149990032,3593,-0.0928770414506235,3657,-0.10495611035161055,5556
GABA,-0.10111670843644274,438,-0.10834912759164306,800,-0.11831801779686421,577,-0.11150812262390318,1175
Immune,-0.1423848326378605,50,-0.09019199883934517,32,-0.16643861445785618,483,-0.14946669003261057,671
Oligo,0.025175256992351642,137,-0.03297284939708386,180,-0.004042157219938108,1106,-0.018226155220615547,1115
Progenitors,-0.013145578157767188,39,-0.004395343368150182,93,-0.0011853753089202412,253,0.05826524431952659,92
Unknown,-0.05673997068584875,910,-0.07301039727963587,769,-0.09200259744624384,1632,-0.09534511101865481,522
Vascular,0.0020469006486013076,102,0.07527845758165376,151,-0.019623694222117644,246,-0.008279669599829426,70
