Cell_Type,Control,Control_n,Mutant,Mutant_n
Astrocytes,0.43973347749097336,609,0.41510828376041764,371
Excitatory,0.3647919161722295,6219,0.3599412450768093,9149
GABA,0.3609839912142177,1015,0.3546817706348535,1975
Immune,0.1959582995217744,533,0.1856607938752666,703
Oligo,0.292945938258382,1243,0.30175130345280515,1295
Progenitors,0.38634097695681613,292,0.35271494884395677,185
Unknown,0.19087077010902173,2542,0.18264389793858427,1291
Vascular,0.2570693591095545,348,0.23584669178368747,221
