Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.40016531606875594,17,0.47184998999343636,30,0.3854167535266572,50,0.43848684775638974,19
Astrocytes,0.1209506226904928,145,0.1395902576811051,212,0.17924693366719674,464,0.18555783823454,159
CA1,0.015134718010337283,367,0.018900742464638673,486,0.022874860300015756,403,0.05915387597456306,779
CA2,0.09688496378660247,23,0.13191605949916052,40,0.1138255338792031,21,0.14482691683555754,33
CA3,0.1277808272531592,217,0.14002698309000877,336,0.13222147944595236,209,0.1555049471356943,336
CGE-derived,0.16282469560744134,39,0.15877085016144762,95,0.18301463697936535,99,0.1847213871117031,245
CTX,0.10974875903576368,617,0.11547748953751565,756,0.11311234119450918,899,0.13920647784511106,1547
Cajal-Retzius,-0.04227016581095679,2,-0.022116586649869513,4,0.028536487758425978,23,0.04324353394793672,36
Car3,0.07558441336108274,21,0.07561907809203176,10,0.07809588240209651,23,0.10552458956610658,19
ENT CTX,0.12531574533150122,611,0.09183336960245032,1152,0.10885409414075345,728,0.11833353220172445,1520
Endothelial,0.12262525584712361,60,0.16282956260202935,61,0.19565392430118386,84,0.1572381625254968,26
Immature GC,0.029272783138692703,79,0.029509684545004772,32,0.04231701214057505,275,0.05734564183132462,117
Lamp5,0.2440966146377712,34,0.28678684899160595,75,0.3661957510938494,55,0.31666486224802015,123
Lamp5 (DG),0.2211504244264201,19,0.27828375161723645,15,0.2583343583993365,26,0.22458403702891314,24
MGE-derived,0.13010552955374974,77,0.13113394215562849,111,0.1517028885652283,122,0.17503844509491187,226
MOL,0.014703218309999445,98,0.0030025339335205572,91,0.03316308056694953,803,0.04191388915442918,668
Mature GC,-0.03276923461494324,477,-0.02863476130279125,268,-0.02377491020173147,849,0.007824933670489434,540
Microglia,0.12424669923781438,50,0.10306230968948493,32,0.1568022208250325,483,0.18026684796360015,671
NFOL,-0.009943873500742079,4,-0.03626471352333763,16,-0.02530529758700183,50,0.009998965631733676,79
Neuroblast,0.2105009170666058,11,0.03774339167804865,5,0.27410505192018214,94,0.31100978257859957,32
OPC,0.10164621608992802,35,0.10225044009177077,73,0.140736757074382,253,0.14439461694375955,368
PPP,0.04570274219971504,47,0.011243275425444609,308,0.041174509132349754,84,0.05719874169942896,360
PV,0.23677014212681863,85,0.21297788787629868,162,0.25149648739214675,83,0.27306412559891613,151
Pericytes,0.08259704351561682,12,0.1067067668075766,11,0.11777610133690881,70,0.1379121059861298,20
ProS,0.08688608321910293,65,0.07796889947708313,122,0.08542496477082118,60,0.10323240397466213,119
SST,0.1388301161600561,62,0.14191630104979003,131,0.1570229154949224,78,0.1634439906679131,173
Sncg,0.17143212621270143,61,0.15069165797312264,115,0.1531930682860337,38,0.19599146408296866,57
Subiculum,0.047266208333530124,47,0.0004625232229479428,100,0.05032073659611309,106,0.05879802341834618,168
VIP,0.20830040844197334,32,0.13736977831986766,50,0.2092761722858062,32,0.209166774393459,114
VIP (DG),0.12816092102676593,9,0.13912253211532558,12,0.0800706777734323,18,0.1259118023252571,28
VLMC,0.16619673152252926,27,0.1548498231242007,55,0.21156496811015568,46,0.20532967838033805,16
nIPC,0.07910833043421438,4,0.1310832237818018,14,0.15610209283184315,22,0.1834924140803271,23
rest,-0.005649133925230217,932,0.03358844573784865,841,0.0411688929143915,1768,0.08539840543872237,558
