Gene_Set,Score_Type,N_Cells,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,N_Up_Genes,N_Down_Genes
Hippocampal migration (neurons),negative,28026,0.3243445226341335,0.14286080812125174,0.34143728948648366,-0.22111382091496729,0.9260192789532293,10,26
Migration (cell autonomous),negative,28026,0.19814617483968378,0.09510558607289296,0.212516256317184,-0.19697532590124164,0.616421480626393,21,45
Migration (non cell autonomous),negative,28026,0.00506234297526736,0.1160898923087573,-0.010759510885730121,-0.24008582080795227,0.7271666465253367,9,21
Axonal guidance (cell-autonomous),negative,28026,0.3262011461382447,0.11996377112124625,0.34866584736666234,-0.1203680793158442,0.6980635376234858,92,101
Apoptosis,negative,28026,0.1178652573042349,0.0965391523355982,0.12224600025860549,-0.22901447786512677,0.8746323781870575,36,31
