Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.3261447523621952,17,0.3607529579268561,30,0.3449091234842936,50,0.2951336045850787,19
Astrocytes,0.4497875247659354,145,0.49416028156595404,212,0.5670081002582078,464,0.49411052750841383,159
CA1,0.17209440479919544,367,0.20624520869248525,486,0.20782355775509717,403,0.2124467933835971,779
CA2,0.2947377232537754,23,0.3347346631685893,40,0.3379784367576478,21,0.3561750991898354,33
CA3,0.318315022654614,217,0.34479735507851555,336,0.37919812164428324,209,0.3379464447403711,336
CGE-derived,0.3203133627899692,39,0.2567107308036402,95,0.30597571067938506,99,0.28422183307985055,245
CTX,0.2806231305974036,617,0.29391474242143106,756,0.31142707112191736,899,0.28920361599719774,1547
Cajal-Retzius,0.3890394179026285,2,0.16488792657852175,4,0.27736060066499574,23,0.370766034744404,36
Car3,0.1197897093636649,21,0.07748289124170939,10,0.21991861025492349,23,0.12892140764939156,19
ENT CTX,0.28990466931577724,611,0.25531871605009115,1152,0.2879054225244365,728,0.2688855486292588,1520
Endothelial,0.10746206813388398,60,0.20148370654205158,61,0.21414655554862247,84,0.164111905953823,26
Immature GC,0.2947333047359804,79,0.3506876922647158,32,0.3296044521794175,275,0.30953264048975754,117
Lamp5,0.2682246772915709,34,0.32845466194152834,75,0.40538639490532163,55,0.36823179471137407,123
Lamp5 (DG),0.31177596477040076,19,0.33383328988816996,15,0.3713812716801961,26,0.3127884798579746,24
MGE-derived,0.20818361695194657,77,0.22450234194059632,111,0.26003564144092833,122,0.24499563715802536,226
MOL,0.22738487921604494,98,0.20129708451665804,91,0.2828852646921917,803,0.28094259466477733,668
Mature GC,0.23378146710885647,477,0.28537098812226636,268,0.28298496837189113,849,0.28106042422482996,540
Microglia,-0.04109599889119466,50,-0.012115693315863606,32,0.03931983680047193,483,0.04132480969549824,671
NFOL,0.1154404890537262,4,0.20858627965052925,16,0.2577777271588644,50,0.24510946465946953,79
Neuroblast,0.46775185845114964,11,0.4361225417455038,5,0.5849652998159963,94,0.6255343629916509,32
OPC,0.2849170336042131,35,0.29239491800195005,73,0.3571021951642746,253,0.31107912197061205,368
PPP,0.017871839239242227,47,0.05222730711812065,308,0.10151410430196732,84,0.11945580934153661,360
PV,0.13735515802046833,85,0.141491622973862,162,0.18011812328813545,83,0.16537672437579426,151
Pericytes,0.09625111579895018,12,0.07470999645464346,11,0.22097500665982564,70,0.2431837743918101,20
ProS,0.23828840006314791,65,0.24782136699541024,122,0.2627928517659505,60,0.24108407295718584,119
SST,0.11504080608326903,62,0.11752889585858993,131,0.1317683760936444,78,0.14665766530413618,173
Sncg,0.30050302440351473,61,0.326192295005356,115,0.3035740037550006,38,0.28898537496377164,57
Subiculum,0.1807836191028568,47,0.1950963897228241,100,0.21392739777295092,106,0.20596332073211668,168
VIP,0.30801860099037487,32,0.3149915544827779,50,0.30503306617339454,32,0.3331135822457877,114
VIP (DG),0.32921339176319264,9,0.28442105558183456,12,0.3136019657276295,18,0.2504241117976961,28
VLMC,0.3208181793601425,27,0.3739387299653256,55,0.36465295667233677,46,0.394348719616731,16
nIPC,0.3904859320322673,4,0.36674796558561784,14,0.4176146284016696,22,0.31637186008950946,23
rest,0.05927822831362614,932,0.0862669745703042,841,0.15214895806026674,1768,0.16558324437984573,558
