Cell_Type,Control,Control_n,Mutant,Mutant_n
Astrocytes,0.2558474926472978,609,0.23348372294110092,371
Excitatory,0.2377161665323585,6219,0.22530578022509276,9149
GABA,0.22672047296164652,1015,0.21880660554914844,1975
Immune,0.13900070603883946,533,0.12487464502555636,703
Oligo,0.10964758443902396,1243,0.10483593515801129,1295
Progenitors,0.2547533034877264,292,0.22048929748986876,185
Unknown,0.11710497554306552,2542,0.11307022273194378,1291
Vascular,0.19909920912177495,348,0.18709888629758062,221
