Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
Astrocytes,-0.002182981664521673,145,-0.015936843225180818,212,0.004378747227832268,464,-0.009140377313399856,159
Excitatory,0.03954559756250959,2562,0.03421115834240102,3593,0.03705191644149657,3657,0.03484428295422077,5556
GABA,0.05442666755068177,438,0.05277213789199334,800,0.05350089210530566,577,0.053289046748045146,1175
Immune,0.017176421994528405,50,0.011068491338821363,32,0.029885826653707873,483,0.022213931220749144,671
Oligo,-0.012813801166966267,137,-0.012920611870067879,180,-0.0009710886273037552,1106,-0.0036885027650349574,1115
Progenitors,0.019574637488836852,39,0.028465249928258163,93,0.026161596266077374,253,0.021600065113968243,92
Unknown,0.014565465509773395,910,0.014251899540032616,769,0.02189032272496742,1632,0.01740652922477906,522
Vascular,0.020219931287002915,102,0.02428138026351482,151,0.023690161335868393,246,0.02481698743205603,70
