Cell_Type,Control,Control_n,Mutant,Mutant_n
Astrocytes,-0.10283041546743296,609,-0.10843253487048446,371
Excitatory,0.04049712545199421,6219,0.0447261394688492,9149
GABA,-0.0271796051137036,1015,-0.021307675611299377,1975
Immune,-0.0316901178773199,533,-0.03202281984287493,703
Oligo,0.13025199018967065,1243,0.07840476074977135,1295
Progenitors,0.046212326262410196,292,0.028412902409638275,185
Unknown,0.050349286410981194,2542,0.05556844736485127,1291
Vascular,0.10223724420465231,348,0.11210688154963822,221
