Cell_Type,Control,Control_n,Mutant,Mutant_n
Astrocytes,0.11696984631100246,609,0.11381062344841886,371
Excitatory,0.13479702572482416,6219,0.12776655518712157,9149
GABA,0.10039076951099077,1015,0.10080963769557633,1975
Immune,0.04153953886127841,533,0.036289245837734505,703
Oligo,0.1283097232896576,1243,0.13997563255776346,1295
Progenitors,0.16144565552609494,292,0.15416795076715614,185
Unknown,0.09417200372942863,2542,0.08740346246447493,1291
Vascular,0.11423238067103886,348,0.09746362790307951,221
