Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
Astrocytes,-0.09845612673000256,145,-0.12311544418319162,212,-0.13695001506144217,464,-0.13050107983197398,159
Excitatory,-0.08381023468952095,2562,-0.08411184947715955,3593,-0.09285656845910073,3657,-0.0856299789281473,5556
GABA,-0.059472727142109334,438,-0.06133875894701282,800,-0.07110950313856106,577,-0.07145128695773828,1175
Immune,-0.0429182760457515,50,-0.008284426374944944,32,-0.04514544448993905,483,-0.037412201553738596,671
Oligo,-0.0973425797299922,137,-0.09940135183144676,180,-0.1061398040105011,1106,-0.10554419417847692,1115
Progenitors,-0.06716739056544846,39,-0.0821616070957586,93,-0.09162265877825472,253,-0.09138541679251559,92
Unknown,-0.03912185459540011,910,-0.04438355587556471,769,-0.057237628755668235,1632,-0.05342213346491255,522
Vascular,-0.06552297931506434,102,-0.06301894419290009,151,-0.07859421316288939,246,-0.04641753259206379,70
