Gene_Set,Score_Type,N_Cells,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,N_Up_Genes,N_Down_Genes
Hippocampal migration (neurons),positive,28026,0.2429879983271866,0.20060460495690857,0.25212388356526694,-0.4415658060709635,1.2595228258768718,10,26
Migration (cell autonomous),positive,28026,0.09373841794109454,0.13139411189204694,0.09311425834908399,-0.31511980259346817,0.928253904987535,21,45
Migration (non cell autonomous),positive,28026,0.04052138340073428,0.17150456799413435,0.03075923330652526,-0.35869788577016926,1.2110234621564737,9,21
Axonal guidance (cell-autonomous),positive,28026,0.3556438091583484,0.1314162928376162,0.3831213873165764,-0.12381088075976367,0.7412218601583577,92,101
Apoptosis,positive,28026,0.03768809980809347,0.07712179600706821,0.03795573025642829,-0.2454497678622753,0.5461695063245164,36,31
