Cell_Type,Control,Control_n,Mutant,Mutant_n
Astrocytes,-0.004831936564425885,609,-0.007336265999201391,371
Excitatory,0.007353311454361987,6219,0.017896834019247947,9149
GABA,0.0008777926523935401,1015,0.01072039400239052,1975
Immune,-0.00479614506438848,533,-0.0019243099499619957,703
Oligo,0.20359232739697997,1243,0.1863732507668167,1295
Progenitors,0.05134632691621997,292,0.06557310447679578,185
Unknown,0.06071773558413548,2542,0.07096100470247739,1291
Vascular,0.2420633931652607,348,0.2562567355355226,221
