Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.3069017870371588,17,0.35159042733979945,30,0.2476617463821588,50,0.2548028193714573,19
Astrocytes,-0.08430447332054,145,-0.11277653084189089,212,-0.10861977238833702,464,-0.10264054024194254,159
CA1,0.05749409480588991,367,0.0466415980044856,486,0.034076467381278994,403,0.035734286281720845,779
CA2,-0.029335379916891034,23,-0.030571016333567826,40,-0.04622032403378523,21,-0.028059181140793657,33
CA3,0.08335164919607115,217,0.07195101391759127,336,0.049682031345509,209,0.06077345688717501,336
CGE-derived,-0.043806196965162934,39,0.0007057555196001065,95,-0.020804575899580773,99,-0.011663452589614287,245
CTX,0.05133254131861301,617,0.03762285561896883,756,0.024229391728931952,899,0.04345276521324768,1547
Cajal-Retzius,-0.12924338707548533,2,-0.23020958002770023,4,-0.12931923306809082,23,-0.14199110118689798,36
Car3,0.13578952758425333,21,0.0742049885844102,10,0.09228513098126456,23,0.06872287866018305,19
ENT CTX,0.07423232488640887,611,0.0579536498583982,1152,0.04362082387490136,728,0.059265818672640906,1520
Endothelial,0.03936498413544002,60,0.044378494186206034,61,0.11520154495782087,84,0.0845359422681875,26
Immature GC,0.031149766954941354,79,0.018153366883323818,32,0.007859403241210452,275,0.06320432586973306,117
Lamp5,-0.10630243119852263,34,-0.11959726679838599,75,-0.12913607099622668,55,-0.15535285943049723,123
Lamp5 (DG),-0.05935106303097717,19,-0.019354633705693007,15,-0.13019865666676536,26,-0.08949611563573091,24
MGE-derived,0.01834376978870999,77,0.041669370266729476,111,-0.002971379093614725,122,0.029557476074283603,226
MOL,0.2492626413366699,98,0.283288983331148,91,0.24347442148633375,803,0.25444828176393797,668
Mature GC,0.032351915262385456,477,0.017982024570607606,268,0.026307691932282735,849,0.02114863228144744,540
Microglia,-0.024837669170848696,50,0.0035734505575431962,32,-0.03239948109745149,483,-0.033720406508766704,671
NFOL,0.041446453604703296,4,-0.0009560799985823647,16,-0.02466565720780308,50,-0.0453223993416665,79
Neuroblast,0.09346192652067833,11,-0.18175280113068332,5,0.04826043485048984,94,0.0506703518348675,32
OPC,-0.22275216069250925,35,-0.21525531368217368,73,-0.19435040643695609,253,-0.20355211903185733,368
PPP,0.05929272994836456,47,0.04454365319111434,308,0.01960383493872326,84,0.029149648655304745,360
PV,0.09029172859313823,85,0.07307180074213743,162,0.07423283981511929,83,0.08058570147298796,151
Pericytes,-0.03357169339662004,12,0.08521435501277005,11,0.06270987246041278,70,0.020618937920751392,20
ProS,0.06281927103078386,65,0.043758745459229635,122,0.042178036501090664,60,0.06332362952998727,119
SST,-0.054109290731306714,62,-0.058279948130438054,131,-0.08744730265783855,78,-0.07599369379722871,173
Sncg,-0.07857793083295772,61,-0.09485720927849513,115,-0.14167617070365937,38,-0.12378215961700013,57
Subiculum,0.050242260104685174,47,0.05217586997844594,100,0.0064593463593860655,106,-0.006765938300564415,168
VIP,-0.03195801350304031,32,-0.030984837142550202,50,-0.03669297765020002,32,-0.04762571375956424,114
VIP (DG),-0.014950194549569041,9,-0.0037867950749835865,12,-0.03534887088969469,18,0.028377003481936527,28
VLMC,0.02130326717559248,27,0.048847860670880164,55,0.0553903260329163,46,0.1034322262646262,16
nIPC,0.01107874036357736,4,-0.08686161274456138,14,-0.06524702969259945,22,-0.055168903839887436,23
rest,0.08043459073048094,932,0.06738259419817477,841,0.03515693277518028,1768,0.03972609319545726,558
