names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OPC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Ubxn8,-2.3626175,-0.365293,0.018146393626936395,0.049754448648549075,0.032846715328467155,0.08303515437677524,0.035256162,0.045188535
Sdr39u1,-2.3636997,-1.3058809,0.018093471013974342,0.04961946990666366,0.01338199513381995,0.06226714375299716,0.013680896,0.033489276
Aprt,-2.3639984,-0.84955037,0.01807889548073689,0.049584558698315837,0.02068126520681265,0.0700505367221218,0.026620861,0.04746876
Gm14391,-2.3642814,-0.5182189,0.018065079662766218,0.04955678310755776,0.01824817518248175,0.06765280903021137,0.01968833,0.028078828
Fem1al,-2.3652542,-1.9092103,0.018017705021939022,0.04943186991418231,0.004866180048661801,0.053413995352097086,0.005664596,0.02111237
Tomm5,-2.3655593,-0.49855253,0.01800286273833719,0.0493961933808966,0.0364963503649635,0.08683463056549486,0.04422024,0.061918914
Top1mt,-2.365983,-1.0922325,0.017982272146459182,0.04935240939301555,0.015815085158150853,0.0648862001549301,0.014403489,0.03046225
Gm50152,-2.366163,-1.4901053,0.017973530058165585,0.04933586195350999,0.0072992700729927005,0.05595927551735586,0.008918245,0.024852829
Gm4681,-2.3706064,-1.6762176,0.01775892655208567,0.04879165198921697,0.0072992700729927005,0.0561068279907042,0.0076790145,0.02433718
Cbln4,-2.3710697,-1.7077479,0.017736684116717576,0.04874050953325846,0.00851581508515815,0.05732413589582795,0.010255012,0.033115957
Ccnd3,-2.3713179,-0.2967433,0.017724782332138228,0.04871278523724601,0.06569343065693431,0.11770998561363386,0.077906065,0.09487709
Churc1,-2.3728194,-0.48575297,0.01765288896581596,0.048525128031864435,0.037712895377128956,0.08819949094396695,0.0399856,0.055554893
Slc2a1,-2.3742135,-0.57765764,0.017586374762589622,0.04836138482528913,0.03527980535279805,0.0853591058320115,0.04107457,0.060697112
Rbm43,-2.3742993,-0.89339453,0.017582296808361864,0.04835581527540259,0.015815085158150853,0.06518130510162677,0.017533625,0.03232837
