names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Pcm1,-2.5714953,-0.3536896,0.010126040155781264,0.04985098918758566,0.37333333333333335,0.7255975382853872,0.7506438,0.887507
Kri1,-2.571638,-1.6895833,0.010121861134313575,0.04984868194263302,0.02666666666666667,0.2020538142264205,0.034483038,0.10721159
Ak4,-2.5721884,-1.5987024,0.010105786235682254,0.049778639074753835,0.013333333333333334,0.18752683555173894,0.035956495,0.10515553
Nelfa,-2.5722384,-1.6908278,0.010104326009102448,0.049778639074753835,0.05333333333333334,0.2311077715757836,0.04154191,0.1283399
Ercc4,-2.5729175,-1.006109,0.01008452721744297,0.04970125574700891,0.05333333333333334,0.23414913410619723,0.06611954,0.12864749
Chd7,-2.5737321,-0.679017,0.010060814274234622,0.04959962967324784,0.13333333333333333,0.32463861456991555,0.2239889,0.33786708
Dpcd,-2.5743253,-26.639492,0.010043580838420479,0.04952670529057777,0.0,0.17185487333619578,0.0,0.09942992
Scn2b,-2.5748327,-0.33720118,0.010028859852196684,0.04947227175115199,0.08,0.2697509660798626,0.1424096,0.17676279
Ift122,-2.5749683,-0.594325,0.010024923694095593,0.04946193530303867,0.05333333333333334,0.23529411764705882,0.09026531,0.13332346
Gm14827,-2.5758903,-0.45417175,0.009998235616708012,0.049339318828456255,0.04,0.22026620867325034,0.082985334,0.11202457
Gemin5,-2.576119,-0.6929757,0.009991625122236846,0.04931575441486114,0.04,0.2202304279375984,0.07519906,0.11889852
Gpr173,-2.5761404,-0.67657834,0.009991005588015066,0.04931575441486114,0.02666666666666667,0.2040575354229283,0.069791935,0.10933517
U2af2,-2.5763333,-0.4274112,0.009985431319562258,0.04930329650066848,0.04,0.22058823529411764,0.099257246,0.13131951
4931406C07Rik,-2.5780413,-1.3093834,0.00993620938497366,0.04907829892908865,0.02666666666666667,0.2037712895377129,0.04755112,0.11394961
Atp5e,-2.5781128,-0.9289026,0.009934154609044227,0.04907717123460533,0.06666666666666667,0.24810362101044797,0.13115516,0.23650324
Ccdc25,-2.5781558,-0.44892353,0.009932921925191298,0.04907717123460533,0.05333333333333334,0.23665378560183198,0.10677307,0.14307198
Cops4,-2.578663,-0.3425349,0.009918345509275424,0.049017094690864564,0.10666666666666667,0.30055817947617003,0.15452915,0.19218151
Cnksr2,-2.5787418,-0.7168615,0.009916088897025839,0.049014957443540154,0.68,0.8608844997853156,1.7885213,2.217688
Zgpat,-2.5796137,-1.3438901,0.009891091666917118,0.04890939144093908,0.02666666666666667,0.2026263059968513,0.043259818,0.10635646
Cfap20dc,-2.5804212,-1.4437497,0.009867988593262173,0.0488131173602641,0.013333333333333334,0.18809932732216975,0.037937902,0.10001187
Polk,-2.5816932,-0.9001592,0.00983169365218443,0.04864253515636082,0.04,0.22044511235150996,0.07257436,0.13144891
Pum3,-2.5817218,-1.5440314,0.009830879403900886,0.04864253515636082,0.02666666666666667,0.2025189637898955,0.0416148,0.11681606
Cdk5rap1,-2.5819647,-0.32461262,0.009823960719230876,0.04862218171407877,0.04,0.2210891655932446,0.0966399,0.11961758
Zfp975,-2.5822434,-0.506274,0.009816029924046373,0.048591879892985634,0.08,0.26853442106769715,0.11506793,0.15974748
Cacnb3,-2.582901,-26.577011,0.00979734398067331,0.048517256314170996,0.0,0.1724273651066266,0.0,0.0954102
Il34,-2.5832155,-0.2841345,0.009788418435683675,0.048481991404022186,0.04,0.2211249463288965,0.104126126,0.12542377
Cep135,-2.583344,-0.75384605,0.00978476916542124,0.048472851673095264,0.05333333333333334,0.2358308286818377,0.081318125,0.13352959
D16Ertd472e,-2.5835085,-2.115733,0.009780107973401057,0.0484586946791972,0.013333333333333334,0.18824245026477746,0.029721871,0.12288216
B230217O12Rik,-2.585681,-1.3503857,0.009718684839218747,0.04816323526923787,0.013333333333333334,0.188457134678689,0.037978683,0.09412821
Gjc3,-2.5857239,-3.700859,0.009717476008395776,0.04816323526923787,0.013333333333333334,0.18663231716044082,0.019321874,0.22609933
Wsb2,-2.586667,-0.8086766,0.00969091561457327,0.04805220567698538,0.06666666666666667,0.24910548160870188,0.09129388,0.15481141
Stradb,-2.5873103,-1.0628161,0.00967284337634468,0.047971447309409665,0.05333333333333334,0.2329683698296837,0.06479283,0.1308823
Fam210a,-2.5874605,-0.5431365,0.009668630846051128,0.04795940757492963,0.05333333333333334,0.2362601975096608,0.09532065,0.13604254
Gfra2,-2.587882,-1.4659003,0.009656804392298617,0.04790958899945787,0.04,0.2176542149706598,0.053977113,0.14254199
Gm16168,-2.5892398,-2.127293,0.009618806786153473,0.047729887044126285,0.02666666666666667,0.20312723629597826,0.0593095,0.23662032
Slc26a8,-2.589497,-1.5152731,0.009611622279211009,0.047703045925821905,0.013333333333333334,0.18870759982825247,0.035684526,0.09880139
Dctn5,-2.589833,-1.8937294,0.009602249706974535,0.04766533338747566,0.02666666666666667,0.20327035923858594,0.03244485,0.11559436
Gm49179,-2.5904047,-26.497606,0.009586315130470764,0.04759502726455089,0.0,0.17292829540575355,0.0,0.090525106
Gm32618,-2.5904047,-26.535015,0.009586315130470764,0.04759502726455089,0.0,0.17292829540575355,0.0,0.09279614
Mkx,-2.5910337,-0.8827635,0.009568814331473842,0.047525700755397804,0.09333333333333334,0.2794833261771862,0.13149607,0.23042081
Ublcp1,-2.5920842,-1.0309328,0.009539643576015704,0.04738957716538029,0.04,0.2193716902819522,0.067391686,0.13317555
Blzf1,-2.5923557,-0.69400907,0.009532115747269863,0.047369696713360686,0.04,0.22144697294976384,0.0754774,0.119409695
Mrps15,-2.5932562,-0.823959,0.009507192939892356,0.047254582740456456,0.04,0.21883497924717332,0.07531252,0.12968655
Pop1,-2.593599,-0.7945776,0.009497713833613966,0.04721620179633807,0.04,0.21919278660369257,0.066382475,0.11248271
Tango6,-2.5941281,-0.6130791,0.009483116724495342,0.047161085764795455,0.05333333333333334,0.23751252325747818,0.092941955,0.13886793
Rgl2,-2.5945783,-1.3905452,0.009470705227475219,0.047108080241069814,0.02666666666666667,0.20498783454987834,0.04613724,0.116711535
Gm20045,-2.594857,-2.658573,0.00946302918212545,0.04707861398328288,0.013333333333333334,0.18881494203520824,0.016144393,0.09782
Mynn,-2.5963006,-26.49682,0.009423359936566659,0.046898625948424914,0.0,0.1733218834979247,0.0,0.09047795
Pcid2,-2.5966935,-1.1045139,0.00941258462817157,0.04685367709502966,0.02666666666666667,0.20498783454987834,0.05114303,0.10690803
Fam124a,-2.5970795,-0.8751255,0.009402015928672722,0.046809740226688164,0.05333333333333334,0.23686847001574352,0.0812477,0.14431073
Ptpru,-2.5973725,-1.404002,0.00939399861690479,0.046778492000784225,0.04,0.22062401602976958,0.05368115,0.1362259
Adal,-2.5973725,-26.506897,0.00939399861690479,0.046778492000784225,0.0,0.17339344496922857,0.0,0.091084115
Nrsn1,-2.5979514,-0.54628265,0.009378177461222022,0.04671702417186424,0.06666666666666667,0.2530055817947617,0.117774114,0.1676518
Tbc1d20,-2.5980728,-1.3464991,0.009374859991283478,0.046709157790800496,0.04,0.21715328467153286,0.05198092,0.1272319
Zscan21,-2.5982301,-1.6658746,0.009370568348982814,0.04669643389042437,0.013333333333333334,0.18928009159868328,0.033642087,0.103065744
Nkap,-2.5983088,-2.1805758,0.009368423185158946,0.04669440381844202,0.02666666666666667,0.20427221983683985,0.027265593,0.118054055
Cep57l1,-2.599059,-1.2535404,0.009347968661091539,0.046609745393121106,0.05333333333333334,0.23550880206097038,0.059296247,0.13597517
Dbt,-2.6000452,-1.3263077,0.009321146170854399,0.04649326111209536,0.04,0.21904966366108486,0.051983826,0.12557666
