names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Naaladl2,6.5603147,1.334536,5.3694313220976065e-11,9.950111698259495e-09,0.8133333333333334,0.862601975096608,2.4569478,1.6545141
Camk1d,5.368332,0.70277137,7.946818051285605e-08,2.52998816395787e-06,0.8933333333333333,0.9537355088020609,2.7727594,2.3240995
Hsp90ab1,3.9443257,1.3407136,8.002480142062769e-05,0.0007437794583785078,0.68,0.8093244597108916,1.8875299,1.1669649
Ebf1,3.8049917,3.594909,0.00014180893668486557,0.0012275792940471448,0.32,0.08619579218548733,0.77261233,0.09207833
Hsp90aa1,3.7881474,1.3468882,0.00015177469958318595,0.001297545713585812,0.68,0.7955846572205525,1.8261851,1.1145885
Tcf7l2,3.528632,2.5540698,0.00041771379656326885,0.003116903558360187,0.36,0.1649849720910262,0.801173,0.18989483
Tbc1d9,-2.5769336,0.25184533,0.009968106862367217,0.04922680231424501,0.16,0.38568054959209963,0.32683003,0.2811461
Ctr9,-2.6150599,0.27420688,0.00892117981826617,0.04473075232633177,0.13333333333333333,0.34617861743237444,0.28439477,0.24060386
Fam234b,-2.6585531,0.32513285,0.007847697016698775,0.04017291271455441,0.12,0.3324745956776871,0.26612404,0.2178301
Ecd,-2.6601183,0.34219715,0.007811322743469639,0.040001951994859765,0.12,0.33562330041505656,0.264777,0.21440955
R3hcc1l,-2.7095072,0.3028468,0.006738323243515764,0.03527575444196019,0.13333333333333333,0.3561614426792615,0.300855,0.2504079
Atp6ap2,-2.7729533,0.41562244,0.005555008900218655,0.02989447008789811,0.17333333333333334,0.42779447545441535,0.44885808,0.35397673
Arpp19,-2.8010674,0.31195235,0.005093387980324357,0.027771780647588364,0.13333333333333333,0.366394733075712,0.31826308,0.26380128
Rsbn1,-2.8247292,0.29447278,0.004732058281094669,0.02606075138614752,0.21333333333333335,0.4857950479461858,0.45052987,0.38121453
