names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 CT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Etl4,35.03439,2.292401,6.741315301956262e-269,1.8113914216356478e-264,0.9677093844601413,0.7032665181885672,2.8870795,1.494755
Hs3st4,33.919422,2.5170066,3.4457616314037187e-252,4.629380751790896e-248,0.9717457114026236,0.5917223459539718,2.4964976,1.080514
Cntnap4,33.70448,2.437993,4.96975907726432e-249,4.451247546869743e-245,0.8940464177598385,0.33184855233853006,1.3182534,0.4088375
Dlc1,32.933052,2.116909,7.397637127497123e-238,4.9693627403961923e-234,0.9424823410696267,0.5338530066815145,1.6477413,0.6765965
Cdh18,32.67061,2.3577724,4.085075412970522e-234,2.195319526930358e-230,0.9495459132189707,0.5703786191536748,2.0038853,0.81184864
Grik3,31.211048,2.08617,7.544619010950972e-214,3.37873188040421e-210,0.8748738647830474,0.3431328878990349,0.9913718,0.3358755
Dpp10,30.877535,2.1887038,2.3924899511500356e-209,9.183743569628778e-206,0.9909182643794148,0.8819970304380104,3.9264913,2.4771996
Foxp2,28.694729,2.9071622,4.4390276660711507e-181,1.4909584173416477e-177,0.6942482341069627,0.18426132145508536,0.952763,0.19255434
Thsd7b,28.631523,1.9209622,2.7230546774202943e-180,8.1298310202537e-177,0.9273461150353178,0.5420564216778025,1.7503551,0.81364954
Garnl3,28.583994,1.8145529,1.0623617444395572e-179,2.8545660073090903e-176,0.922300706357215,0.5062731997030439,1.3395121,0.58828914
Frmpd4,28.346867,1.5244472,9.148521536183706e-177,2.2347343061568746e-173,0.9737638748738647,0.8284335560504825,3.073989,2.1005323
Pde4d,28.032927,1.4538614,6.451391470355125e-173,1.444574073403685e-169,0.9677093844601413,0.819970304380104,2.756427,1.8534839
Sdk2,27.526394,1.8695045,8.484854830722608e-167,1.7537542253962803e-163,0.8324924318869829,0.37442464736451375,0.8591056,0.31661585
Hs3st5,27.408197,2.101027,2.190064523016878e-165,4.203359552390251e-162,0.7487386478304743,0.251373422420193,0.7505088,0.23159947
Htr1f,27.316044,1.8679498,2.735249027399339e-164,4.899742757748016e-161,0.8213925327951564,0.33893838158871564,0.9706222,0.37100106
Grm8,27.231203,1.8927461,2.7750043339990148e-163,4.6602729034095956e-160,0.934409687184662,0.5000371195248701,1.7411144,0.8183109
Nrxn3,26.961535,1.4118903,4.1782067526354954e-160,6.604024437842104e-157,0.9889001009081736,0.9270972531551596,4.019824,3.070556
Plcxd3,26.934355,1.7088643,8.700027324092135e-160,1.2987207455464205e-156,0.8607467204843592,0.37572383073496657,0.99831843,0.42148745
Esrrg,26.706467,1.5196123,3.959387479177093e-157,5.5994074508151834e-154,0.9091826437941474,0.5126577579806978,1.153687,0.5634946
Asic2,26.631466,1.4995735,2.9343768342338177e-156,3.942335276793134e-153,0.9646821392532795,0.7856347438752784,2.7253957,1.7990673
Olfm3,26.625553,1.7422811,3.4355210082323324e-156,4.3958309281525133e-153,0.8405650857719476,0.38333333333333336,1.0532969,0.44344524
Hs3st2,26.250687,2.0938852,7.019735283260001e-152,8.573649411872555e-149,0.6972754793138244,0.20720118782479585,0.5723233,0.16630152
Plcb4,25.748827,1.4753785,3.3223939047476716e-146,3.8814227921986927e-143,0.8203834510595358,0.3134001484780995,0.6819084,0.30128956
Phactr1,25.332928,1.0889663,1.3860185612909635e-141,1.5517632809120078e-138,0.9778002018163471,0.8867112100965108,3.0731332,2.369175
Tmem178,24.781527,1.4113318,1.4182818417214262e-135,1.5243693234821887e-132,0.900100908173562,0.4923533778767632,0.9469105,0.4657265
Rai14,24.69677,2.1273115,1.158444136505171e-134,1.1972074595343826e-131,0.6236125126135217,0.16150705270972532,0.4606599,0.1256847
Osbpl3,24.625639,1.4227856,6.713632705756423e-134,6.681307807543521e-131,0.8022199798183652,0.33552338530066816,0.63575536,0.28621876
Dlg2,24.365763,0.8675723,3.9463343295324446e-131,3.787071551233456e-128,0.992936427850656,0.954083147735709,4.2896657,3.6995556
Ipcef1,24.274536,1.7858424,3.642219740732289e-130,3.3747049804647105e-127,0.7083753784056509,0.25597624350408316,0.55142623,0.19339807
Fmn1,24.197704,1.3328594,2.3520128594630077e-129,2.1066195177923674e-126,0.9061553985872856,0.5166666666666667,1.0587596,0.5581466
