names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sncg (for_DEGs),mean_expr_Rest (for_DEGs)
Zfyve28,-2.7482646,-0.47624597,0.0059911644666968715,0.04995380502115707,0.47601476014760147,0.5083408394883805,0.33962283,0.446348
Disc1,-2.7541947,-1.0555078,0.005883674258985459,0.049173974288939125,0.1070110701107011,0.20706179066834804,0.066363275,0.13331726
Per2,-2.754689,-1.0147706,0.005874795685485006,0.049115046692278196,0.1033210332103321,0.203530895334174,0.054208767,0.10666063
P2rx7,-2.7606268,-3.5366814,0.00576905758560379,0.04835139654559383,0.01107011070110701,0.1086290758421906,0.0070946254,0.07938976
Slc39a11,-2.7612717,-0.6372747,0.005757674121207254,0.04828611224620441,0.25092250922509224,0.3482255449468564,0.15549868,0.23244329
Bin3,-2.7615547,-0.72079736,0.005752687766741768,0.04825935694422458,0.15498154981549817,0.2590524229868492,0.09094901,0.14576147
Il18,-2.764995,-1.7614232,0.005692364516187414,0.047813014864006194,0.07749077490774908,0.17348225544946858,0.04531607,0.14597785
Tmem121b,-2.7665343,-1.5409625,0.0056655629819829184,0.0476176657259559,0.04428044280442804,0.1433255269320843,0.026103355,0.0741402
Sowaha,-2.7698956,-1.8317164,0.0056074284832131425,0.047217675758049873,0.04428044280442804,0.14285714285714285,0.025860101,0.08915691
Pmepa1,-2.772751,-1.0220356,0.0055584604582561686,0.046864082997597506,0.15498154981549817,0.25537740947577015,0.09478822,0.18391429
Lgi3,-2.7758331,-0.9882281,0.005506044471378394,0.04646913141956476,0.15867158671586715,0.2594127184291119,0.09831793,0.18643636
Rapgefl1,-2.7772253,-0.52422106,0.005482517243066246,0.04631098343954418,0.4280442804428044,0.49097459917132047,0.29674578,0.40335965
Vps37b,-2.777346,-0.888812,0.005480481223380372,0.04630834291579578,0.15498154981549817,0.25638623671410554,0.08841378,0.1580002
Dstyk,-2.7872748,-0.60953784,0.005315336890868609,0.045125782703835556,0.3505535055350554,0.4357773374166817,0.22477481,0.3253796
Src,-2.7913492,-0.5447251,0.005248882967448617,0.04471702134918971,0.25092250922509224,0.35946676274545125,0.16496319,0.23240082
Dcdc2a,-2.7927902,-3.1351051,0.005225558256631497,0.04456069513033587,0.01107011070110701,0.10970996216897856,0.007195976,0.061515868
Crlf1,-2.7949443,-4.5099673,0.005190867884478723,0.04432734408196969,0.007380073800738007,0.10571068275986309,0.0027257833,0.060332622
Yap1,-2.7978904,-1.4514632,0.00514375618906868,0.04397477849197437,0.02952029520295203,0.12902179787425688,0.029461402,0.0785997
Lama4,-2.7981055,-2.5577352,0.005140332996600573,0.043959499560362,0.033210332103321034,0.1310034228067015,0.017067239,0.096537866
Lhx9,-2.8064198,-2.3316622,0.005009538217742769,0.04295031649991966,0.02952029520295203,0.12848135471086292,0.016436914,0.08012708
Skil,-2.8092906,-0.7052845,0.004965080933011643,0.042650807119572524,0.2952029520295203,0.39019996397045575,0.18660799,0.2885559
Bhlhb9,-2.811139,-0.72387946,0.004936644499434895,0.042488032575213205,0.22878228782287824,0.3297423887587822,0.13506675,0.21417972
Kcng3,-2.8112786,-1.7724404,0.004934503251469686,0.042488032575213205,0.03690036900369004,0.1369843271482616,0.021273015,0.07088132
Efna5,-2.8142023,-0.86288524,0.00488984542418598,0.04215275795568729,0.36531365313653136,0.41343901999639704,0.32066318,0.5232681
Ajm1,-2.8217206,-0.6303992,0.004776676925929809,0.04126987427644179,0.15129151291512916,0.2565663844352369,0.0956915,0.14448884
Nuak1,-2.8219545,-0.6639036,0.004773194708562924,0.04125305301353675,0.2915129151291513,0.3903440821473608,0.19677211,0.29605663
Dbn1,-2.8227468,-0.5735682,0.004761417164012422,0.04119101068802762,0.3837638376383764,0.4668348045397226,0.25717723,0.36217496
Arhgef10,-2.8246217,-1.410831,0.004733648354287541,0.04101681111889914,0.13284132841328414,0.22871554674833364,0.06797022,0.17143746
Ltk,-2.8282583,-2.3211832,0.00468020445899596,0.040606100682344666,0.02214022140221402,0.12271662763466042,0.0116743725,0.057026338
Mal,-2.8299444,-1.5687734,0.004655608779442841,0.0404188070771015,0.1881918819188192,0.2755179246982526,0.12552288,0.3341457
Plce1,-2.8383908,-1.7079504,0.004534162634284896,0.03947924497188437,0.055350553505535055,0.15622410376508739,0.03847682,0.12058076
Pgm2l1,-2.838953,-0.49626857,0.0045261834524332415,0.03942254436527754,0.5977859778597786,0.6219059628895695,0.5240623,0.67889696
Angpt1,-2.8417332,-1.385037,0.004486902711365767,0.03911316944055799,0.11070110701107011,0.20756620428751577,0.08677272,0.21249105
Cx3cr1,-2.8471277,-1.9810132,0.004411566225176768,0.038486618334577845,0.07749077490774908,0.17722932804900018,0.04911292,0.18125694
Itga6,-2.8506699,-1.7006783,0.0043627225252809735,0.038122391627414556,0.08487084870848709,0.18418303008466944,0.054719854,0.16790561
Gramd3,-2.8555553,-3.3918817,0.004296165053577393,0.03758969553553388,0.02214022140221402,0.12203206629436138,0.0124050435,0.12312391
Tgfa,-2.8560984,-1.9474052,0.004288821238926934,0.03754989465297058,0.06273062730627306,0.16206088992974238,0.032985248,0.12163267
Dipk1a,-2.8562343,-0.5039591,0.004286987064794477,0.03754606989277301,0.3985239852398524,0.4775716087191497,0.28772274,0.3871495
Grm2,-2.8638697,-1.972965,0.004185002806433913,0.036736695657915465,0.025830258302583026,0.1282651774455053,0.01977885,0.07549669
Jam3,-2.8642128,-0.6291173,0.004180469679559015,0.036708895519526386,0.3210332103321033,0.42140154927040174,0.23627408,0.345154
Unc13c,-2.8658652,-1.0643173,0.004158713150130026,0.03652978827852037,0.12915129151291513,0.22896775355791749,0.12333304,0.2425467
Plat,-2.8708107,-1.4507653,0.004094205104903278,0.03608110566374256,0.06642066420664207,0.16901459196541163,0.035278946,0.09363375
Tbr1,-2.8833616,-2.2138886,0.0039345557095231765,0.034776813129897284,0.04059040590405904,0.14184831561880742,0.017441211,0.07846334
Cebpz,-2.884414,-0.7447536,0.003921427987048634,0.03467218493320066,0.1992619926199262,0.3071158349846874,0.12327211,0.19871709
Lpl,-2.8860738,-2.9876409,0.003900805590759961,0.034512560495133404,0.01107011070110701,0.1135290938569627,0.008699584,0.06700801
Kcnn3,-2.8864095,-0.58603805,0.0038966462394336328,0.03448711609143008,0.22140221402214022,0.33305710682759865,0.16403694,0.23711476
Fa2h,-2.8904462,-2.4209628,0.003846954951250501,0.03415984122276965,0.06642066420664207,0.16422266258331833,0.037114304,0.18439627
Rhou,-2.891555,-1.1678721,0.0038334026511305055,0.034050753466405514,0.12546125461254612,0.2268780399927941,0.066159576,0.14295228
Gm49678,-2.8966215,-0.5258956,0.003772045366629902,0.03356121158984949,0.5350553505535055,0.5551071878940731,0.7120299,0.91417676
Vmn2r85,-2.8969762,-1.2216705,0.0037677844187688327,0.03353440454863151,0.06642066420664207,0.17070798054404612,0.037150003,0.0845888
Pou6f2,-2.901918,-1.2229347,0.0037088566814974123,0.03305372438866848,0.07380073800738007,0.17845433255269322,0.06177373,0.13866544
Cfap54,-2.902612,-0.58300656,0.003700647253044298,0.032991503546549526,0.21033210332103322,0.3200144118176905,0.14988236,0.21689828
Hectd2,-2.9039776,-0.5387005,0.0036845442992575837,0.032869756082686344,0.4575645756457565,0.5138173302107728,0.3532826,0.479671
Slitrk2,-2.905713,-1.478587,0.003664173902109407,0.032709751744079654,0.07749077490774908,0.18018375067555395,0.04353456,0.1168935
Ccdc3,-2.9078784,-3.883672,0.0036388988240491906,0.03250572187573197,0.01107011070110701,0.11334894613583138,0.0045775604,0.065527566
Diaph3,-2.910836,-2.2329404,0.0036046329191363555,0.032231775885921424,0.03690036900369004,0.139758602053684,0.023577416,0.10629714
Slc39a12,-2.911515,-3.5319912,0.0035968072881687268,0.03217250726800722,0.014760147601476014,0.11734822554494685,0.009010237,0.09956994
Map3k20,-2.912858,-2.0444314,0.0035813754166115265,0.03205581527126972,0.025830258302583026,0.12934606377229327,0.020205878,0.08084163
R3hcc1l,-2.9133182,-0.6873838,0.0035761008383270424,0.032019270085254126,0.24723247232472326,0.35658439920735,0.16336353,0.25136703
