names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sncg (for_DEGs),mean_expr_Rest (for_DEGs)
Adarb2,27.82826,6.522383,1.9744262265416032e-170,5.305283270717288e-166,1.0,0.5774094757701315,5.1437106,1.0484208
Grip1,27.693285,4.277424,8.411398010772141e-169,8.000841700629525e-165,1.0,0.7774815348585841,4.371562,1.6155787
Nrxn3,27.691116,3.193944,8.932834053549898e-169,8.000841700629525e-165,1.0,0.9283012069897316,5.2544146,3.0822356
Dlx6os1,26.898947,5.7319584,2.259407024328752e-159,1.5177566685928392e-155,0.996309963099631,0.2711943793911007,3.2271442,0.37532842
Cnr1,26.442604,4.6631007,4.4382256956855154e-154,2.3851024888613959e-150,0.974169741697417,0.435272923797514,2.6009398,0.40041444
Npas3,25.77819,4.4313374,1.557423559006976e-146,6.974661838419574e-143,0.992619926199262,0.579787425689065,3.651205,1.0076077
C130073E24Rik,25.241096,4.8626847,1.4185082248787404e-140,5.445045143213107e-137,0.9704797047970479,0.33694829760403533,2.6846735,0.38476872
Rbms3,24.222528,3.5783176,1.2882500113754385e-129,4.326909725707254e-126,0.981549815498155,0.506107007746352,2.4831936,0.6518983
Col25a1,23.88188,4.58745,4.725435013912597e-126,1.4108048758203498e-122,0.940959409594096,0.44586560980003603,2.8295825,0.5085968
Kcnip1,23.463484,4.242287,9.62912592385124e-122,2.587346135738828e-118,0.9114391143911439,0.22475229688344442,1.7305586,0.2194311
Erbb4,22.62531,3.829772,2.4423543083345763e-113,5.468838355412505e-110,0.992619926199262,0.7166996937488741,3.9776855,1.5442997
Gad2,22.269665,3.6096308,7.274340055377359e-110,1.5035501329845355e-106,0.9077490774907749,0.21693388578634482,1.398792,0.2230496
Snhg11,21.997204,1.8763334,3.06289154779793e-107,5.878563992095027e-104,1.0,0.8257250945775536,3.3981466,2.1831198
Sox2ot,21.868738,3.443879,5.156349832868286e-106,9.236741333944723e-103,0.988929889298893,0.46078184110971,2.6327734,0.78233105
Abtb3,21.860806,3.726108,6.135251314984778e-106,1.030338767710256e-102,0.8708487084870848,0.14966672671590706,1.060854,0.13342272
Slc44a5,21.80174,2.7044404,2.2335912013038367e-105,3.5303879752372997e-102,0.9446494464944649,0.6047919293820934,2.19478,0.79930335
Col19a1,21.698132,4.784641,2.13668213396886e-104,3.189591607763515e-101,0.8487084870848709,0.26697892271662765,2.2407277,0.2660239
Gm45323,21.620865,4.5134897,1.143127645261715e-103,1.616623148851699e-100,0.8339483394833949,0.17085209872095117,1.4836594,0.13911651
Pclo,21.481113,1.8225558,2.3383286344333485e-102,3.1415445203612035e-99,1.0,0.8299765807962529,2.835148,1.7106938
Apba1,21.430574,2.1024652,6.931897751167294e-102,8.869528217803105e-99,0.966789667896679,0.7252026661862727,2.1518464,1.0188135
Necab1,21.31796,2.9657292,7.735543270721998e-101,9.447911258377278e-98,0.915129151291513,0.4028103044496487,1.6558781,0.43336725
5330434G04Rik,21.276325,2.0415182,1.8812061267638676e-100,2.1977395054845706e-97,0.985239852398524,0.6412538281390741,1.8671939,0.8453257
Meg3,20.95577,1.8928891,1.6621882623263048e-97,1.8609582753628253e-94,1.0,0.9123761484417222,4.517584,3.2347147
