names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CT SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Efcab1,-2.9820323,-1.415343,0.0028634170170100015,0.0496707651691793,0.059322033898305086,0.17190828669434915,0.034699786,0.09000236
Ybx3,-2.989021,-0.60882413,0.0027987290325292807,0.048674335989684,0.2033898305084746,0.3275320454955768,0.1378006,0.2031993
Heg1,-2.9912992,-1.8984272,0.002777931868513864,0.04837526202655057,0.0847457627118644,0.19415056869471023,0.040760104,0.14418326
Asrgl1,-2.996569,-0.99330086,0.0027303643654653996,0.047701489271817485,0.16101694915254236,0.276584220978516,0.11735848,0.2214553
Pls1,-2.9980931,-1.0635867,0.0027167457889599963,0.04758732682487295,0.1483050847457627,0.25925257266654633,0.09189736,0.18330383
Dlx6os1,-3.0045142,-1.5838634,0.0026600527184175654,0.046716089244366,0.18220338983050846,0.27958115183246074,0.15432048,0.4056069
Fign,-3.005171,-2.1448917,0.0026543159354607887,0.046676354179209026,0.07203389830508475,0.18191009207438166,0.04643375,0.190786
Lamc1,-3.0061884,-0.5961961,0.0026454497937480046,0.04655090763458342,0.3347457627118644,0.4420292471565265,0.23889028,0.342115
Anxa11,-3.0194561,-1.277837,0.0025322885258218584,0.04476486361107456,0.0847457627118644,0.19624480953240658,0.04944609,0.115921885
Gad2,-3.0210857,-1.5106165,0.0025186993160200557,0.04455395037620731,0.11440677966101695,0.22448095324065717,0.08875322,0.23463573
Cdc42se2,-3.02835,-0.5366132,0.002458930275752379,0.0435827549534739,0.4745762711864407,0.5805380032496841,0.4149087,0.5572858
Bcan,-3.0291932,-1.8832191,0.002452077518677573,0.04348998212994481,0.0847457627118644,0.19671420834085576,0.052955452,0.18283488
C030017B01Rik,-3.029692,-0.90207183,0.002448033394584579,0.04344693349569857,0.13135593220338984,0.2479508936631161,0.079779565,0.14427038
Lhfpl3,-3.0323713,-0.89830077,0.002426404684098433,0.043120035622833924,0.3940677966101695,0.4762231449720166,0.4049742,0.65781146
Gab1,-3.0326836,-1.3102225,0.0024238965582725988,0.043103971224874076,0.13559322033898305,0.2467954504423181,0.12684228,0.28920317
Dennd2a,-3.0345564,-0.6886651,0.002408897568243565,0.04289402097992352,0.2584745762711864,0.37746885719443946,0.17818245,0.27335638
Creb5,-3.0468755,-1.9030137,0.0023123340610248008,0.04144924364225243,0.08898305084745763,0.19967503159415056,0.064199045,0.22152211
2310002F09Rik,-3.0703385,-1.6345183,0.0021381631594672595,0.03853282635471848,0.08898305084745763,0.2014804116266474,0.04999878,0.14771675
Map4,-3.0759447,-0.41267717,0.0020983672764156515,0.03794288608162083,0.690677966101695,0.7128362520310525,0.71605915,0.8724875
Spns2,-3.07648,-0.7600021,0.002094604704556569,0.03790035583261617,0.1906779661016949,0.3129806824336523,0.122656114,0.19966485
Plppr3,-3.0848994,-1.1230899,0.0020362101651898727,0.037043308827794094,0.0635593220338983,0.18223506048023108,0.04711569,0.09991771
Lama2,-3.090696,-1.5813341,0.0019968782697695883,0.0364725701667684,0.11016949152542373,0.22346994042245893,0.10375121,0.28303337
Ptprj,-3.094831,-0.36856166,0.00196925074901472,0.03602026387067769,0.7245762711864406,0.7132334356382019,0.8431399,0.99655145
Nek7,-3.0967808,-1.1683663,0.0019563446079438,0.03583297860630532,0.17796610169491525,0.2887524823975447,0.12704672,0.26580366
Plekhh2,-3.0986454,-1.1959175,0.0019440746234695829,0.03565684991988238,0.11864406779661017,0.23484383462718902,0.07320298,0.16040993
Abtb3,-3.100271,-2.5386477,0.0019334360838605923,0.03551020339940814,0.0423728813559322,0.15779021484022387,0.02618243,0.14335592
Dgkd,-3.1073287,-0.4803817,0.0018878643387687363,0.03472068089166047,0.5,0.5808268640548836,0.42695358,0.55561477
Acvr1c,-3.1094,-1.7535388,0.0018746771141230417,0.03452541059389042,0.07203389830508475,0.18790395378227118,0.036454692,0.11794979
Gm45323,-3.1151483,-2.1690338,0.0018385251487391325,0.033929375512788795,0.0635593220338983,0.17855208521393753,0.036156137,0.15321659
Col19a1,-3.1238353,-1.3764457,0.0017851034613860803,0.033040621120933165,0.1652542372881356,0.2741650117349702,0.1204613,0.28695756
Abcd2,-3.1287768,-1.7501053,0.0017553560516616492,0.0325510124969969,0.06779661016949153,0.1857736053439249,0.0416726,0.13378
Vgll4,-3.134894,-0.75121623,0.001719163196096542,0.03199024589966349,0.3093220338983051,0.4206174399711139,0.22295658,0.35094488
Arhgap31,-3.1410394,-1.7857109,0.0016834946511895123,0.031413542553793194,0.08898305084745763,0.2045134500812421,0.06441346,0.20652574
Ano6,-3.141846,-0.5068875,0.001678863451313997,0.031348895717030645,0.423728813559322,0.5324426791839683,0.3678265,0.48965627
Fam3c,-3.1432161,-1.111605,0.0016710242441309066,0.03122421518761993,0.1864406779661017,0.2986098573749774,0.10524119,0.214957
Htr2a,-3.146909,-2.8647234,0.0016500628911755523,0.03087548042192694,0.038135593220338986,0.15461274598302943,0.014349135,0.10009161
Pcdh11x,-3.1660912,-0.8298835,0.0015450234528848938,0.029133179072994453,0.3474576271186441,0.4413793103448276,0.34849462,0.55452627
Arhgap21,-3.1667438,-0.31842947,0.0015415604147033734,0.029088292375758176,0.7076271186440678,0.7134139736414515,0.8108635,0.9394297
Abi1,-3.1703923,-0.4269887,0.0015223331392565846,0.028745672137613792,0.635593220338983,0.6776674489980141,0.62534344,0.7738777
Cc2d2a,-3.1763146,-0.59508693,0.0014915906590230136,0.02824456730651753,0.2288135593220339,0.36317024733706443,0.17104729,0.24825814
Fam184a,-3.1787024,-0.56573886,0.0014793594597453713,0.02805249730653361,0.2796610169491525,0.4083047481494855,0.21615271,0.30538508
Lhx2,-3.1794806,-1.2675245,0.0014753923964598771,0.027997029444122103,0.11864406779661017,0.2379851958837335,0.06514486,0.1501911
Wipf1,-3.204873,-1.5886793,0.0013512205628656957,0.02578643219048384,0.11016949152542373,0.22671962448095323,0.08724468,0.24231632
Rerg,-3.2063932,-1.5706308,0.001344101851303336,0.025687067385861052,0.09745762711864407,0.21437082505867486,0.059249725,0.16662444
Notch2,-3.209397,-2.1995282,0.0013301369052174936,0.025492709445930135,0.06779661016949153,0.18530420653547572,0.034354694,0.14888792
Rarb,-3.2221014,-1.6046083,0.0012725411660301743,0.02447614970023678,0.07627118644067797,0.1987362339772522,0.049342837,0.14307988
Wipf3,-3.2321668,-0.622667,0.0012285535893554137,0.023783310479812657,0.4533898305084746,0.529770716735873,0.41784638,0.58702743
Nhsl1,-3.2517786,-1.7682571,0.0011468533012058079,0.02231422751875457,0.09745762711864407,0.21704278750677017,0.061353352,0.19518857
Cald1,-3.2521799,-1.4418956,0.001145235161446583,0.022298890426137453,0.1271186440677966,0.24614551363061923,0.077315636,0.19752443
Vcl,-3.2552,-0.6734419,0.0011331257782328371,0.0220951303781686,0.2838983050847458,0.4087019317566348,0.22063668,0.3319812
Nectin1,-3.2574618,-1.355427,0.0011241335802453345,0.02193570755351644,0.11016949152542373,0.23293013179274238,0.059214193,0.14504276
Runx2,-3.2729795,-0.59351814,0.0010642020125793757,0.020841915508752057,0.423728813559322,0.5169525185051453,0.40817934,0.5656614
Arsj,-3.2764778,-1.85704,0.0010511056113876875,0.020615480129917638,0.05508474576271186,0.1786243004152374,0.03247102,0.11293707
B4galt1,-3.2940872,-2.3100905,0.00098741873260013,0.0194944462490562,0.05084745762711865,0.17356923632424626,0.025344953,0.119821474
4921539H07Rik,-3.2957695,-1.663723,0.0009815252616091823,0.01939234101429318,0.06779661016949153,0.19118974544141543,0.05538525,0.16587801
Gm4221,-3.3010635,-1.6511663,0.0009631904454527818,0.019113842337491062,0.0635593220338983,0.18913161220436903,0.04435855,0.13318467
Paqr8,-3.301842,-1.118066,0.0009605218769517953,0.01907555272261252,0.1652542372881356,0.28763314677739665,0.10994385,0.22494416
