names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_14 (for_DEGs),mean_expr_Rest (for_DEGs)
Elavl2,18.347689,1.7201346,3.444512133444671e-75,8.118775528566518e-73,0.8113553113553114,0.5362809315866084,1.4600462,0.6948887
C130071C03Rik,18.33567,1.1176358,4.2968766060649125e-75,1.0039745600431668e-72,0.9725274725274725,0.7716157205240175,1.9700016,1.3464475
Dpysl5,18.294481,2.4210715,9.1568466735939e-75,2.1210730182712763e-72,0.6043956043956044,0.22991266375545852,0.58881366,0.13951765
Kazn,18.292479,1.493375,9.499665763475774e-75,2.1816753766204616e-72,0.8241758241758241,0.5683770014556041,1.3061382,0.6709549
Kcnd3,18.274065,1.3539616,1.3315367419182556e-74,3.03206714028335e-72,0.8809523809523809,0.6252911208151383,1.4403356,0.8156055
Dnm3,18.14865,1.2287201,1.3159669223175387e-73,2.9466692668893554e-71,0.9432234432234432,0.7223799126637555,1.7527108,1.1103559
Ripor2,18.068563,1.3872089,5.636230784209693e-73,1.2312643997700364e-70,0.836996336996337,0.5813682678311499,1.1913303,0.62916064
Zfp608,18.006004,1.2681999,1.748008130376145e-72,3.757518277056562e-70,0.8882783882783882,0.6536754002911208,1.4020305,0.82060575
Bach2,17.902975,1.3125576,1.117886986739397e-71,2.346689322944344e-69,0.8571428571428571,0.611098981077147,1.305689,0.7338597
Gria4,17.566313,1.362344,4.46247767519466e-69,9.015547002442144e-67,0.9926739926739927,0.787117903930131,2.4972293,1.6745275
Snhg14,17.539577,1.1262283,7.145757594361988e-69,1.4328843773172136e-66,0.9963369963369964,0.8120451237263464,2.6845758,1.9815736
Plcb4,17.395954,1.7811803,8.85404846091056e-68,1.7622835714419758e-65,0.6868131868131868,0.3235807860262009,0.7995413,0.30473676
Bmper,17.28769,2.8122191,5.824073501542589e-67,1.1340061955539809e-64,0.5604395604395604,0.19395924308588064,0.7132763,0.138166
Gng2,17.26123,1.3096129,9.212659434668506e-67,1.7808932302844804e-64,0.8021978021978022,0.5853711790393014,1.106757,0.5970527
Scn1a,17.250837,1.1909176,1.1028841904693822e-66,2.11674987127945e-64,0.9047619047619048,0.6783478893740903,1.529292,0.94911176
Gm45341,17.224312,3.3756506,1.7448865547333938e-66,3.3251845195522194e-64,0.5201465201465202,0.12783842794759825,0.719086,0.09658965
Kcnn2,17.194937,1.3525006,2.8977132436207397e-66,5.483208088456991e-64,0.8791208791208791,0.6375545851528385,1.5575088,0.9031519
Sorcs1,17.182947,2.0435667,3.5633791001660865e-66,6.695664085416975e-64,0.7435897435897436,0.4586608442503639,1.5506539,0.64238894
Fgf13,17.035625,1.574709,4.469404479464394e-65,8.225540983781388e-63,0.8241758241758241,0.6340975254730713,1.6140853,0.8546988
Brinp3,16.88694,1.6529127,5.61395115014459e-64,1.0192355905701698e-61,0.8553113553113553,0.6255458515283843,1.9581896,1.0768713
Egfem1,16.782444,1.4456887,3.280488549494235e-63,5.915887739926852e-61,0.9761904761904762,0.7680131004366813,2.748609,1.8512123
Rph3a,16.752106,1.5688989,5.465737656378544e-63,9.726117273304072e-61,0.7087912087912088,0.41466521106259097,0.84979105,0.37251803
B830012L14Rik,16.739586,1.2193439,6.745524635453144e-63,1.1846552088537646e-60,0.8736263736263736,0.6074235807860262,1.314409,0.77439266
Plppr1,16.66036,1.8505758,2.5448658913671003e-62,4.440295227339869e-60,0.6923076923076923,0.45433042212518193,1.1064804,0.44541273
Magi3,16.500465,1.4380794,3.6407273833596216e-61,6.230977375214842e-59,0.793040293040293,0.5477802037845706,1.2208734,0.6323892
Grb10,16.469454,1.7220176,6.0817442427815786e-61,1.0342814417945634e-58,0.6575091575091575,0.34938136826783117,0.6811196,0.25918737
Trpc4,16.447319,1.4518217,8.766352559683404e-61,1.481458448293667e-58,0.8205128205128205,0.5357350800582241,1.3110651,0.6884918
Frmpd3,16.36111,2.0196915,3.62453663367593e-60,6.0869562091795144e-58,0.608058608058608,0.29621542940320233,0.63501585,0.1978313
Col19a1,16.340189,3.1681442,5.109385109152423e-60,8.527278129374261e-58,0.5695970695970696,0.26670305676855893,1.3146791,0.26466224
Rasgrf2,16.248016,1.7030116,2.3070565487617116e-59,3.8265808311868635e-57,0.7289377289377289,0.48679039301310045,1.2297554,0.5558421
Cacna2d3,16.097124,1.2521589,2.672408753746916e-58,4.325760434528894e-56,0.9706959706959707,0.7406477438136827,2.243992,1.5128082
Kcnt2,16.096518,1.363824,2.6987190576206922e-58,4.342190483728623e-56,0.9157509157509157,0.6812954876273654,1.8519669,1.1273366
Xkr6,16.028315,1.2024382,8.105121057020465e-58,1.2810858988361172e-55,0.8388278388278388,0.5788937409024745,1.152234,0.66314685
Cplane1,16.009981,1.0011852,1.0884269070642871e-57,1.7102942101062806e-55,0.8974358974358975,0.6984352256186317,1.3533427,0.8895335
Cpeb2,15.997655,1.2626299,1.3267981490934844e-57,2.072736410822205e-55,0.7912087912087912,0.590938864628821,1.1036308,0.60968715
Myo16,15.976094,1.5229423,1.8753286633630564e-57,2.912721455755221e-55,0.7271062271062271,0.47958515283842795,1.069441,0.5103879
Syne1,15.704463,1.0352455,1.409656643469717e-55,2.1768663224155916e-53,0.9725274725274725,0.8144104803493449,2.1865718,1.5804074
Chrm3,15.683515,1.4180552,1.960958792820317e-55,3.0109121578903956e-53,0.9065934065934066,0.6544395924308588,2.051966,1.2636663
Gm13629,15.639786,2.6650863,3.900369769168844e-55,5.95471225554357e-53,0.5128205128205128,0.16968704512372634,0.5994617,0.12174225
Ppm1h,15.615461,1.087077,5.7130250972283695e-55,8.624100245085747e-53,0.8608058608058609,0.6700873362445415,1.3146098,0.8250088
Tcf12,15.586757,0.9713745,8.956691114682038e-55,1.3445044148128848e-52,0.9688644688644689,0.8077147016011644,1.8846995,1.3475888
Frmd5,15.548209,1.1660032,1.6361674588554227e-54,2.4424344233025115e-52,0.9468864468864469,0.7346433770014557,2.0059414,1.3524615
Mast2,15.276522,1.0397295,1.0963834509959066e-52,1.6010773547967398e-50,0.8424908424908425,0.640174672489083,1.1594558,0.7248306
Amy1,15.246992,1.2534835,1.7239490411033774e-52,2.5039194991593377e-50,0.7362637362637363,0.5113901018922853,0.8516957,0.44696516
