"celltype","original","filtered","pct_retained","n_extreme","n_low_pct"
"Astrocytes_Emx1",1163,2,0.171969045571797,1010,1144
"Astrocytes_Nestin",15533,839,5.40140346359364,9200,14669
"Excitatory_Emx1",526,49,9.31558935361217,227,518
"Excitatory_Nestin",6126,1349,22.0208945478289,967,5835
"GABA_Emx1",1312,7,0.533536585365854,1052,1291
"GABA_Nestin",7173,572,7.97434825038338,3531,6861
"Immune_Nestin",16914,1941,11.4757006030507,8813,15887
"Oligo_Emx1",1506,1,0.0664010624169987,1253,1466
"Oligo_Nestin",15118,2437,16.1198571239582,5721,14254
"Progenitors_Nestin",12594,269,2.13593774813403,8214,11852
"Unknown_Emx1",32,1,3.125,23,29
"Unknown_Nestin",17,2,11.7647058823529,6,17
"Vascular_Nestin",8648,233,2.69426456984274,5740,8218
