"celltype","original","filtered","pct_retained","n_weak","n_fdr"
"Astrocytes_Emx1",105,10,9.52380952380952,95,0
"Astrocytes_Nestin",6263,61,0.973974133801693,6202,0
"Excitatory_Emx1",95,3,3.15789473684211,92,0
"Excitatory_Nestin",9628,3,0.0311591192355629,9625,0
"GABA_Emx1",395,8,2.0253164556962,387,0
"GABA_Nestin",979,34,3.4729315628192,945,0
"Immune_Nestin",10073,4,0.0397101161520897,10069,0
"Oligo_Emx1",40,5,12.5,35,0
"Oligo_Nestin",11393,10,0.0877731940665321,11383,0
"Progenitors_Nestin",791,79,9.98735777496839,712,0
"Unknown_Nestin",2415,30,1.24223602484472,2385,0
"Vascular_Nestin",1436,165,11.4902506963788,1271,0
