names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-STR-CTX Inh IMN (for_DEGs),mean_expr_Rest (for_DEGs)
Gm27032,-2.7745485,-1.2159246,0.005527839513026685,0.04996066186176489,0.03389830508474576,0.2503946613088404,0.06090347,0.1361634
Gm38413,-2.774597,-26.798937,0.00552701549581902,0.04996066186176489,0.0,0.20877583237657865,0.0,0.11042919
A830036E02Rik,-2.7752678,-5.2479153,0.005515627958899256,0.04988385165116897,0.01694915254237288,0.22280424799081516,0.0042331517,0.14945357
Dnajc19,-2.7753,-1.2935024,0.005515079697149393,0.04988385165116897,0.05084745762711865,0.26481773823191734,0.07742292,0.18008673
Gga3,-2.7758496,-0.92967033,0.005505766769665686,0.04982820919532401,0.05084745762711865,0.2726033295063146,0.08785762,0.16120562
1110004F10Rik,-2.7768922,-0.4454582,0.005488138592174145,0.04968540565084881,0.11864406779661017,0.3566661882893226,0.20250243,0.2667101
Slc25a51,-2.7774012,-0.28638664,0.005479548010982796,0.049624352900272235,0.0847457627118644,0.3167695177956372,0.1671146,0.20034939
Tbc1d15,-2.7782257,-0.7742904,0.005465665181977498,0.049515314713329525,0.1016949152542373,0.33262772675086105,0.12766002,0.20936272
Nr4a1,-2.7784114,-26.874557,0.005462539130288381,0.04950368513687987,0.0,0.20906285878300804,0.0,0.11603976
Safb,-2.7795267,-0.3988228,0.005443816689117895,0.04935065939156473,0.1694915254237288,0.44004735935706085,0.25593445,0.32537082
Ywhag,-2.7796237,-0.39258355,0.005442191391570893,0.04935065939156473,0.2711864406779661,0.5775330080367393,0.4428076,0.54886943
Ipo9,-2.781127,-0.52569366,0.005417055233994837,0.049141213415746544,0.15254237288135594,0.4029133180252583,0.19950798,0.27601805
Uck2,-2.7813127,-0.6051037,0.0054139542924248165,0.04912966965128498,0.0847457627118644,0.31852755453501724,0.1310641,0.19310892
Lman2l,-2.7817895,-0.79775673,0.005406007030358016,0.04907412463031077,0.0847457627118644,0.314150401836969,0.114837855,0.19189896
Scyl3,-2.7825897,-1.2543265,0.005392695455945994,0.048969829976772176,0.05084745762711865,0.2684773249138921,0.067236066,0.15350236
Cep112,-2.7826543,-0.773029,0.005391621066649769,0.048969829976772176,0.23728813559322035,0.49038461538461536,0.34486288,0.5328021
Tmx3,-2.783309,-0.28307655,0.00538075375504085,0.04889443807844019,0.2033898305084746,0.47822187141216993,0.32277957,0.38086382
Marchf7,-2.7833898,-0.4614577,0.005379413484141201,0.04889443807844019,0.2711864406779661,0.590018656716418,0.4228568,0.5450532
Tor1b,-2.78343,-2.5312471,0.005378743461739349,0.04889443807844019,0.01694915254237288,0.2299081515499426,0.023748761,0.1300875
Parm1,-2.7837453,-0.48129296,0.005373519872630464,0.048878293492749005,0.15254237288135594,0.4007964982778416,0.2783174,0.37017143
Cdkl1,-2.7842383,-1.9791626,0.005365358828537257,0.048820586428308874,0.01694915254237288,0.23026693455797934,0.0342608,0.12876128
Trappc13,-2.7845616,-0.8545844,0.005360013401850765,0.04878846887118226,0.05084745762711865,0.2733926521239954,0.09344259,0.16306455
Ivd,-2.7845616,-1.1032218,0.005360013401850765,0.04878846887118226,0.0847457627118644,0.3109931113662457,0.09571435,0.19539326
Gm26944,-2.784675,-1.4065468,0.0053581436389566715,0.04878846887118226,0.06779661016949153,0.28555539609644087,0.067481495,0.1698008
Mb21d2,-2.784804,-0.7886534,0.005356007488300878,0.04878846887118226,0.06779661016949153,0.2878157290470723,0.11185095,0.18601345
Snapc1,-2.7850869,-0.91375405,0.005351337339651093,0.04877558830272214,0.06779661016949153,0.28713404133180254,0.09648494,0.17465045
Clptm1,-2.7864366,-0.5113451,0.005329104652269941,0.04858942721631941,0.1016949152542373,0.3356773823191734,0.16405396,0.22642924
Itfg1,-2.7865174,-0.5636252,0.005327776004544711,0.04858942721631941,0.3050847457627119,0.6374497703788748,0.49676216,0.6683011
Grm3,-2.7880368,-0.68145573,0.0053028530445993075,0.04838290706566499,0.288135593220339,0.5782505740528129,0.66208863,0.9185529
Insig2,-2.7890146,-0.83979064,0.005286867950724083,0.048253444917104656,0.06779661016949153,0.2874210677382319,0.10340746,0.17813401
Sin3b,-2.789039,-0.9585649,0.0052864721796064326,0.048253444917104656,0.06779661016949153,0.29484787600459245,0.099722184,0.18547536
Wdr43,-2.7892895,-0.3887798,0.005282384111450766,0.048245296082488814,0.15254237288135594,0.4036308840413318,0.22220744,0.2820086
Gm14410,-2.7900085,-2.540649,0.005270663262240884,0.048154614708062746,0.03389830508474576,0.24469001148105626,0.02366118,0.13042673
Gmpr,-2.7905502,-0.9010429,0.005261855206551621,0.04809049299321158,0.03389830508474576,0.2521885763490241,0.08220156,0.14841147
Unkl,-2.7906551,-1.0010267,0.005260147721894901,0.04809049299321158,0.05084745762711865,0.26628874856486795,0.07909154,0.15248421
Mdh2,-2.7925138,-2.006686,0.005230021027851124,0.04784837079276803,0.05084745762711865,0.2663605051664753,0.052840315,0.19725385
Prmt7,-2.7933948,-0.7029824,0.005215798111630057,0.0477345011101838,0.0847457627118644,0.31752296211251435,0.12578657,0.19737475
Arhgap18,-2.79371,-1.8102407,0.00521071767314845,0.04770425345059586,0.05084745762711865,0.268154420206659,0.061727043,0.20155123
Trak1,-2.7950194,-0.31327963,0.005189662138514686,0.04752768291134615,0.22033898305084745,0.5047718140068886,0.33955875,0.40705654
Enpp2,-2.7951808,-0.67959726,0.005187068028269834,0.04752012203191628,0.1694915254237288,0.42020665901262916,0.35182244,0.5160312
A330015K06Rik,-2.7961507,-1.7425326,0.005171527957107968,0.047393914122609515,0.05084745762711865,0.2705941446613088,0.05797825,0.18210709
Ctnnd2,-2.7971447,-1.0887432,0.005155643057462719,0.047264458872065256,0.6271186440677966,0.8857634902411022,1.7980154,2.4608245
Jph3,-2.797266,-0.78490496,0.005153708894104305,0.04726285255446508,0.06779661016949153,0.2885332950631458,0.103416026,0.17203836
Zfp207,-2.798147,-0.5445241,0.005139673657614293,0.047150232564047816,0.3389830508474576,0.6912672215843858,0.60238856,0.7909291
Kansl3,-2.7983327,-0.5638726,0.0051367165111341,0.047139198310851525,0.11864406779661017,0.35472876004592424,0.161702,0.23067084
Ap1ar,-2.798866,-0.8327593,0.00512823932162055,0.04707748225894916,0.1016949152542373,0.33226894374282434,0.12201779,0.20794056
Wdr12,-2.79906,-1.2545336,0.005125159843491177,0.0470652922059494,0.06779661016949153,0.29025545350172216,0.0784675,0.17794263
Hexdc,-2.799173,-1.762185,0.005123364253164888,0.04706488802821899,0.05084745762711865,0.2659658438576349,0.047414787,0.15247253
Lancl2,-2.7993915,-26.934692,0.005119902934500952,0.04704917641930253,0.0,0.2106415040183697,0.0,0.12069212
Flywch1,-2.8001187,-0.25636652,0.005108380464645016,0.04695935103832076,0.1864406779661017,0.45669489092996557,0.3087985,0.3591725
Pdk3,-2.800329,-1.3819141,0.005105056117506473,0.046944852114099565,0.06779661016949153,0.28638059701492535,0.07046976,0.17418835
Gpbp1l1,-2.8007977,-0.31810817,0.005097647311500164,0.04689277071551161,0.15254237288135594,0.41177525832376577,0.24528165,0.29755157
Hs3st5,-2.8018563,-1.8325256,0.005080949381837822,0.04675517461985694,0.05084745762711865,0.2694819173363949,0.07685234,0.25037712
Spata6l,-2.8022523,-26.851753,0.005074716307799749,0.04671381541301105,0.0,0.21085677382319173,0.0,0.114319965
