Number,Pathway
1,Rrna Proc. (Go:0006364)
2,Reg. Rna Splicing (Go:0043484)
3,Reg. Mrna Proc. (Go:0050684)
4,Mrna Splicing - Minor Pathway R-Hsa-72165
5,Rna Proc. (Go:0006396)
6,Transport Of Mature Mrna Derived From An Intron-Containin...
7,"Reg. Mrna Splicing, Via Spliceosome (Go:0048024)"
8,Mrna Splice Site Recog. (Go:0006376)
9,Mrna Splicing - Major Pathway R-Hsa-72163
10,Mrna Splicing R-Hsa-72172
11,Proc. Of Intronless Pre-Mrnas R-Hsa-77595
12,+Reg. Of Rna Splicing (Go:0033120)
13,Proc. Of Capped Intron-Containing Pre-Mrna R-Hsa-72203
14,+Reg. Of Mrna Proc. (Go:0050685)
15,"+Reg. Of Mrna Splicing, Via Spliceosome (Go:0048026)"
16,"Reg. Alternative Mrna Splicing, Via Spliceosome (Go:0000381)"
17,Transport Of Mature Mrna Derived From An Intronless Trans...
18,"Alternative Mrna Splicing, Via Spliceosome (Go:0000380)"
19,Spliceosomal Complex Assembly (Go:0000245)
20,Snrna Proc. (Go:0016180)
21,Trna Proc. (Go:0008033)
22,"Mrna Cis Splicing, Via Spliceosome (Go:0045292)"
23,Proc. Of Capped Intronless Pre-Mrna R-Hsa-75067
24,"Nuclear-Transcribed Mrna Catabolic Process, Exonucleolyti..."
25,Reg. Rrna Proc. (Go:2000232)
