names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ENTmv-PA-COAp Glut (for_DEGs),mean_expr_Rest (for_DEGs)
6530403H02Rik,16.855846,3.085252,9.50389596537389e-64,2.553696845895964e-59,0.9028571428571428,0.4595042513330451,2.1444957,0.63559765
Kirrel3,16.090528,2.267302,2.9728631245179962e-58,3.9940416077899284e-54,0.9485714285714286,0.7719772301484363,3.1799023,1.7555662
Lingo2,15.968979,1.984594,2.101993307604123e-57,1.882685339177426e-53,0.9885714285714285,0.8824038045827929,3.9398367,2.62015
Gm26871,15.649875,1.7169924,3.328746088291205e-55,2.236085184809617e-51,0.9485714285714286,0.7988903300187347,2.9875398,1.9065508
Nrg1,15.372908,2.2151227,2.4874894300960756e-53,1.336776819733631e-49,0.9714285714285714,0.8479608012681943,3.7089987,2.2591012
Pcdh7,15.162414,2.0242887,6.2721604803662976e-52,2.8088825351240404e-48,0.9485714285714286,0.7845510880530335,2.9260874,1.6752083
Col23a1,15.152002,3.137651,7.349281817054983e-52,2.8210743203466764e-48,0.8,0.23137339674304655,1.0305805,0.18633908
5730522E02Rik,14.86621,1.7720252,5.461942410284351e-50,1.8345299070542563e-46,0.9371428571428572,0.7479103617235913,2.6568067,1.5850995
Ntng1,14.838438,2.4841444,8.265870177500327e-50,2.467821462993709e-46,0.9428571428571428,0.5680573569678629,2.252514,0.92476887
A830018L16Rik,14.665679,1.8937209,1.0694177272993858e-48,2.670668478504144e-45,0.9314285714285714,0.6879953883844935,2.2414405,1.1824605
Unc5d,14.664179,2.4445584,1.093314226406609e-48,2.670668478504144e-45,0.9485714285714286,0.6364749963971754,2.598244,1.189453
Cntnap5a,14.586079,2.1771624,3.444365437484104e-48,7.712508275433156e-45,0.9485714285714286,0.7039919296728635,2.732078,1.4293978
Tenm2,14.102464,1.4861759,3.66740176573311e-45,7.580237341942204e-42,0.9828571428571429,0.9399048854301773,4.3739657,3.3662739
Dcn,13.751323,3.5702074,5.000698084103866e-43,9.59776839427649e-40,0.6857142857142857,0.1116155065571408,0.7579538,0.09117752
Cpne7,13.735532,2.1403847,6.2197435315313835e-43,1.1141633912816553e-39,0.8742857142857143,0.41475716962098286,1.2383275,0.4419078
Ncam2,13.357155,1.5903653,1.0759818020527084e-40,1.8069769388222672e-37,0.9657142857142857,0.8592376423115723,3.0956814,2.0804217
Marchf1,13.12606,1.4652283,2.334933390618394e-39,3.6905682474068384e-36,0.9428571428571428,0.8363236777633665,2.9734871,2.0440724
Nalf1,13.070417,1.138109,4.859826283476838e-39,7.25464067983459e-36,0.9771428571428571,0.8996973627323822,3.603973,2.847248
Tenm1,12.770555,1.5587975,2.394411176064308e-37,3.386201489518313e-34,0.96,0.7515131863380891,2.3914394,1.4748297
Npr3,12.628084,2.3299694,1.4783393189295599e-36,1.9861488749818636e-33,0.7314285714285714,0.24283037901714943,0.62453586,0.15914813
