names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ENTmv-PA-COAp Glut (for_DEGs),mean_expr_Rest (for_DEGs)
St18,-2.8750687,-1.2252893,0.0040393951646430296,0.04773023222249701,0.30857142857142855,0.40283182014699526,0.32431582,0.6395678
Ptbp3,-2.8841348,-0.986136,0.0039249066208626865,0.04672278272025948,0.30857142857142855,0.3931402219339962,0.17486781,0.32101202
Thsd7b,-2.8964643,-0.8018838,0.0037739355857025697,0.045238129905197134,0.5371428571428571,0.5558437815247154,0.5690522,0.8486352
Tmsb4x,-2.929329,-0.6514983,0.003396948503886981,0.041894647023369536,0.6971428571428572,0.7217538550223375,0.80881685,1.0838509
Plp1,-2.9329073,-0.792497,0.003358041455066986,0.041523503864542066,0.6971428571428572,0.7189076235768843,0.8603762,1.2127209
Pkp2,-2.9546742,-1.3013271,0.0031299926026106843,0.03933718486068713,0.2342857142857143,0.33019887591872027,0.11892119,0.27096274
Tmtc1,-2.9652781,-0.72103065,0.003024094573190266,0.03834706049156321,0.4514285714285714,0.5122135754431474,0.3600375,0.5390462
Ablim3,-2.9661856,-1.5282074,0.0030151845898785004,0.03827019836090473,0.2,0.3006557140798386,0.0799394,0.2151382
Gpc5,-2.9696748,-1.0642536,0.0029811521892879143,0.03789193913252897,0.6514285714285715,0.6138492578181294,0.741772,1.1937637
Pvt1,-3.006442,-0.6526791,0.002643243270692123,0.034410826881539416,0.4857142857142857,0.535487822452803,0.36089805,0.5207306
Stard13,-3.024753,-1.2622755,0.0024883625259897414,0.03280780229310321,0.24,0.3470600951145698,0.15428343,0.33658758
Cdh8,-3.0404775,-0.3855565,0.0023620329371127143,0.031587374738222505,0.8,0.6899409136763223,1.0631832,1.2459755
Hsp90aa1,-3.114812,-0.5364253,0.0018406229036674385,0.02603028227818382,0.8285714285714286,0.7954676466349618,0.8810651,1.1151601
Htr1f,-3.1465855,-1.3822095,0.0016518901276821537,0.023992587962605116,0.26285714285714284,0.35664360858913385,0.16980419,0.39367822
4930447C04Rik,-3.1544852,-2.009672,0.0016078147911601892,0.023466585246319546,0.08571428571428572,0.2171062112696354,0.041034687,0.15587503
Meis2,-3.178627,-0.95096856,0.0014797437393055544,0.0219308959046554,0.41714285714285715,0.49038045827929094,0.40345696,0.6733363
Mcc,-3.1791818,-1.5851723,0.0014769138641821046,0.02190103506102271,0.2057142857142857,0.316147859922179,0.1026953,0.28104126
Rbms1,-3.232605,-1.0812345,0.00122667075034489,0.018856203124580775,0.2914285714285714,0.3976077244559735,0.18598476,0.35941264
Hexb,-3.241958,-0.711008,0.0011871157940122798,0.018406117360132694,0.6742857142857143,0.6793486093096988,0.62118536,0.87947285
Plcb4,-3.2698896,-1.4969196,0.0010758945539622467,0.01698547982665427,0.21714285714285714,0.3321083729644041,0.12369565,0.3159981
Slc1a2,-3.27976,-0.6786929,0.0010389550360655345,0.01649924457392489,0.8057142857142857,0.7302565211125522,0.9036907,1.2092354
Ptchd4,-3.306234,-0.98612964,0.000945591329011732,0.015232637296489951,0.4,0.4699524427150886,0.34400705,0.59515923
Adamts20,-3.307781,-1.3790952,0.0009403834410652542,0.015166928608297348,0.2057142857142857,0.32605562761204787,0.08913028,0.21710773
Pantr1,-3.3152435,-1.1238445,0.0009156332832283647,0.014856924106489226,0.2571428571428571,0.369361579478311,0.15768495,0.3164248
Ptn,-3.3156197,-0.9551639,0.0009144017647452684,0.014845906597405053,0.5885714285714285,0.6015636258826921,0.4822418,0.78912723
Onecut2,-3.316085,-1.7329774,0.0009128798857071092,0.014830158723669907,0.11428571428571428,0.24520824326271798,0.051188387,0.16091706
Acss1,-3.3216527,-2.4773679,0.0008948598245547618,0.014625841536366454,0.09142857142857143,0.2271220636979392,0.03587968,0.18517998
Satb1,-3.327225,-1.1172783,0.0008771551503996456,0.014441813736088435,0.41714285714285715,0.466097420377576,0.25578144,0.48999393
Wipf3,-3.3335779,-0.8970793,0.0008573667673484872,0.014176889254556216,0.5142857142857142,0.5292189076235769,0.35687438,0.58704007
Cpne4,-3.3407865,-0.88515437,0.0008354143782123201,0.013894361062069299,0.52,0.5456117596195417,0.4921611,0.7767486
Tmcc3,-3.3539248,-1.1358118,0.0007967401818375877,0.013430620254690077,0.41714285714285715,0.487173944372388,0.2857113,0.54621494
Dpf3,-3.354315,-1.7149976,0.0007956171354237299,0.013420108241579173,0.16,0.2873252630061969,0.08719478,0.26167786
Stox2,-3.355486,-0.41589022,0.0007922568049177682,0.013371821826721376,0.7885714285714286,0.7476581640005765,0.8897496,1.0694687
Adarb2,-3.4178245,-1.0233088,0.0006312377211275583,0.011107634293842495,0.5142857142857142,0.5826487966565788,0.6794552,1.0910128
Slc4a4,-3.432745,-1.1398948,0.0005975036336128495,0.01063944508626724,0.4514285714285714,0.50810635538262,0.42395413,0.77173173
