names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lymphoid NN (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90ab1,5.870969,2.109098,4.332551923561934e-09,3.1894704160577853e-07,0.8292682926829268,0.8093223377554679,2.3519826,1.1642457
Arhgap15,5.823742,4.2640514,5.754435632648206e-09,3.9850949858056005e-07,0.6585365853658537,0.3789171746145572,2.1401587,0.32958442
Dock2,5.5930247,4.81462,2.2314720189492525e-08,1.2312043767795979e-06,0.5609756097560976,0.0986733596271065,1.5396125,0.12235627
Tmsb4x,5.574553,2.5262678,2.4816645503655977e-08,1.3444017433129762e-06,0.7804878048780488,0.7215130871280029,2.5017285,1.0800412
Ptprc,5.539421,5.6138325,3.034733560037977e-08,1.5988880540827538e-06,0.5365853658536586,0.07264252420222302,1.6461418,0.0820404
Actb,4.894516,2.4272053,9.85480173590049e-07,2.9819653450861052e-05,0.7073170731707317,0.6836500537827178,2.098263,0.8457571
Hspa8,4.8441777,2.2417605,1.2713694865573789e-06,3.729443024431962e-05,0.7317073170731707,0.6712083183936894,1.9828786,0.8434193
Camk1d,4.5148783,0.6612768,6.335312888498963e-06,0.0001413869246793747,0.8048780487804879,0.9542129795625672,2.7454972,2.3237894
Lars2,4.419378,1.4548703,9.898549508194404e-06,0.0002044381439547914,0.7317073170731707,0.797346719254213,1.9598955,1.170835
Rplp1,4.2947927,2.1345954,1.748565486866252e-05,0.00032971196233049963,0.6829268292682927,0.6538544281104338,1.8728597,0.8127448
Cmah,4.0964456,6.4815373,4.195422411294354e-05,0.0006975928229670748,0.3902439024390244,0.033130154177124414,0.93290645,0.017107828
Cd53,4.0844183,5.50461,4.418737738872524e-05,0.0007253597650649487,0.3902439024390244,0.03180351380423091,0.886082,0.030918334
B2m,4.061963,4.047207,4.86618061820254e-05,0.000782491162244777,0.43902439024390244,0.11427034779490856,0.9827093,0.09632487
Ikzf3,4.0349236,10.123778,5.462009232707933e-05,0.0008643356188625569,0.36585365853658536,0.0026891358910003586,0.973044,0.0014741609
