names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lymphoid NN (for_DEGs),mean_expr_Rest (for_DEGs)
Igf2bp3,-2.6992238,-27.404306,0.006950141780139511,0.049893216572895714,0.0,0.2435640014342058,0.0,0.16350482
Snx18,-2.6996212,-27.374762,0.006941847263373997,0.04984698983614626,0.0,0.24359985657941916,0.0,0.16044231
Dleu2,-2.699718,-0.50752944,0.006939825559815265,0.0498457933152195,0.2682926829268293,0.6567586948727142,0.6292339,0.80896425
Ywhae,-2.700406,-0.4594717,0.006925486666051686,0.04975610340021625,0.2926829268292683,0.6870921477231983,0.61187583,0.7702829
9530052E02Rik,-2.700852,-1.614317,0.006916210891085229,0.049702751175036135,0.024390243902439025,0.2747221226245966,0.056602284,0.16406882
Zfp788,-2.7012105,-27.120827,0.006908758042016875,0.04966247420786341,0.0,0.2437432771602725,0.0,0.13622761
Ptdss1,-2.7012203,-0.4297387,0.006908556713832706,0.04966247420786341,0.07317073170731707,0.3411975618501255,0.16390038,0.21502654
Metap1,-2.7021604,-1.3053768,0.00688905291258189,0.04954733719514866,0.024390243902439025,0.2749013983506633,0.06906606,0.16273828
Tgfbr1,-2.7022378,-1.970497,0.006887446561901602,0.04954733719514866,0.04878048780487805,0.3026174256005737,0.10283443,0.35379395
Etnk1,-2.7024996,-0.7225797,0.006882027612412466,0.04952332135659426,0.3170731707317073,0.7440301183219792,0.73027515,1.0206375
Cebpz,-2.7025964,-0.7206948,0.006880021566347137,0.049522148268884965,0.04878048780487805,0.3073503047687343,0.12502882,0.19842353
Ugdh,-2.7028,-27.244999,0.006875810579521531,0.049507985987736126,0.0,0.24388669774112584,0.0,0.14760968
Arih1,-2.704438,-0.81788576,0.006842006374608784,0.049301343868527234,0.3170731707317073,0.754392255288634,0.6975389,1.021852
Dctn2,-2.7044864,-0.61747175,0.0068410085285452865,0.049301343868527234,0.04878048780487805,0.307637145930441,0.13162847,0.19543199
Zbtb37,-2.704554,-1.2542775,0.006839611763734127,0.049301343868527234,0.04878048780487805,0.3067407673001076,0.0866276,0.19545421
Hdac1,-2.7046897,-0.8981677,0.006836819002833096,0.049301343868527234,0.04878048780487805,0.307314449623521,0.11377564,0.20259582
Wdr1,-2.7047188,-1.5609297,0.006836220687394069,0.049301343868527234,0.024390243902439025,0.27500896378630335,0.06281343,0.1750213
Arglu1,-2.70532,-0.6135473,0.006823866030704941,0.04923664883056976,0.2682926829268293,0.6688418788096092,0.53647196,0.7353705
Prkacb,-2.705659,-0.34531766,0.00681690049105293,0.04919960144899066,0.24390243902439024,0.6266403728935103,0.55472267,0.66370267
Ufd1,-2.7057269,-0.5698729,0.006815508150065412,0.04919960144899066,0.07317073170731707,0.3412334169953388,0.15252873,0.21880768
Stk38l,-2.706376,-27.19566,0.0068021943808046865,0.04914165964989044,0.0,0.2442093940480459,0.0,0.14298491
Pag1,-2.706599,-0.48865834,0.006797629373916776,0.0491264930815341,0.12195121951219512,0.4091072068841879,0.27101102,0.36240646
Idh3b,-2.7080624,-0.37192228,0.0067677274200841275,0.04893671576363308,0.07317073170731707,0.3416636787378989,0.19253145,0.24275124
Gm39469,-2.7100687,-0.7447452,0.006726928111767065,0.04865479363746461,0.07317073170731707,0.34069558981713877,0.1321283,0.21244437
Ccdc174,-2.7103498,-27.191557,0.006721229957142457,0.04862666907604142,0.0,0.24456794550017927,0.0,0.14260657
Pdlim7,-2.7104368,-1.2789804,0.006719462446699248,0.04862666907604142,0.024390243902439025,0.2756543564001434,0.067853995,0.15732372
Onecut2,-2.7123365,-27.37498,0.006681073479473873,0.048362188683583766,0.0,0.24474722122624595,0.0,0.16046514
Pdss2,-2.7138872,-0.54243666,0.006649881841264954,0.04816235177218041,0.24390243902439024,0.6224453209035496,0.48021692,0.6406866
Dtx4,-2.7143233,-27.259035,0.006641132814350607,0.048111954360097284,0.0,0.24492649695231267,0.0,0.14895023
Nop56,-2.714333,-0.70603454,0.006640938509133138,0.048111954360097284,0.07317073170731707,0.3414126927214055,0.14387316,0.22508287
Odf2l,-2.7153409,-1.7358012,0.006620758652691384,0.04799023064413744,0.024390243902439025,0.2760129078522768,0.052009344,0.16365568
Rcn2,-2.7157965,-0.456019,0.006611657012467344,0.0479371894023199,0.0975609756097561,0.3764790247400502,0.2136845,0.28276685
Cpped1,-2.7158835,-0.8112795,0.006609915429203653,0.0479371894023199,0.04878048780487805,0.3086769451416278,0.11781311,0.19836313
Trub1,-2.7159126,-27.104435,0.006609334993123299,0.0479371894023199,0.0,0.245069917533166,0.0,0.13478784
Tmem214,-2.7159126,-27.12347,0.006609334993123299,0.0479371894023199,0.0,0.245069917533166,0.0,0.13646096
Smarca2,-2.716029,-0.34900668,0.006607013707089451,0.0479371894023199,0.2682926829268293,0.6798135532448907,0.6970203,0.8257407
Dcaf13,-2.7164068,-0.5803825,0.006599474589483628,0.04791350505793707,0.07317073170731707,0.342631767658659,0.14671281,0.21210785
Azi2,-2.7164845,-0.4985072,0.006597929060312577,0.04791350505793707,0.07317073170731707,0.34209394048045894,0.16071603,0.22019158
Wscd1,-2.7171047,-27.612503,0.006585576539188422,0.0478513903753361,0.0,0.24517748296880604,0.0,0.18665129
Csnk1e,-2.7171047,-27.312672,0.006585576539188422,0.0478513903753361,0.0,0.24517748296880604,0.0,0.15417872
Abcc1,-2.7182095,-1.0191358,0.006563625114779204,0.047717696654252496,0.04878048780487805,0.3077805665112944,0.09858848,0.19061296
Ppp2r5c,-2.7186167,-0.29055583,0.006555554350006162,0.047684825496660956,0.24390243902439024,0.6358192900681248,0.5696231,0.6621013
Tns3,-2.7194405,-2.2768624,0.006539247962834446,0.047579093626147186,0.024390243902439025,0.27586948727142346,0.061929934,0.2697337
Cald1,-2.720681,-27.696424,0.006514761286667542,0.047419329181584924,0.0,0.24550017927572607,0.0,0.19679767
Plcb4,-2.7208264,-1.8073567,0.006511897159710556,0.047418611566781205,0.07317073170731707,0.3317676586590176,0.10059695,0.31510803
Mrs2,-2.7208457,-0.9391087,0.006511515361701989,0.047418611566781205,0.04878048780487805,0.3088562208676945,0.1011988,0.1858078
Mtmr3,-2.7210298,-0.32896048,0.006507889284719112,0.04741512610639982,0.2682926829268293,0.684940839010398,0.65661395,0.77287376
Zdhhc23,-2.7218924,-0.79170936,0.006490928145486445,0.04730437734451337,0.04878048780487805,0.30917891717461454,0.11934436,0.19838633
Gm32647,-2.7221735,-1.3252095,0.0064854100775744924,0.04728981513824331,0.12195121951219512,0.39128719971315884,0.25331572,0.54369915
Zfp60,-2.7225127,-1.7929693,0.006478755960361928,0.0472541185273955,0.024390243902439025,0.2765865901756902,0.0500081,0.16356148
Nap1l4,-2.7230165,-0.9065431,0.006468881183584685,0.0471949056212111,0.07317073170731707,0.3412692721405522,0.1311918,0.23332137
Zfp711,-2.7230651,-27.186214,0.006467932399721725,0.0471949056212111,0.0,0.2457153101470061,0.0,0.14211528
Jdp2,-2.7234623,-27.133959,0.00646015709281477,0.047156865276808714,0.0,0.24575116529221944,0.0,0.13739143
Riok2,-2.724257,-27.184532,0.006444631700272062,0.047056318963671274,0.0,0.24582287558264612,0.0,0.14196087
Arid1a,-2.7248967,-0.30616763,0.006432160043567321,0.04697802130216198,0.21951219512195122,0.5789530297597705,0.45761573,0.5408681
Mcm3ap,-2.7250614,-1.1859732,0.006428951166022286,0.04696735123192464,0.04878048780487805,0.30889207601290786,0.08834784,0.19074683
Enc1,-2.7253618,-0.27521887,0.0064231033911273565,0.046937391384169726,0.14634146341463414,0.4496593761204733,0.3522286,0.41275734
Zfp326,-2.725449,-0.307619,0.006421406546660467,0.046937391384169726,0.12195121951219512,0.41527429186088205,0.25140017,0.30288193
Gtdc1,-2.7258756,-0.84869707,0.006413116667064642,0.046902679598265364,0.3170731707317073,0.7305127285765507,0.73771507,1.0868863
