"celltype","original","filtered","pct_retained","n_weak","n_fdr"
"Astrocytes_Emx1",105,10,9.52380952380952,95,0
"Astrocytes_Nestin",1279,37,2.89288506645817,1242,0
"CA1_Emx1",233,4,1.71673819742489,229,0
"CA1_Nestin",4120,51,1.2378640776699,4069,0
"CA3_Nestin",123,23,18.6991869918699,100,0
"CTX_Emx1",247,2,0.809716599190283,245,0
"CTX_Nestin",909,33,3.63036303630363,876,0
"ENT CTX_Emx1",291,8,2.74914089347079,283,0
"ENT CTX_Nestin",766,13,1.69712793733681,753,0
"Immature GC_Nestin",241,54,22.4066390041494,187,0
"Mature GC_Emx1",233,6,2.57510729613734,227,0
"Mature GC_Nestin",1035,12,1.15942028985507,1023,0
"Microglia_Nestin",503,2,0.397614314115308,501,0
"MOL_Nestin",397,2,0.503778337531486,395,0
"NFOL_Nestin",51,27,52.9411764705882,24,0
"OPC_Nestin",1319,43,3.26004548900682,1276,0
"PV_Nestin",11,4,36.3636363636364,7,0
"rest_Emx1",5,2,40,3,0
"rest_Nestin",308,12,3.8961038961039,296,0
"SST_Nestin",95,42,44.2105263157895,53,0
