leiden_0.4,reason
21,"Low cell count (Emx1_Control=5, Nestin_Control=71)"
19,"Low cell count (Emx1_Control=29, Nestin_Control=77)"
12,"Low cell count (Emx1_Control=41, Nestin_Control=331)"
18,"Low cell count (Emx1_Control=44, Nestin_Control=103)"
20,"Low cell count (Emx1_Control=19, Nestin_Control=22)"
16,"Low cell count (Emx1_Control=39, Nestin_Control=254)"
26,"Low cell count (Emx1_Control=14, Nestin_Control=4)"
23,"Low cell count (Emx1_Control=21, Nestin_Control=23)"
24,"Low cell count (Emx1_Control=11, Nestin_Control=4)"
22,"Low cell count (Emx1_Control=2, Nestin_Control=32)"
25,"Low cell count (Emx1_Control=0, Nestin_Control=40)"
