leiden_0.4,reason
21,"Low cell count (Emx1_Mutant=9, Nestin_Mutant=51)"
8,"Low cell count (Emx1_Mutant=32, Nestin_Mutant=671)"
19,"Low cell count (Emx1_Mutant=44, Nestin_Mutant=115)"
18,"Low cell count (Emx1_Mutant=86, Nestin_Mutant=35)"
15,"Low cell count (Emx1_Mutant=32, Nestin_Mutant=117)"
17,"Low cell count (Emx1_Mutant=66, Nestin_Mutant=34)"
26,"Low cell count (Emx1_Mutant=6, Nestin_Mutant=11)"
23,"Low cell count (Emx1_Mutant=10, Nestin_Mutant=21)"
24,"Low cell count (Emx1_Mutant=15, Nestin_Mutant=17)"
22,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=39)"
25,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
