names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_RHP-COA Ndnf Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Ston2,-2.897511,-1.6269146,0.003761365011927781,0.049616042155375295,0.12322274881516587,0.2321067821067821,0.062040173,0.18038721
Mef2a,-2.910958,-0.35342455,0.00360322429131968,0.04774094512216953,0.7867298578199052,0.7497113997113997,0.8849647,1.0359837
Rasgef1a,-2.919254,-0.33018896,0.0035087000413618528,0.046742077397815066,0.6587677725118484,0.6260461760461761,0.5912129,0.6998789
Rap1gap2,-2.9351609,-0.53040063,0.003333748089908105,0.04483373932724263,0.4597156398104265,0.5175324675324675,0.35581732,0.48071545
Zfyve28,-2.9388032,-0.55973375,0.0032948211665453195,0.04435463163580798,0.46445497630331756,0.5097402597402597,0.32397348,0.44722667
Dpy19l3,-2.943954,-0.93448305,0.0032404804564301723,0.043688765611780596,0.1990521327014218,0.31093073593073595,0.1144422,0.20841916
Tub,-2.9473865,-0.55995417,0.0032047231264439105,0.043315347287498925,0.4265402843601896,0.4950937950937951,0.2895562,0.4021899
Chrm1,-2.950322,-0.7187249,0.003174429772260997,0.04297074457463627,0.3412322274881517,0.42947330447330445,0.20716467,0.32123038
Ptpn14,-2.9529488,-2.7023091,0.0031475420709026376,0.04272326638007892,0.04265402843601896,0.15797258297258296,0.014663563,0.09179475
Sox6,-2.9562569,-1.4354753,0.0031139756393198906,0.04238729758283965,0.2132701421800948,0.31046176046176044,0.2028839,0.47522268
Slc9a2,-2.957324,-2.0945003,0.0031032189715444014,0.0422866575286516,0.052132701421800945,0.16890331890331892,0.024871865,0.10215427
Sh3rf1,-2.970501,-0.5911524,0.0029731447277258133,0.04080102085495026,0.5402843601895735,0.5565295815295815,0.46090838,0.6323595
Vwc2l,-2.971838,-1.2069967,0.002960228852046783,0.0407486420361153,0.20853080568720378,0.31143578643578645,0.17235114,0.36062765
Col23a1,-2.9749405,-1.6435671,0.002930454411810851,0.04037581450732903,0.12796208530805686,0.23575036075036074,0.065764956,0.19258673
Asxl3,-2.9765687,-0.6186075,0.0029149365498501918,0.040228220387506244,0.4976303317535545,0.5338744588744588,0.3472681,0.4931643
Vipr1,-2.9787328,-1.8922122,0.002894430188389167,0.03998629262828633,0.061611374407582936,0.1786075036075036,0.024805289,0.08913651
Rtn4,-2.9797056,-0.36058503,0.002885255447227734,0.03990057327174947,0.8483412322274881,0.807936507936508,1.0273538,1.1948203
Zswim6,-2.9799626,-0.34222993,0.0028828348452839825,0.03988762733922792,0.7630331753554502,0.7131673881673881,0.85544366,0.99860096
Rab40b,-2.9856663,-0.6662615,0.002829612264256301,0.039252287837153746,0.36018957345971564,0.4476911976911977,0.23087427,0.34510154
Fzd3,-2.9909885,-0.6791118,0.002780759319805519,0.038674432154852126,0.41706161137440756,0.4875541125541126,0.2715039,0.40510356
