names,scores,logfoldchanges,pvals,pvals_adj
Grik4,12.8438635,1.2824346,1.600433530269881e-33,2.4027079956580256e-30
Lhx9,12.4359045,2.5550385,3.899133885369259e-30,3.7250907273950495e-27
Kcnq1ot1,12.179826,0.8514533,7.402560664136041e-31,8.387427959994611e-28
Nkain2,11.790239,0.44006827,2.0146432358995506e-29,1.628606597389875e-26
Clstn2,11.702863,0.6086038,2.5999716605443616e-29,1.951650155761478e-26
Frmpd4,11.259882,0.77827096,1.9141976495937625e-27,1.257268943723803e-24
Ryr2,11.199277,0.40825084,5.555763772000844e-27,3.4344424399974626e-24
Meg3,10.612131,0.525289,1.7968543571186127e-24,9.44157121947975e-22
Prkg1,10.398702,0.5723646,8.703493680930645e-24,4.355476909185722e-21
Eml6,10.153578,0.76264995,1.2124599419120004e-22,5.539887621544875e-20
Cntn5,10.151611,0.6119967,8.777561991066628e-23,4.192881771096327e-20
Sntg1,10.04401,0.53316575,3.0343679423580745e-22,1.2264681810092694e-19
Dlgap2,9.580475,0.4326794,1.6359250690015418e-20,4.524193828983474e-18
Snhg14,9.488472,0.46983397,3.556159821333884e-20,9.342920890599448e-18
Gria3,9.415545,0.50500333,5.2799134179532836e-20,1.35333195388466e-17
Cacna1c,9.362419,0.4283542,1.2052193558947652e-19,2.878556866158656e-17
Tenm4,9.018076,1.4437833,4.637624429162271e-18,9.372460601166596e-16
Dab1,8.772049,0.26722598,1.6647020457435824e-17,3.1807915997671467e-15
Rbfox1,8.243382,0.27139875,8.288279130072833e-16,1.2623409475063103e-13
Synpr,8.230159,0.5193279,1.0139684231445152e-15,1.522256308403673e-13
Dscaml1,8.181645,0.67180264,1.5732554097589674e-15,2.2342352839401335e-13
Rbfox3,8.16219,0.5406908,1.6500227185313775e-15,2.312011833206166e-13
Csmd2,8.132662,0.70683956,2.2573694580661197e-15,3.0808695629632273e-13
Ptprs,7.993325,0.6772698,5.812924906298767e-15,7.021612395436062e-13
Otud7a,7.794263,0.55543023,2.5035073640643026e-14,2.8597129227121475e-12
Mir99ahg,7.7649765,0.56358457,3.073952298812432e-14,3.473566097658048e-12
Dennd1b,7.7313313,0.8869127,4.762569199567844e-14,5.10712650186311e-12
