group,Astro,Astro|Oligo,CA1-ProS,CA1-ProS|Oligo,CA3,CA3|Oligo,CT SUB,Car3,DG,DG|Lamp5,DG|Oligo,DG|Vip,Endo,L2 IT ENTl,L2 IT ENTm,L2/3 IT CTX,L2/3 IT ENTl,L2/3 IT PPP,L2/3 IT RHP,L3 IT ENT,L3 IT ENT|Oligo,L4/5 IT CTX,L5 PPP,L5 PT CTX,L5/6 NP CTX,L6 CT CTX,L6 IT CTX,L6 IT ENTl,L6b CTX,L6b/CT ENT,Lamp5,Micro-PVM,NP SUB,Oligo,Oligo|SUB-ProS,Oligo|Sst,Oligo|Vip,Pvalb,SUB-ProS,Sncg,Sst,Unassigned,VLMC,Vip
Control_Emx1,0.03297702979304071,0.0009097111667045713,0.08028201046167842,0.0040937002501705705,0.03570616329315442,0.003866272458494428,0.0040937002501705705,0.0047759836251989995,0.171935410507164,0.004321128041846714,0.006822833750284285,0.0009097111667045713,0.005230839208551285,0.007050261541960427,0.003866272458494428,0.005458267000227428,0.012735956333863999,0.008187400500341141,0.002729133500113714,0.0022742779167614284,0.00022742779167614282,0.01296338412554014,0.0,0.0031839890834659997,0.0015919945417329998,0.007050261541960427,0.002501705708437571,0.002501705708437571,0.003638844666818285,0.010689106208778713,0.007732544916988856,0.010234250625426428,0.003638844666818285,0.04980668637707528,0.00045485558335228563,0.00045485558335228563,0.0009097111667045713,0.01933136229247214,0.015465089833977713,0.013873095292244713,0.014100523083920855,0.40800545826700024,0.006140550375255857,0.00727768933363657
Control_Nestin,0.05260033246259796,0.004868202327238186,0.0419140346710995,0.0068867252434101165,0.012823557349798148,0.0024934694846829733,0.003562099263832819,0.004986938969365947,0.16148183329375446,0.003205889337449537,0.018760389456186178,0.0020185229161719304,0.006293042032771313,0.007124198527665638,0.0016623129897886488,0.005580622180004749,0.0015435763476608882,0.008549038233198766,0.001306103063405367,0.005461885537876989,0.0011873664212776064,0.009736404654476371,0.0,0.0020185229161719304,0.0005936832106388032,0.004511992400854904,0.0020185229161719304,0.0021372595582996915,0.004155782474471622,0.009380194728093089,0.006530515317026834,0.04500118736642128,0.007361671811921159,0.15554500118736642,0.0008311564948943244,0.000949893137022085,0.00189978627404417,0.009855141296604131,0.007955355022559962,0.004511992400854904,0.009261458085965329,0.35205414390881024,0.005461885537876989,0.003918309190216101
Mutant_Emx1,0.03649760109664153,0.0025702535983550376,0.08344756682659356,0.001199451679232351,0.04849211788896504,0.0015421521590130226,0.009766963673749143,0.00205620287868403,0.06973954763536669,0.0025702535983550376,0.0039410555174777245,0.0029129540781357094,0.0065113091158327625,0.008053461274845785,0.013365318711446196,0.01490747087045922,0.004626456477039068,0.03666895133653187,0.002398903358464702,0.02467443454420836,0.0008567511994516792,0.016792323509252912,0.001028101439342015,0.0029129540781357094,0.00205620287868403,0.004797806716929404,0.0025702535983550376,0.0032556545579163812,0.007196710075394105,0.01405071967100754,0.01285126799177519,0.004455106237148732,0.006854009595613434,0.053803975325565453,0.0008567511994516792,0.001199451679232351,0.001199451679232351,0.027758738862234407,0.021761480466072652,0.019705277587388624,0.022446881425633995,0.3778272789581905,0.009424263193968472,0.008396161754626456
Mutant_Nestin,0.016433678369437626,0.001493970760857966,0.07651264539536869,0.005975883043431864,0.026144488315014407,0.0030946537189200725,0.005655746451819443,0.003414790310532494,0.09945576779425888,0.0025610927328993706,0.00725642940988155,0.0022409561412869493,0.0013872585636538256,0.006509444029452567,0.007789990395902251,0.01984846867997012,0.0019208195496745277,0.030946537189200724,0.0023476683384910896,0.016006829580621065,0.001493970760857966,0.01963504428556184,0.0003201365916124213,0.0040550634937573365,0.003521502507736634,0.007576566001493971,0.0044819122825738985,0.0020275317468786682,0.007043005015473268,0.015153132002987941,0.013125600256109274,0.06509444029452567,0.008857112367943657,0.14704940774730552,0.0003201365916124213,0.002667804930103511,0.0019208195496745277,0.016113541777825206,0.013339024650517554,0.006082595240636005,0.018674634510724576,0.29047060078967024,0.0018141073524703874,0.01216519048127201
