names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Wdfy1,5.997418,0.28147045,2.0047971990415664e-09,5.8327195883820415e-09,0.4203935599284436,0.18522336,0.22100133
Zcchc8,5.9947166,0.30687928,2.038404901675995e-09,5.928775232313717e-09,0.43738819320214667,0.19316725,0.23395924
Tmem19,5.989419,0.36994565,2.1059215376881724e-09,6.1233718557394554e-09,0.37768336314847945,0.14670736,0.18581817
Rbmx,5.989262,0.2686226,2.107951892968724e-09,6.12749684035627e-09,0.47048300536672627,0.2267631,0.2674473
Deaf1,5.9867907,0.27368838,2.140217014211307e-09,6.219481819366018e-09,0.448345259391771,0.20592031,0.24405944
Slc4a1ap,5.984811,0.3842596,2.166416757360693e-09,6.2919677177390725e-09,0.4083184257602862,0.1684778,0.21471186
Gcnt2,5.982282,0.3757353,2.200329608789692e-09,6.3867579516796135e-09,0.38483899821109124,0.16629438,0.21086404
Foxo6,5.981843,0.86404705,2.206267738870443e-09,6.402139032521793e-09,0.19387298747763865,0.049729776,0.088746324
Armc2,5.980631,0.53693503,2.222749502839401e-09,6.4480978192708605e-09,0.33788014311270126,0.11953764,0.16909035
Pdpr,5.97433,0.33219135,2.3103773312472713e-09,6.698422496991004e-09,0.45214669051878353,0.20660299,0.2538015
Pak3,5.969628,0.37803355,2.3779547582903295e-09,6.888366921282311e-09,0.9123434704830053,1.1735175,1.3615879
Grk4,5.9691367,0.47914657,2.3851228990195422e-09,6.907133876692325e-09,0.356216457960644,0.14024213,0.19050266
Hnrnpul1,5.9667125,0.2807609,2.420815543525333e-09,7.004646286660361e-09,0.4481216457960644,0.20640732,0.24569197
Dusp22,5.9547377,0.39042655,2.604897083625663e-09,7.528347976537295e-09,0.4011627906976744,0.16458674,0.21067116
Kcnmb2,5.9522085,0.48462084,2.645477538793991e-09,7.639016577140215e-09,0.3137298747763864,0.19383535,0.26181626
Nup205,5.945981,0.33000574,2.748062598209111e-09,7.93295188653045e-09,0.4277728085867621,0.18419617,0.22652504
Pmepa1,5.9435253,0.3462592,2.789567437202478e-09,8.050445698201447e-09,0.35800536672629696,0.15717529,0.19587031
Cfap300,5.938896,0.43868068,2.8694748243165895e-09,8.276282555479204e-09,0.3995974955277281,0.1611322,0.21266678
Gm26618,5.9376683,0.38764843,2.891040491195841e-09,8.336083074354848e-09,0.40608228980322003,0.17108154,0.21841617
Gm15997,5.9256673,0.88338625,3.1103174992113793e-09,8.952888042988616e-09,0.23881932021466906,0.06571587,0.11804778
Clk2,5.9254427,0.53913283,3.114573000366117e-09,8.962561834147485e-09,0.3694096601073345,0.13243204,0.18711066
Ammecr1l,5.923567,0.3635337,3.150323418706787e-09,9.060232467753627e-09,0.44633273703041143,0.19344828,0.24262343
Niban2,5.9188123,0.8811151,3.2427436457974347e-09,9.323353358195437e-09,0.21288014311270126,0.054090455,0.09745993
Fyb2,5.917851,0.41714963,3.261749068459383e-09,9.375305715568908e-09,0.2627459749552773,0.1151997,0.15103328
4930549G23Rik,5.910521,0.5742537,3.410274910318802e-09,9.793785486428738e-09,0.2842128801431127,0.089307584,0.13022889
Cars2,5.90968,0.619532,3.4277342622146053e-09,9.84110464448372e-09,0.2900268336314848,0.09072392,0.13619435
Whamm,5.903499,0.6063551,3.5587184992637987e-09,1.0211309999176589e-08,0.3311717352415027,0.10989155,0.16283153
Lrrc45,5.903123,0.5921069,3.5668458890336595e-09,1.023169967653212e-08,0.32021466905187834,0.10500972,0.15435614
Grid2,5.902909,0.36876333,3.5714820572280415e-09,1.0242065779345346e-08,0.9206171735241503,1.6608034,1.8726134
Crebzf,5.901644,0.3670338,3.5989664919846436e-09,1.0314977782606631e-08,0.41793381037567084,0.1736081,0.2187445
Fam168b,5.8972135,0.2736922,3.696909967538481e-09,1.0586605816132925e-08,0.403175313059034,0.18010473,0.21395506
Rere,5.896252,0.43768173,3.7185019088081005e-09,1.0642352463008784e-08,0.9452146690518783,1.5494927,1.795698
Med23,5.89329,0.2998678,3.78581275798452e-09,1.0831901284413294e-08,0.4599731663685152,0.20823285,0.25074622
Fam20b,5.8888073,0.31705835,3.8899301435331355e-09,1.1123445688772886e-08,0.4208407871198569,0.18674499,0.22776076
Mkx,5.886435,0.4684198,3.946144759620841e-09,1.127775522314464e-08,0.3208855098389982,0.16209798,0.2179127
Angpt1,5.8862104,0.6232837,3.951509860318537e-09,1.1289867162239243e-08,0.3081395348837209,0.21279435,0.31135228
Tdp1,5.881832,0.39402315,4.057495591675503e-09,1.158276812248889e-08,0.3957960644007156,0.1551324,0.19927257
Gm26953,5.880134,1.2466742,4.099340104693094e-09,1.1698885991085674e-08,0.1744186046511628,0.030453794,0.070809424
Trit1,5.878614,0.2812457,4.137163217147053e-09,1.1803464524683006e-08,0.4458855098389982,0.20300636,0.24179067
Mylip,5.8736506,0.3914108,4.26302010301988e-09,1.2145242426606978e-08,0.3935599284436494,0.17497204,0.22379072
Ip6k2,5.871289,0.25324833,4.324202140067928e-09,1.2309045989502821e-08,0.43783542039355994,0.19734614,0.23113436
Prkar2a,5.863854,0.25421172,4.522449479290093e-09,1.2862401031813987e-08,0.4420840787119857,0.2156809,0.25238127
Nrcam,5.8612,0.42287385,4.595342502319081e-09,1.3066007903982468e-08,0.9546064400715564,1.8467702,2.0989833
Alas1,5.8568845,0.5086341,4.716312958766469e-09,1.3405728661059644e-08,0.33989266547406083,0.12073557,0.16769034
Spns2,5.855228,0.35541284,4.763556756816157e-09,1.3528933380501118e-08,0.4009391771019678,0.17405348,0.21771233
Evi5l,5.853013,0.2776612,4.827467663005292e-09,1.3706559971747168e-08,0.48546511627906974,0.24128766,0.2857817
