names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-out Frmd7 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Mark4,-3.0565948,-2.4134796,0.002238667249329903,0.04983677629618433,0.03636363636363636,0.2821064715167169,0.03334695,0.16606866
Hacd3,-3.0579338,-0.93535346,0.0022286873218759604,0.04965574489121646,0.2545454545454545,0.5595135600516573,0.29001874,0.49677825
Kbtbd11,-3.0589383,-2.7161129,0.002221229149534648,0.04953064501908381,0.03636363636363636,0.2791289998565074,0.03246304,0.19623685
Ngef,-3.059022,-2.2214055,0.0022206086687555546,0.04953064501908381,0.05454545454545454,0.29792653178361317,0.04693604,0.2022085
Chmp3,-3.0602942,-1.01932,0.002211196896524334,0.04938891156243462,0.12727272727272726,0.4002008896541828,0.15242468,0.28799385
Tbc1d15,-3.0605285,-0.80735165,0.0022094671417368698,0.04938891156243462,0.07272727272727272,0.3326517434352131,0.12493715,0.20935638
Eif2a,-3.0617003,-1.3636061,0.0022008369551149293,0.049275180663143625,0.09090909090909091,0.35274070885349407,0.09757301,0.2340759
Sptbn4,-3.0632153,-0.78968257,0.0021897251505140812,0.04907248940309705,0.36363636363636365,0.6381475104032143,0.48613954,0.7334309
Pid1,-3.0636337,-0.910817,0.002186664668920133,0.04904480772444404,0.2909090909090909,0.5882838283828383,0.46982938,0.75496715
Ube2d3,-3.0636587,-0.7727858,0.002186481164766937,0.04904480772444404,0.2727272727272727,0.5882838283828383,0.35690582,0.5497438
Man1c1,-3.0647888,-1.5794132,0.00217823807295427,0.04893750586980037,0.07272727272727272,0.3282393456736978,0.087476976,0.24153247
Dnajc18,-3.0657346,-0.7221909,0.002171360212272004,0.04886469757432894,0.14545454545454545,0.4288276653752332,0.20307395,0.31586668
Hnrnpdl,-3.0676513,-0.96962637,0.002157482908285908,0.04859309785887875,0.2545454545454545,0.5518725785622041,0.27468887,0.4818509
Cacna1h,-3.0690656,-27.126608,0.002147293776829812,0.04840418102635658,0.0,0.23916630793514135,0.0,0.13673888
Ugp2,-3.072129,-1.3270658,0.0021253784437275927,0.04795039360450077,0.10909090909090909,0.36152963122399195,0.12463349,0.28744498
Fam171a2,-3.074347,-4.5160894,0.0021096390051637444,0.04767535750105115,0.01818181818181818,0.2564212943033434,0.0068728016,0.1465213
Gm10754,-3.0767324,-1.9916118,0.002092831039350429,0.04733532830584683,0.07272727272727272,0.32138757353996267,0.09437718,0.33189225
Kndc1,-3.0773351,-1.4876542,0.0020886042951181005,0.04731939073340924,0.10909090909090909,0.36554742430764814,0.112518765,0.28816438
Acss2,-3.078055,-0.92732066,0.0020835659460817454,0.04724507761284093,0.14545454545454545,0.4327378390012914,0.18452288,0.32597205
Cnksr2,-3.0795615,-0.4465396,0.002073056631283575,0.047046479461646674,0.8727272727272727,0.8612785191562634,1.9485328,2.2193768
Ppip5k1,-3.0796952,-0.8769445,0.0020721248271317817,0.047046479461646674,0.18181818181818182,0.47417133017649593,0.21454285,0.36426836
Kit,-3.0813441,-4.996256,0.002060683433230406,0.046861931502250306,0.01818181818181818,0.2556320849476252,0.0068728016,0.19894533
Diaph1,-3.0825493,-1.114157,0.002052356877519269,0.04673460110079895,0.12727272727272726,0.39636246233318984,0.1427857,0.2868634
Runx2,-3.0840642,-0.9818505,0.0020419346448240622,0.0465367123888232,0.23636363636363636,0.5167168890802124,0.32523477,0.56480235
Galnt9,-3.0847507,-1.3661962,0.002037228972363641,0.04646888156826064,0.12727272727272726,0.38703544267470225,0.13297337,0.3123455
Vps53,-3.0848343,-0.7802451,0.002036655791076655,0.04646888156826064,0.14545454545454545,0.41555459893815466,0.18039627,0.2923113
Cd46,-3.0873034,-0.8874413,0.00201981336629742,0.04614998737449972,0.2,0.4969866551872579,0.24171723,0.40933985
Gm2824,-3.0880651,-1.3124176,0.0020146437588827075,0.04607104493717307,0.09090909090909091,0.35170038743004733,0.111588016,0.25711253
Plpp1,-3.0881822,-3.9721868,0.002013849513239521,0.04607104493717307,0.01818181818181818,0.2599727364040752,0.011083693,0.16120076
Fam234b,-3.0882409,-1.2659997,0.0020134524981822353,0.04607104493717307,0.07272727272727272,0.33318984072320273,0.0966569,0.2183789
Pstk,-3.0889354,-1.3793476,0.0020087505057278607,0.04605386185060377,0.10909090909090909,0.3678433060697374,0.098584525,0.23865214
B3glct,-3.089153,-1.752326,0.0020072796664853407,0.04605386185060377,0.07272727272727272,0.3264098148945329,0.07587937,0.2355363
Ppip5k2,-3.0925596,-0.91609627,0.001984383837283501,0.04557298607504929,0.2,0.4897761515281963,0.23187196,0.40040478
Arpp19,-3.0937731,-1.4683568,0.001976284931232416,0.04542581360326348,0.10909090909090909,0.3671258430190845,0.1037223,0.26422265
Sugp1,-3.0939908,-1.2076068,0.0019748359256542896,0.04542581360326348,0.12727272727272726,0.39686468646864687,0.12292346,0.26396558
Mapk1ip1,-3.0951123,-1.8048548,0.0019673834269019674,0.045298708381196116,0.05454545454545454,0.3081145071028842,0.056305304,0.18429527
Nkiras1,-3.0953217,-4.6748023,0.00196599589626556,0.045298708381196116,0.01818181818181818,0.2579638398622471,0.0068728016,0.16224691
Chst8,-3.0960078,-3.2422092,0.0019614510989182893,0.04523964895101668,0.01818181818181818,0.26302195436935,0.019887913,0.17401314
Dtx3,-3.0987616,-1.0727352,0.0019433132979807023,0.04485981814153048,0.10909090909090909,0.38412971731955803,0.13008252,0.25635552
