names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CEA-BST Six3 Cyp26b1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Arhgap6,5.217454,4.8653917,1.8139952475905774e-07,0.002227216538671792,0.9166666666666666,0.25498764282388336,2.1676056,0.23541783
Gabrg1,5.148234,4.406797,2.629505719428327e-07,0.002227216538671792,0.9166666666666666,0.13918836634549947,1.1668202,0.09918482
Ahi1,5.1476965,1.9824877,2.637044356600363e-07,0.002227216538671792,1.0,0.75923206418568,2.455157,1.3068696
Mei4,4.9680223,3.564447,6.763922312357016e-07,0.0028334307021542797,0.9166666666666666,0.2608617787170028,1.2882066,0.2004812
Meis2,4.9510484,3.5042706,7.381471870145128e-07,0.0028334307021542797,0.9166666666666666,0.4897381711379347,2.4720993,0.67087173
Usp29,4.91053,2.947752,9.083058792415699e-07,0.003033706537404829,0.9166666666666666,0.5593323543106845,2.0555823,0.6327726
Htr1f,4.8884892,3.6832879,1.0161279805226447e-06,0.003033706537404829,0.9166666666666666,0.3558150363551703,1.9682063,0.3915982
Tcaf1,4.7883296,2.0803108,1.6817511382804671e-06,0.003720467884149855,1.0,0.666857695476199,1.7694367,0.7659306
Galnt13,4.7782316,2.452933,1.7684371179068296e-06,0.003720467884149855,0.9166666666666666,0.6973745477989899,2.4117677,1.0488797
Sgcz,4.765913,3.3747604,1.880003695274319e-06,0.003720467884149855,0.9166666666666666,0.7478777893191016,3.859851,1.7008802
Pde7b,4.7646956,3.225464,1.8913907662789874e-06,0.003720467884149855,0.9166666666666666,0.4220423367599126,1.9159843,0.48207042
Rarb,4.759736,5.3938813,1.9384648447375502e-06,0.003720467884149855,0.8333333333333334,0.1974282746516709,2.000185,0.14148933
Unc5d,4.6963887,3.1572945,2.648013740018713e-06,0.004447008074643926,0.9166666666666666,0.6383108277517103,3.0738163,1.1974735
Elapor2,4.641851,2.4586415,3.4530222850831715e-06,0.005457806400010872,1.0,0.47089795479780794,1.3360791,0.41218635
Grm8,4.621851,3.1561275,3.803309307005266e-06,0.005677495615512861,0.9166666666666666,0.5152763351122891,2.560999,0.8503175
Calcrl,4.590715,4.475304,4.417307940326701e-06,0.00624700338718834,0.8333333333333334,0.12482538772878685,1.2317356,0.10356587
Ssbp2,4.5576267,2.206869,5.173489078809667e-06,0.006635981759557991,0.9166666666666666,0.7726279594541352,2.590835,1.3010333
Atp2b4,4.5571074,2.6066718,5.186290173082166e-06,0.006635981759557991,1.0,0.4467566889931588,1.4691516,0.43777955
Sv2c,4.530268,4.204565,5.8908867934712015e-06,0.007194914915480508,0.8333333333333334,0.141874708979548,1.1152047,0.10543805
Mgat4c,4.507153,2.9712322,6.570323189573647e-06,0.007675851482775821,0.9166666666666666,0.7355564311042659,3.372427,1.5237719
Cacna2d2,4.478917,3.6539035,7.5022610988115925e-06,0.008399406488544479,0.8333333333333334,0.14857265661377556,0.88328284,0.1068062
Pdzrn4,4.467279,2.9408574,7.922073416525072e-06,0.008514644508081147,0.9166666666666666,0.5409935885955801,2.2594268,0.7500318
Grid2,4.4514513,2.52012,8.529187622654642e-06,0.008814587362335778,0.9166666666666666,0.8128156452595007,3.3714187,1.775308
Glra3,4.4204044,3.514981,9.851635798677427e-06,0.009454051925373658,0.8333333333333334,0.16039256420358897,0.8662043,0.11380129
Lhfpl3,4.3948007,2.9672778,1.1087449540703332e-05,0.010273095488230983,0.9166666666666666,0.4753393746194348,2.1085055,0.65505064
Osbpl8,4.369,1.9964101,1.2481689339289048e-05,0.010818806211183765,0.9166666666666666,0.6605179268598446,1.7318772,0.77274954
Negr1,4.301857,1.4123122,1.6937273242497737e-05,0.013467891007040657,0.9166666666666666,0.9024678534331458,3.483147,2.5539684
Slc16a2,4.300496,2.4558706,1.7041618691454498e-05,0.013467891007040657,0.9166666666666666,0.48866363408431535,1.4129435,0.44883874
Dgkb,4.2831106,1.9429244,1.8429855624642785e-05,0.014148863446690047,0.9166666666666666,0.7795049965972993,2.8226528,1.6321666
Cpne4,4.2748384,2.4402502,1.912758724414712e-05,0.014276618590284253,0.9166666666666666,0.5452917368100577,1.9942406,0.7744413
Gabrg3,4.265116,2.5171711,1.9979816519072177e-05,0.014509666753174848,0.9166666666666666,0.6537841613238297,2.6492786,1.1927208
Il1rapl1,4.2483215,1.2984549,2.1537811659395e-05,0.01485323529441996,0.9166666666666666,0.9250331315591532,3.7240503,2.8586545
Sesn3,4.2481065,2.3471398,2.1558473259485616e-05,0.01485323529441996,0.9166666666666666,0.4640209176546438,1.2336528,0.39090395
Samd12,4.2240963,1.6626292,2.3990138494633156e-05,0.015748584024877495,0.9166666666666666,0.7509223109710234,2.3366842,1.3743007
Adk,4.2237206,2.502134,2.403021752958605e-05,0.015748584024877495,0.9166666666666666,0.6420717074393782,1.9940261,0.7514141
Grm7,4.163596,1.3618741,3.132740696279841e-05,0.02004208154977127,0.9166666666666666,0.8930835631648698,3.590105,2.6885362
Gad2,4.1420565,3.1621406,3.442052849039442e-05,0.021508827919462747,0.8333333333333334,0.2232887997421111,1.2085254,0.23298398
Cntn3,4.130884,2.1215584,3.6137079667444174e-05,0.022068257515096022,0.9166666666666666,0.6636340843153408,2.2706366,1.0972611
Nrg1,4.1018963,2.3511503,4.097780571340099e-05,0.023936383467806188,1.0,0.8486693649486013,3.8102684,2.2675219
Tenm1,4.0752,2.1418755,4.597477821010404e-05,0.02573629771886449,0.9166666666666666,0.7527490239621762,2.7710075,1.4800195
Cfap69,3.9686847,2.5941677,7.22704475864146e-05,0.03963075360504,0.8333333333333334,0.3534152369354203,0.9557046,0.23511529
Scn9a,3.9567602,3.9559958,7.597317279576484e-05,0.04046754368475337,0.75,0.196067194383753,1.0989648,0.12127878
Dync2h1,3.954146,1.7750472,7.680851239011618e-05,0.04046754368475337,0.9166666666666666,0.6456176797163222,1.5080985,0.70702434
Htr2c,3.9284885,3.0056586,8.548147117671416e-05,0.04400688330652222,0.8333333333333334,0.34542784483684946,1.6280307,0.41192785
Syt5,3.9248,2.3723993,8.68018167192288e-05,0.04400688330652222,0.8333333333333334,0.23908449443031626,0.622783,0.15433393
Drd2,3.920288,5.994787,8.844320439567594e-05,0.044008683372440974,0.6666666666666666,0.02063111142949246,0.5183826,0.010596299
