names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
D7Ertd443e,6.331905,-0.33672786,2.421524835565154e-10,2.3912668993618405e-09,0.28266494178525226,0.1670267197271177,0.16664007,0.20619981
Crlf3,4.514036,-0.2663962,6.3605404283655346e-06,3.697700590873689e-05,0.3201811125485123,0.23194997157475838,0.14681713,0.17413276
Pla2g7,3.7655878,-0.33826813,0.0001661577084919058,0.0007824496367293216,0.1908150064683053,0.12522266439264734,0.10491378,0.13089108
Cdc14a,3.7145765,-0.32177368,0.00020354437031714213,0.0009429719362795878,0.18952134540750323,0.12514686374834186,0.08665615,0.107184745
Acss1,3.3266628,-0.3249455,0.0008789267384559701,0.0036947374002365327,0.29042690815006467,0.22251279135872654,0.15131521,0.18617392
Ttyh2,2.9021842,-0.58479077,0.0037057057081141915,0.014095740710224847,0.18369987063389392,0.13094561303771082,0.0793269,0.11673601
Heatr5a,2.8277578,-0.29214272,0.004687524631615605,0.017500873537795093,0.2884864165588616,0.2308887625544817,0.13438359,0.1622171
Myrf,2.8175676,-0.32837665,0.004838892879793657,0.018033432965333645,0.12742561448900389,0.08152359295054008,0.05251598,0.065507874
Slx1b,2.7470746,-0.26112655,0.006012946174005304,0.021988005402221355,0.28007761966364814,0.2235740003790032,0.12916654,0.15292439
Ccnd3,2.634709,-0.45764413,0.00842094624348827,0.02986285146661341,0.1591203104786546,0.11366306613606215,0.07063095,0.09576913
Arhgap23,2.503402,-0.28132132,0.012300573356532587,0.042045084097446964,0.5485122897800776,0.45177184006064053,0.359638,0.422649
Plekhg3,-2.4388738,-1.6351664,0.01473310918883355,0.04958112808880314,0.0536869340232859,0.0887625544817131,0.025371587,0.07679287
Mal,-2.4414523,-0.74753034,0.014628321505373392,0.04928071700719447,0.26002587322121606,0.2761038468826985,0.21549319,0.33913696
