names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Pvalb Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnc2,33.96388,4.6915708,7.610411130726233e-253,2.044917470826139e-248,0.9882903981264637,0.5978403141361257,3.8177748,1.0014393
Erbb4,33.668407,5.2225366,1.6771541477714467e-248,2.253256597530939e-244,0.9929742388758782,0.7158231529959279,4.8960476,1.5163841
Nxph1,32.44668,5.133884,6.03332417498277e-231,5.403847352726235e-227,0.990632318501171,0.4134671320535195,3.5750058,0.6871913
Abtb3,31.974339,5.0259933,2.4798891431833433e-224,1.665865531933411e-220,0.9414519906323185,0.14463350785340315,1.6341164,0.11920642
Rbms3,31.565315,3.767642,1.1053326563766968e-218,5.940057695368368e-215,0.9836065573770492,0.5041812100058173,2.5807598,0.639893
Grip1,31.454714,3.0600674,3.618637359741724e-217,1.6205464309376687e-213,0.9859484777517564,0.7774505526468877,3.5427845,1.6142851
Kcnmb2,31.127527,4.389509,1.0219119816615474e-212,3.922682135320825e-209,0.9648711943793911,0.24665503199534614,2.1283853,0.3024188
Fgf12,30.858486,2.2236197,4.310020504736103e-209,1.4476281370282386e-205,0.9859484777517564,0.8532213496218732,3.6017573,2.155878
Cntnap4,30.612968,4.012436,8.226400354723559e-206,2.4560375281269115e-202,0.9648711943793911,0.34227748691099474,2.225915,0.41339478
Elavl2,30.583658,3.1140141,2.0188866740975277e-205,5.424748493300057e-202,0.9812646370023419,0.5358129726585223,2.2556243,0.6863885
Alk,29.760218,4.068422,1.2791070267449836e-194,3.1245096189670645e-191,0.9344262295081968,0.23000290866783013,1.727876,0.24364637
Ptprm,29.446571,3.7131183,1.392874481370597e-190,3.1188781095356615e-187,0.9718969555035128,0.3715459569517161,2.2678888,0.50696796
Klf12,28.82033,2.4659183,1.1933030189679563e-182,2.466465547666845e-179,0.9742388758782201,0.7129872018615474,2.4363976,1.0606238
Gria4,28.677368,2.5120337,7.308870706922756e-181,1.4027811135358173e-177,0.9859484777517564,0.7892306573589296,3.240285,1.668118
Gabrg3,28.529966,2.948574,4.979227695118259e-179,8.919456544521843e-176,0.9672131147540983,0.6490328679464805,2.8946557,1.1669345
Gm13629,28.416492,4.1887307,1.2649636781411462e-177,2.1243483769782877e-174,0.8641686182669789,0.16593949970913321,1.1685511,0.11474702
Sox6,28.001318,3.6816614,1.5658175017030313e-172,2.4749127218094385e-169,0.9625292740046838,0.2995927865037813,2.1098964,0.4477544
Galntl6,27.776775,3.098764,8.277711100182364e-170,1.2356783181216673e-166,0.9859484777517564,0.8109729493891797,3.9606597,1.9474282
Esrrg,27.714006,2.8053648,4.734011990102237e-169,6.694889588107742e-166,0.9391100702576113,0.5203243164630599,1.8417803,0.5649144
Cacna2d2,27.601364,4.2243466,1.0715267782490658e-167,1.4395962265776199e-164,0.8384074941451991,0.13816172193135545,1.035383,0.09272876
Xkr4,27.457375,1.626012,5.672731709990821e-166,7.25839528797397e-163,0.9859484777517564,0.8599840023269343,3.2940357,2.241537
Meg3,27.433586,1.9197263,1.0906936133489657e-165,1.3321335177584867e-162,0.9882903981264637,0.912739965095986,4.531337,3.2301986
Cntnap3,27.250864,3.7953227,1.623132359112637e-163,1.896242021276372e-160,0.8688524590163934,0.1997891215823153,1.3231683,0.18103333
Spock3,27.214132,2.6826065,4.419276200219652e-163,4.9477479791625855e-160,0.9742388758782201,0.5656631762652705,2.2076483,0.8157062
Osbpl3,26.885408,2.9833844,3.253273054013054e-159,3.4966178784532304e-156,0.8946135831381733,0.3436591041303083,1.2784748,0.28340808
Snhg11,26.64525,1.8154894,2.031572210620961e-156,2.0995517422840468e-153,0.9836065573770492,0.8261707388016288,3.3535018,2.1795278
Dlx6os1,26.475557,3.406867,1.8535399635638103e-154,1.8446155118873918e-151,0.9227166276346604,0.268760907504363,1.7809945,0.3820979
Slc6a1,26.116974,2.9115543,2.3391174334719262e-150,2.244717337049666e-147,0.9156908665105387,0.304173938336242,1.2792693,0.2962101
Scn1a,26.083801,1.9176279,5.566849430062999e-150,5.15797393744113e-147,0.9742388758782201,0.6795375218150087,1.939214,0.9461478
Kazn,25.6645,2.3798792,2.9128931645535865e-145,2.6089813110518292e-142,0.9484777517564403,0.568935427574171,1.782114,0.6676039
Hcn1,25.621965,2.0919464,8.684266142418762e-145,7.527297782154586e-142,0.9836065573770492,0.7452734147760326,2.7949173,1.5267538
Gm56750,25.614109,3.5852485,1.0623732042991607e-144,8.920614999849516e-142,0.8243559718969555,0.16797556719022688,1.0630314,0.146605
Cit,25.549757,2.6976786,5.525034479136752e-144,4.4987174683152884e-141,0.9086651053864169,0.42757417102966844,1.4968128,0.42818555
Cntnap2,25.54651,2.172697,6.003343208766354e-144,4.7444068241044684e-141,0.9882903981264637,0.9131762652705061,4.217143,2.761567
Tmem44,25.502457,3.05715,1.8513955150631232e-143,1.4213427854213178e-140,0.8548009367681498,0.2773414776032577,1.0936531,0.21390657
Kcnc1,25.468597,2.8136292,4.393612546266563e-143,3.279343586616182e-140,0.8735362997658079,0.3900887143688191,1.2469907,0.3021234
Vwc2,25.459293,3.8038907,5.570378178425161e-143,4.0452989636292997e-140,0.8079625292740047,0.1511780104712042,1.0866458,0.13159421
Cemip,25.442411,3.1259391,8.565560229057539e-143,6.056752719862527e-140,0.8548009367681498,0.33871436881908085,1.35397,0.28448594
Enox1,25.38981,1.703341,3.2679094151857477e-142,2.2515057945138727e-139,0.9765807962529274,0.7838132635253054,2.595297,1.5702543
Dlgap1,25.379936,1.3815902,4.200407016837034e-142,2.8216234135602772e-139,0.9929742388758782,0.9179392088423503,3.847302,2.9233463
Gad1,25.360447,3.0925941,6.892420921953106e-142,4.5170573212897555e-139,0.8594847775175644,0.25632635253054104,1.1768541,0.23355381
Kctd8,25.336338,3.2408535,1.2711091977814298e-141,8.132072415330243e-139,0.8665105386416861,0.2614528795811518,1.4089041,0.28293416
Gpr176,25.288277,3.1267433,4.298851607316118e-141,2.6862823881066068e-138,0.8360655737704918,0.3032286212914485,1.1003813,0.20667487
Rnf144b,25.148949,3.5178766,1.4510901394623792e-139,8.861543647125938e-137,0.8009367681498829,0.1856457242582897,0.9118567,0.12220389
5330434G04Rik,24.866486,1.9685674,1.7153221887649379e-136,1.0242379380469752e-133,0.9695550351288056,0.6412521815008726,1.8198708,0.8421027
Peg3,24.777407,1.9390923,1.570961239960104e-135,9.176462721245217e-133,0.9461358313817331,0.6310718440954043,1.6254287,0.7247139
Dlgap2,24.518583,1.5818503,9.360432581138335e-133,5.351379222450789e-130,0.9836065573770492,0.810500290866783,3.1257675,2.1132193
Frmd5,24.142776,1.982875,8.892140412638317e-129,4.9777461018248245e-126,0.9812646370023419,0.7364019778941245,2.5084414,1.3494071
Thrb,24.100847,2.03431,2.449112448064e-128,1.3430132954995854e-125,0.9601873536299765,0.6895360674810936,2.2211876,1.1007055
Maf,23.794296,2.7913039,3.8262380288083335e-125,2.015902271256469e-122,0.8501170960187353,0.21909540430482838,1.0821539,0.2482941
Kcnip1,23.784225,3.0390794,4.864036586819398e-125,2.513397367073793e-122,0.8243559718969555,0.2226585223967423,1.1082808,0.22063217
Grik1,23.646782,2.9796906,1.273793510639478e-123,6.4578927605439185e-121,0.9156908665105387,0.4929828388598022,2.2552035,0.7334666
Snhg14,23.644506,1.4109354,1.3443898124291279e-123,6.68958412221679e-121,0.9789227166276346,0.814499709133217,2.8729167,1.9845877
Lrrc4c,23.555603,1.7021383,1.0999009575362733e-122,5.373516132545393e-120,0.9859484777517564,0.9142306573589296,3.7333958,2.6060503
Ptchd4,23.444878,2.385784,1.4909139247086253e-121,7.153724492307279e-119,0.9203747072599532,0.46251454333915065,1.6263415,0.5775522
Zfp804a,23.325163,2.4178007,2.4631821452497055e-120,1.1611527060150803e-117,0.9391100702576113,0.6567408376963351,2.419537,1.0703657
Rian,23.300089,1.5796572,4.423985197087543e-120,2.049525555961074e-117,0.9765807962529274,0.7584714950552647,2.50362,1.5594114
Limch1,23.151037,1.7275021,1.4191959460853209e-118,6.46335509683264e-116,0.9672131147540983,0.7281486329261199,2.001092,1.0756066
Etl4,23.132542,2.2275376,2.1790845695239754e-118,9.758667063851537e-116,0.9789227166276346,0.7085151250727167,2.8793862,1.5234276
Slit2,23.076777,2.3345954,7.922697738235414e-118,3.4898834135473045e-115,0.936768149882904,0.5681719022687609,2.0328069,0.83962655
Nhs,23.07003,2.7651238,9.25991196718903e-118,4.0131263638446654e-115,0.8243559718969555,0.2615255962769052,1.0678326,0.24750437
Rcan2,23.005669,2.3759787,4.0904641358871025e-117,1.744615417956928e-114,0.8641686182669789,0.35972949389179754,1.0991442,0.3261329
Unc5d,22.927824,2.3897905,2.4528859261573608e-116,1.0139853051668968e-113,0.9812646370023419,0.6331079115764979,2.5470529,1.1773405
